Title;Authors;Publication Year;Publisher;Publication Title;Kategorie
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;Kirchhof JC,Michael J,Rumpe B,Varga S,Wortmann A;2020.0;ACM;Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems;Conference
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;Niati A,Selma C,Tamzalit D,Bruneliere H,Mebarki N,Cardin O;2020.0;ACM;Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Satellite Event
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;Hugues J,Hristosov A,Hudak JJ,Yankel J;2020.0;ACM;Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Satellite Event
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;Barat S,Kulkarni V,Clark T,Barn B;2022.0;ACM;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems;Conference
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;Christofi N,Pucel X;2022.0;ACM;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Satellite Event
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;Fend A,Bork D;2022.0;ACM;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Satellite Event
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;Huang Y,Dhouib S,Medinacelli LP,Malenfant J;2022.0;ACM;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Satellite Event
Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;Somers RJ,Clark AG,Walkinshaw N,Hierons RM;2022.0;ACM;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Satellite Event
Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;Muñoz P,Wimmer M,Troya J,Vallecillo A;2022.0;ACM;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Satellite Event
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;Barosan I,van der Heijden J;2022.0;ACM;Proceedings of the Federated Africa and Middle East Conference on Software Engineering;Conference
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;"G. N. Schroeder; C. Steinmetz; R. N. Rodrigues; R. V. B. Henriques; A. Rettberg; C. E. Pereira";2021.0;IEEE;Proceedings of the IEEE;Journal
On the Engineering of IoT-Intensive Digital Twin Software Systems;Rivera LF,Müller HA,Villegas NM,Tamura G,Jiménez M;2020.0;ACM;Proceedings of the IEEE/ACM 42nd International Conference on Software Engineering Workshops;Satellite Event
A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;"Yang, X; Ran, Y; Zhang, GB; Wang, HW; Mu, ZY; Zhi, SG";;;ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING;Journal
Meta-model-based shop-floor digital twin architecture, modeling and application;"Yang X.; Liu X.; Zhang H.; Fu L.; Yu Y.";2023.0;Elsevier Ltd;Robotics and Computer-Integrated Manufacturing;Journal
Model-driven engineering city spaces via bidirectional model transformations;"Visconti E.; Tsigkanos C.; Hu Z.; Ghezzi C.";2021.0;Springer Science and Business Media Deutschland GmbH;Software and Systems Modeling;Journal
Model-based digital twins of medicine dispensers for healthcare IoT applications;"Sartaj, H; Ali, S; Yue, T; Moberg, K";;;SOFTWARE-PRACTICE & EXPERIENCE;Journal
Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling;"Laukotka, FN; Krause, D";;;SYSTEMS;Journal
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;;;;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Satellite Event
