;title;abstract;dc:publisher;prism:aggregationType;prism:publicationName;prism:coverDate;prism:url
10;A pattern catalog for augmenting Digital Twin models with behavior Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten;Digital Twins are emerging as a solution to build and extend existing software systems to make better use of data produced by physical systems. For supporting the development of Digital Twins, several software vendors are offering dedicated tool support, often referred to as Digital Twin platforms. The modeling capabilities of these platforms are mostly concerned with structural viewpoints, i.e., providing an overview of available components including their current and historical sensor values. However, behavioral viewpoints did not yet receive much attention on these platforms. As behavioral models are often used during the design processes, e.g., for simulation and synthesis, it would be beneficial for having them included in Digital Twin platforms, e.g., for reasoning on the set of possible next actions or for checking the execution history to perform runtime validation. In this paper, we present a catalog of modeling patterns for augmenting Digital Twin models with behavioral models and their corresponding runtime information without requiring any extension of the code bases of Digital Twin platforms. We demonstrate the presented modeling patterns by applying them to the Digital Twin platform offered by Microsoft, in an additive manufacturing use case of a 3D printer in a production line.;De Gruyter Oldenbourg;Journal;At-Automatisierungstechnik;2023-06-01;https://api.elsevier.com/content/abstract/scopus_id/85161546216
11;A pattern catalog for augmenting Digital Twin models with behavior Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten;Digital Twins are emerging as a solution to build and extend existing software systems to make better use of data produced by physical systems. For supporting the development of Digital Twins, several software vendors are offering dedicated tool support, often referred to as Digital Twin platforms. The modeling capabilities of these platforms are mostly concerned with structural viewpoints, i.e., providing an overview of available components including their current and historical sensor values. However, behavioral viewpoints did not yet receive much attention on these platforms. As behavioral models are often used during the design processes, e.g., for simulation and synthesis, it would be beneficial for having them included in Digital Twin platforms, e.g., for reasoning on the set of possible next actions or for checking the execution history to perform runtime validation. In this paper, we present a catalog of modeling patterns for augmenting Digital Twin models with behavioral models and their corresponding runtime information without requiring any extension of the code bases of Digital Twin platforms. We demonstrate the presented modeling patterns by applying them to the Digital Twin platform offered by Microsoft, in an additive manufacturing use case of a 3D printer in a production line.;De Gruyter Oldenbourg;Journal;At-Automatisierungstechnik;2023-06-01;https://api.elsevier.com/content/abstract/scopus_id/85161546216
12;A pattern catalog for augmenting Digital Twin models with behavior Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten;Digital Twins are emerging as a solution to build and extend existing software systems to make better use of data produced by physical systems. For supporting the development of Digital Twins, several software vendors are offering dedicated tool support, often referred to as Digital Twin platforms. The modeling capabilities of these platforms are mostly concerned with structural viewpoints, i.e., providing an overview of available components including their current and historical sensor values. However, behavioral viewpoints did not yet receive much attention on these platforms. As behavioral models are often used during the design processes, e.g., for simulation and synthesis, it would be beneficial for having them included in Digital Twin platforms, e.g., for reasoning on the set of possible next actions or for checking the execution history to perform runtime validation. In this paper, we present a catalog of modeling patterns for augmenting Digital Twin models with behavioral models and their corresponding runtime information without requiring any extension of the code bases of Digital Twin platforms. We demonstrate the presented modeling patterns by applying them to the Digital Twin platform offered by Microsoft, in an additive manufacturing use case of a 3D printer in a production line.;De Gruyter Oldenbourg;Journal;At-Automatisierungstechnik;2023-06-01;https://api.elsevier.com/content/abstract/scopus_id/85161546216
13;A pattern catalog for augmenting Digital Twin models with behavior Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten;Digital Twins are emerging as a solution to build and extend existing software systems to make better use of data produced by physical systems. For supporting the development of Digital Twins, several software vendors are offering dedicated tool support, often referred to as Digital Twin platforms. The modeling capabilities of these platforms are mostly concerned with structural viewpoints, i.e., providing an overview of available components including their current and historical sensor values. However, behavioral viewpoints did not yet receive much attention on these platforms. As behavioral models are often used during the design processes, e.g., for simulation and synthesis, it would be beneficial for having them included in Digital Twin platforms, e.g., for reasoning on the set of possible next actions or for checking the execution history to perform runtime validation. In this paper, we present a catalog of modeling patterns for augmenting Digital Twin models with behavioral models and their corresponding runtime information without requiring any extension of the code bases of Digital Twin platforms. We demonstrate the presented modeling patterns by applying them to the Digital Twin platform offered by Microsoft, in an additive manufacturing use case of a 3D printer in a production line.;De Gruyter Oldenbourg;Journal;At-Automatisierungstechnik;2023-06-01;https://api.elsevier.com/content/abstract/scopus_id/85161546216
14;A pattern catalog for augmenting Digital Twin models with behavior Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten;Digital Twins are emerging as a solution to build and extend existing software systems to make better use of data produced by physical systems. For supporting the development of Digital Twins, several software vendors are offering dedicated tool support, often referred to as Digital Twin platforms. The modeling capabilities of these platforms are mostly concerned with structural viewpoints, i.e., providing an overview of available components including their current and historical sensor values. However, behavioral viewpoints did not yet receive much attention on these platforms. As behavioral models are often used during the design processes, e.g., for simulation and synthesis, it would be beneficial for having them included in Digital Twin platforms, e.g., for reasoning on the set of possible next actions or for checking the execution history to perform runtime validation. In this paper, we present a catalog of modeling patterns for augmenting Digital Twin models with behavioral models and their corresponding runtime information without requiring any extension of the code bases of Digital Twin platforms. We demonstrate the presented modeling patterns by applying them to the Digital Twin platform offered by Microsoft, in an additive manufacturing use case of a 3D printer in a production line.;De Gruyter Oldenbourg;Journal;At-Automatisierungstechnik;2023-06-01;https://api.elsevier.com/content/abstract/scopus_id/85161546216
15;A pattern catalog for augmenting Digital Twin models with behavior Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten;Digital Twins are emerging as a solution to build and extend existing software systems to make better use of data produced by physical systems. For supporting the development of Digital Twins, several software vendors are offering dedicated tool support, often referred to as Digital Twin platforms. The modeling capabilities of these platforms are mostly concerned with structural viewpoints, i.e., providing an overview of available components including their current and historical sensor values. However, behavioral viewpoints did not yet receive much attention on these platforms. As behavioral models are often used during the design processes, e.g., for simulation and synthesis, it would be beneficial for having them included in Digital Twin platforms, e.g., for reasoning on the set of possible next actions or for checking the execution history to perform runtime validation. In this paper, we present a catalog of modeling patterns for augmenting Digital Twin models with behavioral models and their corresponding runtime information without requiring any extension of the code bases of Digital Twin platforms. We demonstrate the presented modeling patterns by applying them to the Digital Twin platform offered by Microsoft, in an additive manufacturing use case of a 3D printer in a production line.;De Gruyter Oldenbourg;Journal;At-Automatisierungstechnik;2023-06-01;https://api.elsevier.com/content/abstract/scopus_id/85161546216
16;A subject-oriented reference model for Digital Twins;The term “Digital Twin” is used in context of a wide range of applications but neither research nor industry have agreed upon one singular definition. Presented here is a novel and formal, subject-oriented reference model for Digital Twin systems that does not focus on technical architectural concepts or particular implementation specific details, but rather on the general possibilities and functionalities that can be expected or missed from Digital Twins. The model depicts the interactions of a Digital Twin system with other entities (i.e. humans, IT-systems and other Digital Twin systems). The purpose of the model is to help practitioners understand and especially communicate about Digital Twins and improve their ability to assess and express their own needs and role in context of designing specific Industry 4.0 use cases accordingly.;Elsevier Ltd;Journal;Computers and Industrial Engineering;2022-10-01;https://api.elsevier.com/content/abstract/scopus_id/85136257331
17;A Survey on Digital Twins: Architecture, Enabling Technologies, Security and Privacy, and Future Prospects;By interacting, synchronizing, and cooperating with its physical counterpart in real time, digital twin is promised to promote an intelligent, predictive, and optimized modern city. Via interconnecting massive physical entities and their virtual twins with inter-twin and intra-twin communications, the Internet of digital twins (IoDT) enables free data exchange, dynamic mission cooperation, and efficient information aggregation for composite insights across vast physical/virtual entities. However, as IoDT incorporates various cutting-edge technologies to spawn the new ecology, severe known/unknown security flaws and privacy invasions of IoDT hinders its wide deployment. Besides, the intrinsic characteristics of IoDT such as decentralized structure, information-centric routing and semantic communications entail critical challenges for security service provisioning in IoDT. To this end, this paper presents an in-depth review of the IoDT with respect to system architecture, enabling technologies, and security/privacy issues. Specifically, we first explore a novel distributed IoDT architecture with cyber-physical interactions and discuss its key characteristics and communication modes. Afterward, we investigate the taxonomy of security and privacy threats in IoDT, discuss the key research challenges, and review the state-of-the-art defense approaches. Finally, we point out the new trends and open research directions related to IoDT.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Internet of Things Journal;2023-01-01;https://api.elsevier.com/content/abstract/scopus_id/85153393414
18;A Survey on Digital Twins: Architecture, Enabling Technologies, Security and Privacy, and Future Prospects;By interacting, synchronizing, and cooperating with its physical counterpart in real time, digital twin is promised to promote an intelligent, predictive, and optimized modern city. Via interconnecting massive physical entities and their virtual twins with inter-twin and intra-twin communications, the Internet of digital twins (IoDT) enables free data exchange, dynamic mission cooperation, and efficient information aggregation for composite insights across vast physical/virtual entities. However, as IoDT incorporates various cutting-edge technologies to spawn the new ecology, severe known/unknown security flaws and privacy invasions of IoDT hinders its wide deployment. Besides, the intrinsic characteristics of IoDT such as decentralized structure, information-centric routing and semantic communications entail critical challenges for security service provisioning in IoDT. To this end, this paper presents an in-depth review of the IoDT with respect to system architecture, enabling technologies, and security/privacy issues. Specifically, we first explore a novel distributed IoDT architecture with cyber-physical interactions and discuss its key characteristics and communication modes. Afterward, we investigate the taxonomy of security and privacy threats in IoDT, discuss the key research challenges, and review the state-of-the-art defense approaches. Finally, we point out the new trends and open research directions related to IoDT.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Internet of Things Journal;2023-01-01;https://api.elsevier.com/content/abstract/scopus_id/85153393414
19;A TOSCA-Based Conceptual Architecture to Support the Federation of Heterogeneous MSaaS Infrastructures †;Modeling and simulation (M&S) techniques are effectively used in many application domains to support various operational tasks ranging from system analyses to innovative training activities. Any (M&S) effort might strongly benefit from the adoption of service orientation and cloud computing to ease the development and provision of M&S applications. Such an emerging paradigm is commonly referred to as M&S-as-a-Service (MSaaS). The need for orchestrating M&S services provided by different partners in a heterogeneous cloud infrastructure introduces new challenges. In this respect, the adoption of an effective architectural approach might significantly help the design and development of MSaaS infrastructure implementations that cooperate in a federated environment. In this context, this work introduces a MSaaS reference architecture (RA) that aims to investigate innovative approaches to ease the building of inter-cloud MSaaS applications. Moreover, this work presents ArTIC-MS, a conceptual architecture that refines the proposed RA for introducing the TOSCA (topology and orchestration specification for cloud applications) standard. ArTIC-MS’s main objective is to enable effective portability and interoperability among M&S services provided by different partners in heterogeneous federations of cloud-based MSaaS infrastructure. To show the validity of the proposed architectural approach, the results of concrete experimentation are provided.;MDPI;Journal;Future Internet;2023-02-01;https://api.elsevier.com/content/abstract/scopus_id/85148891162
20;Accurate and Efficient Digital Twin Construction Using Concurrent End-to-End Synchronization and Multi-Attribute Data Resampling;Accurate and efficient digital twin construction through real-time multi-attribute sensing and remote concurrent data analysis is essential in supporting complex connected industrial applications. Given the unsynchronized nature and heterogeneous sampling rates of distributed sensing processes, the varying time misalignment among different attributes will inevitably deteriorate the remote correlation analysis and digital twin construction. Furthermore, application-agnostic digital twin construction approaches could potentially involve high communication and computation overhead for comprehensive digital twin construction. In this article, a concurrent end-to-end time synchronization and multi-attribute data resampling scheme is proposed to enable accurate and efficient digital twin construction at the remote end. Specifically, digital clocks are concurrently established at the remote end, with each of them associated with a sampling rate of a unique sensing attribute. To tackle the temporal misalignment among multiple sensing attributes, raw data are accurately resampled according to the same reference frequency, with attribute-specific synchronized digital clocks providing cohesively aligned time information. An edge-centric platform is established to efficiently guide the multidimensional data processing during digital twin construction. Simulation results demonstrate that the proposed scheme can achieve more accurate and efficient digital twin construction than existing modeling methods. In the end, the digital twin-driven predictive maintenance is presented as a case study, aiming at illustrating the potential applications and benefits expected of the proposed scheme in industrial environments.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Internet of Things Journal;2023-03-15;https://api.elsevier.com/content/abstract/scopus_id/85141631359
21;Air Quality Management: An Exemplar for Model-Driven Digital Twin Engineering;Since its first mentioning in the literature, the concept of Digital Twin has gained traction in both industry and academia. However, there are still many open challenges when applying Digital Twins to industry-scale use cases. Applying Model-Driven Engineering techniques to the creation and maintenance of Digital Twins (also referred to as Model-Driven Digital Twin Engineering) promises automation and consistency throughout the life cycle of a Digital Twin. The exemplar provided in this paper can be used to identify open challenges when it comes to Model-Driven Digital Twin Engineering, and to demonstrate how approaches can solve them. This exemplar applies Digital Twins to an indoor air quality management use case, where CO2, temperature, and humidity values of rooms within a building are measured. These values can be used to derive actions to improve work productivity and reduce the risk for virus infections. We describe three applications that make use of this Digital Twin (i.e., runtime visualization, physical simulation, and ML-based predictions), and provide an online repository with the artefacts of this exemplar.;Institute of Electrical and Electronics Engineers Inc.;Conference Proceeding;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;2021-01-01;https://api.elsevier.com/content/abstract/scopus_id/85124047367
22;AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;As technologies such as the Internet of Things (IoT) and Cyber-Physical Systems (CPS) are becoming ubiquitous, systems adopting these technologies are getting increasingly complex. Digital Twins (DTs) provide comprehensive views on such systems, the data they generate during runtime, as well as their usage and evolution over time. Setting up the required infrastructure to run a Digital Twin is still an ambitious task that involves significant upfront efforts from domain experts, although existing knowledge about the systems, such as engineering models, may be already available for reuse. To address this issue, we present AML4DT, a model-driven framework supporting the development and maintenance of Digital Twin infrastructures by employing AutomationML (AML) models. We automatically establish a connection between systems and their DTs based on dedicated DT models. These DT models are automatically derived from existing AutomationML models, which are produced in the engineering phases of a system. Additionally, to alleviate the maintenance of the DTs, AML4DT facilitates the synchronization of the AutomationML models with the DT infrastructure for several evolution cases. A case study shows the benefits of developing and maintaining DTs based on AutomationML models using the proposed AML4DT framework. For this particular study, the effort of performing the required tasks could be reduced by about 50%.;Institute of Electrical and Electronics Engineers Inc.;Conference Proceeding;IEEE International Conference on Emerging Technologies and Factory Automation, ETFA;2021-01-01;https://api.elsevier.com/content/abstract/scopus_id/85122957318
23;An Algorithm for Offline Measurement of Motor Stator Resistance and Voltage Drop Across Inverter Switches for Washing Machine Drives;The knowledge of the exact value of motor phase resistance is extremely important for modern electrical drives, which use it for tuning of current controllers, position estimators, temperature monitoring, and so on. At the same time, the value of voltage drop across inverter switches is necessary for providing proper and efficient control, especially in the low-speed region, where the impact of system nonlinearities is significant. This article proposes a novel algorithm for the offline measurement of motor resistance and voltage drop across inverter switches, which significantly improved the performance of washing machines in open-loop starting and low-speed operation. The proposed technique uses two step injection of dc current into stator windings, which provides data for the estimation of resistance and voltage drop. This article describes traps and pitfalls on the way of implementation and tuning and provides recommendations on avoiding them. After analysis of detailed experimental results, the author gives recommendation on a selection of algorithm parameters in order to provide low estimation errors. Following successful implementation and a series of tests, this technique has been accepted for mass production and has become an inevitable part of the control system of washing machines.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Journal of Emerging and Selected Topics in Power Electronics;2022-10-01;https://api.elsevier.com/content/abstract/scopus_id/85130785745
24;An Approach to Support Digital Process Twin;Nowadays, the digitalization of business processes goes hand in hand with the adoption of IoT and robotic systems for automating work activities, leading to the birth of new ways of representing organizational information, i.e. digital twins. However, interpreting the behavior of autonomous systems, especially those with several devices, and keeping track of their execution status can be very difficult even using ad-hoc simulators. Therefore, there is the need for a digital process twin representing, simulating, and visualizing systems' behavior. In this regard, this work proposes an approach to support the digital process twins of autonomous systems by representing, simulating, and visualizing the system behavior. We demonstrate the benefits of the approach by applying it to a robotic scenario.;Institute of Electrical and Electronics Engineers Inc.;Conference Proceeding;Proceedings of the 2022 IEEE International Conference on Dependable, Autonomic and Secure Computing, International Conference on Pervasive Intelligence and Computing, International Conference on Cloud and Big Data Computing, International Conference on Cyber Science and Technology Congress, DASC/PiCom/CBDCom/CyberSciTech 2022;2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85145355941
25;An update method for digital twin multi-dimension models;Digital twin, as an effective means to realize the fusion between physical and virtual spaces, has attracted more and more attention in the past few years. Based on ultra-fidelity models, more accurate service, e.g. real-time monitoring and failure prediction, can be reached. Against the background, some scholars studied the related theories and methods on modeling to depict various features of physical objects. Some scholars studied how to use Internet of Things to realize the connections and interactions, thereby keeping the consistency between the virtual and physical spaces. During this process, a new question arises that how to update the models once digital twin models are inconsistent with the practical situations. To solve the problem, this paper proposed a general digital twin model update framework at first. Then, the update methods for multi-dimension models are further explored. The cutting tool is the core component of machine tools which are the key equipment in industry. The precise cutting tool models are essential for realizing the digitalization and servitization of machine tools. Therefore, this paper takes a cutting tool as the application object to discuss how to conduct physics model update based on the proposed framework and methods. Through model update, a more accurate and updated tool wear model could be obtained, which contributes to the prognostics and health management for machine tools.;Elsevier Ltd;Journal;Robotics and Computer-Integrated Manufacturing;2023-04-01;https://api.elsevier.com/content/abstract/scopus_id/85143832601
