Authors;Title;Publication year;Publisher;Proceedings title;URLs;DOI;Abstract;Keywords;Series
"I. Koren; N. Jansen; J. Michael; B. Rumpe; E. BÃ¶se";A Low-Code Approach for Data View Extraction from Engineering Models with GraphQL;2023.0;IEEE;2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350817;10.1109/MODELS-C59198.2023.00139;Access to data for analysis and control tasks is at the heart of digitization efforts in the manufacturing industry. While sophisticated modeling languages like SysML describe systems and their components, data often ends up in purpose-built relational and time series databases. To generate value, information must be retrieved and integrated from multiple sources. In this paper, we propose an innovative method for leveraging SysML engineering models and database queries by combining them in a collaborative low-code web environment. First, we make heterogeneous databases available via GraphQL, a state-of-the-art approach for building Web APIs. Then, our web application enables domain experts to exploit containment relations in SysML models to connect diverse data sources. The outcome is an integrated GraphQL API that matches the engineering model structures by resembling views across multiple database sources. The discussed approach incorporates the benefits of data-oriented development and low-code platforms beyond the business automation domain.;;
"Schroeder G.N.; Steinmetz C.; Rodrigues R.N.; Henriques R.V.B.; Rettberg A.; Pereira C.E.";A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;2021.0;;Proceedings of the IEEE;;;"The digital twin (DT) is a virtual representation of a physical object, which has been proposed as one of the key concepts for Industry 4.0. The DT provides a virtual representation of products along their lifecycle that enables the prediction and optimization of the behavior of a production system and its components. A methodology design using model-driven engineering (MDE) is proposed that strives toward being both flexible and generic. This approach is presented at two levels: first, a DT is modeled as a composition of basic components that provide basic functionalities, such as identification, storage, communication, security, data management, human-machine interface (HMI), and simulation; second, an aggregated DT is defined as a hierarchical composition of other DTs. A generic reference architecture based on these concepts and a concrete implementation methodology are proposed using AutomationML. This methodology follows an MDE approach that supports most of the DT features currently proposed in the literature. A case study has been developed, the proposed ideas are being evaluated with industrial case studies, and some of the preliminary results are described in this article. With the case study, it is possible to verify that the proposed methodology supports the creation and the deployment process of a DT.  © 1963-2012 IEEE.";;
"Bocciarelli, P; D'Ambrogio, A; Panetti, T";A Model Based Framework for IoT-Aware Business Process Management;2023.0;;FUTURE INTERNET;;10.3390/fi15020050;IoT-aware Business Processes (BPs) that exchange data with Internet of Things (IoT) devices, briefly referred to as IoT-aware BPs, are gaining momentum in the BPM field. Introducing IoT technologies from the early stages of the BP development process requires dealing with the complexity and heterogeneity of such technologies at design and analysis time. This paper analyzes widely used IoT frameworks and ontologies to introduce a BPMN extension that improves the expressiveness of relevant BP modeling notations and allows an appropriate representation of IoT devices from both an architectural and a behavioral perspective. In the BP management field, the use of simulation-based approaches is recognized as an effective technology for analyzing BPs. Simulation models need to be parameterized according to relevant properties of the process under study. Unfortunately, such parameters may change during the process operational life, thus making the simulation model invalid with respect to the actual process behavior. To ease the analysis of IoT-aware BPs, this paper introduces a model-driven method for the automated development of digital twins of actual business processes. The proposed method also exploits data retrieved by IoT sensors to automatically reconfigure the simulation model, to make the digital twin continuously coherent and compliant with its actual counterpart.;;
"Vale S.; Reddy S.; Subramanian S.; Chaudhuri S.R.; Harsha Nistala S.; Deodhar A.; Runkana V.";A Model-driven Approach for Knowledge-based Engineering of Industrial Digital Twins;2023.0;Scopus;Proceedings - ACM/IEEE 26th International Conference on Model Driven Engineering Languages and Systems, MODELS 2023;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182345617&doi=10.1109%2fMODELS58315.2023.00015&partnerID=40&md5=950c244fa7ac78d5f5cf87a96f24b1bb;10.1109/MODELS58315.2023.00015;Digital twins are heralding a new paradigm in the process and manufacturing industries by providing real-Time decision support for a range of key problems. Engineering digital twin solutions is a knowledge and effort intensive activity. In-depth knowledge of manufacturing plant, process operations, underlying physics, data, and technical problems is essential in the design of digital twin application for a given business objective. Industry domain experts, data scientists and solution developers must collaborate to build it with the required features and functionalities. Currently, it is not an easily scalable process. For each industry vertical and even for the same plant type, the development process has to be repeated manually. To address this, we present a model-driven knowledge-based approach where knowledge can be captured in a machine processible form and reasoned with, to systematically guide the solution development process. Knowledge is modelled at three levels of abstraction, namely, meta, plant type and plant instance. We describe how this helps in generalizing the knowledge, in driving the knowledge acquisition process, and in contextualizing knowledge to specific problem instances. We then outline how the captured knowledge can be exploited to guide various digital twin engineering tasks such as problem definition, model building (physics or data-driven), data preparation, algorithm selection, etc. In particular, we discuss how the approach helps in arriving at a detailed digital twin specification starting from a high-level business problem statement. We present a case study demonstrating the approach on a real-life industrial problem.  Â© 2023 IEEE.;;
"Shokooh S.; Nordvik G.";A Model-Driven Approach for Situational Intelligence & Operational Awareness;2019.0;;Petroleum and Chemical Industry Conference Europe Conference Proceedings, PCIC EUROPE;;;In order to design, operate, and maintain an oil and gas facility, one must first understand its behavior. A model-driven engineering and operation solution is required to analyze and identify problems early on and then improve design to ensure further problems are less likely.Predictive models are already shaping our experiences. They recommend products and services based on our habits. Predictive models of electrical power networks serve as a 'digital twin' of the system including network topology, engineering parameters, and other pertinent information with real-time data acquired for depicting the actual operation of the system.A clear and thorough understanding of the operational system increases uptime and reduces the number of unnecessary shutdowns. Predictive simulation models help engineers and operators increase their understanding of systems in a cost-effective and repeatable environment by offering Situational Intelligence & Automation.This paper will include the benefits of adding such a system, the challenges that must be overcome and the lessons that have been learned from the implementation of several of these systems. It will also serve as a handbook on justification for a model-driven power management and automation of oil and gas facilities. © 2019 PCIC EUROPE ASSOCIATION.;;
"P. Spaney; S. Becker; R. StrÃ¶bel; J. Fleischer; S. Zenhari; H. -C. MÃ¶hring; A. -K. SplettstÃ¶Ãer; A. Wortmann";A Model-Driven Digital Twin for Manufacturing Process Adaptation;2023.0;IEEE;2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350824;10.1109/MODELS-C59198.2023.00081;Digital twins are a means to better understand, engineer, and use cyber-physical systems. In manufacturing, digital twins can optimize production, prevent failures, and save resources. To consolidate the different approaches to digital twins in manufacturing, ISO 23247 defines the essential functional elements of a digital twin. We present a model-driven digital twin exemplar that realizes part of this standard to analyze milling processes. Our digital twin reference architecture includes a digital twin service component that manages and connects different services to adapt the manufacturing process according to a given objective. Two digital twin services, for the adaptation of component and tool conditions and for geometric error adaptation, illustrate the potential of this reference architecture. The digital twin connects to an industrial milling machine via domain-specific languages. This exemplar uses models at design time and at runtime to separate the concerns of software engineers and domain experts and leverages these models to understand and optimize the use of industrial machine tools.;;
D. Lehner;A Model-Driven Platform for Engineering Holistic Digital Twins;2023.0;IEEE;2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350749;10.1109/MODELS-C59198.2023.00045;With the combination of software and physical devices into so-called cyber-physical systems (CPSs), Digital Twins (DTs) have emerged to handle the resulting complexity and efficiently connect software to physical devices, the so-called physical twins (PTs). While DTs have gained more and more interest in both industry and academia in recent years, several vendors started to provide so-called DT platforms that offer software tools that promise to make it easier to develop and maintain DTs. When investigating these platforms in more detail, we found that they require the redundant specification of information that is usually already defined in engineering models describing the underlying PT. Additionally, they focus on connecting services to the running PT. Most DT applications however also need a connection to a simulation of the PT, which is currently not supported by the examined DT platforms. As different DT platforms usually each use their own proprietary language and software tooling, it is also currently time-demanding to integrate them with the software services that realize functionality based on these platforms. In the described thesis project, we propose an extended DT platform that solves the mentioned problems by leveraging Model-driven Engineering (MDE) techniques. More precisely, we (i) develop model transformations from existing engineering models to the proprietary DT models used by current DT platforms, (ii) create a DT megamodel that integrates DT models of existing platforms with models representing different endpoints such as PTs or simulations, and generic service descriptions, and (iii) propose a workflow model to define the interactions between different services and DTs, and a method that automates the integration of services and DTs into DT architectures based on this workflow model and the DT megamodel. We aim to evaluate our work by performing case studies on a set of CPSs. In these case studies, we measure the steps required for setting up and maintaining DT architectures for these CPSs, comparing our extended DT platform to existing DT platform support.;;
"Nast, B; Reiz, A; Ivanovic, N; Sandkuhl, K";A Modeling Approach Supporting Digital Twin Engineering: Optimizing the Energy Consumption of Air Conditioning Facilities;2023.0;IEEE;2023 ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION, MODELS-C;;10.1109/MODELS-C59198.2023.00083;Digital Twin (DT) is a concept that has become increasingly relevant in recent years. The basic idea is to connect (physical) facilities or devices with digital representations to monitor, manipulate and predict their behavior in real-time. This work presents a modeling approach supporting DT engineering for air conditioning facilities. We describe the architecture of our system for developing digital representations of physically existing facilities in an industrial use case. The paper focuses on (a) the developed modeling tool, (b) the cloud service configuration, and (c) data analysis that enables energy optimizations.;;
"He, L; Wen, K; Gong, J; Wu, CC";A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station;2022.0;;ISA TRANSACTIONS;;10.1016/j.isatra.2021.08.021;This paper proposes a digital twin solution for unsteady flow state estimation in a pumping station. Digital twin is expected to accurately estimate the real-time hydraulic parameters of blind spots of the pumping station system even under some adverse conditions including the interference of observation noise and model parameters drift. To solve these challenges, a digital twin framework integrating the model-driven method, control theory and data-driven method is presented. In this framework, an unsteady flow state estimation method combining frequency domain analysis and generalized predictive control theory is developed for the first time, which is superior to traditional time-domain numerical discrete methods in terms of computational efficiency and anti-noise interference. In the model parameter calibration process, the novelty concerns modeling of the optimization problem considering the dynamic operation control of the station and unsteady flow of pipelines. And this process is accomplished through the comprehensive application of the model-free adaptive control algorithm, the transient flow model and the particle swarm optimization algorithm. This work is applied to a pumping station in a product pipeline to verify its effectiveness in estimating the transient flow state of data blind spots and map the dynamic operation behavior under the interference of colored noise and parameter drift. (C) 2021 ISA. Published by Elsevier Ltd. All rights reserved.;;
"H. Marah; R. Paredis; M. Challenger; H. Vangheluwe";A Multi-Robot Warehouse System: An Exemplar;2023.0;IEEE;2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350642;10.1109/MODELS-C59198.2023.00090;The complexity of modelling and designing cyber-physical systems arises due to their heterogeneous components and the need to explicitly model the features of interest for these components from different points of view. To support the modelling of these complex systems, multi-paradigm modelling advocates explicitly modelling every part of a system at the most appropriate level(s) of abstraction. From this perspective, this exemplar paper presents an exemplary application of multi-paradigm modelling on the multi-robot warehouse system to provide architectural, behavioural and operational models. These models demonstrate how multi-paradigm modelling has been applied to model the different system parts at different levels of abstraction, applying different modelling formalisms and notations. This paper aims to provide a reference repository of the collection of models of the multi-robot warehouse case study, which can be accessed and utilized to replicate this system, conduct more future research on this case study, and extend it using other formalisms and modelling approaches.;;
"Deng D.; Ding X.; Wang L.";A New 5S Radar Structure Design Model Driven by Digital Twin;2022.0;;Lecture Notes in Electrical Engineering;;;Digital Twin (DT) is acting as a key to realize Cyber-Physical System (CPS) supporting smart manufacturing. In radar community, ideal design description, poor dynamic interaction and limited implementation extension have significant impacts on effectiveness and efficiency of digital radar structure design. For addressing these shortfalls, a new 5S Radar Structure Design Model (5S-RSDM) driven by DT is proposed in this paper, whose composition, design optimization and design knowledge management are discussed. It shows that 5S-RSDM is helpful for persistent design optimization, efficient design knowledge management and significant radar SWaP decrease by creating a digital radar structure twin with dynamic interaction with the physical radar structure counterpart. © 2022, Science Press.;;
"Zhou, MK; Feng, DH";A New Modeling Approach for Power Grid Online Analysis;2020.0;;IFAC PAPERSONLINE;;10.1016/j.ifacol.2020.12.2503;A new modeling approach for power grid online analysis is proposed to support the realization of a new online analysis system architecture. The model-driven software development, automatic code generation, and in-memory computing techniques are employed in the modeling approach. Data source adapters are developed for the integration of the model with the existing EMS system. A large-scale power grid online network data model (similar to 40K-bus) is used for the model performance testing in a Lab environment. The proposed modeling approach was used to develop a new online analysis application, which was deployed and running in a provincial grid dispatching control center. The Lab and field performance measurement shows that the modeling approach-based application can achieve second-order end-to-end responsiveness. Copyright (C) 2020 The Authors.;;
"Xu, CY; Li, WY; Zhao, Y";A Novel Fused NARX-Driven Digital Twin Model for Aeroengine Gas Path Parameter Prediction;;;IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS;;;In this article, we propose a digital twin model (DTM) based on the nonlinear autoregressive model with exogenous (NARX) inputs model network to predict engine gas path parameters accurately. The DTM is combined by a model-driven model (MDM) and a data-driven model (DDM). To allocate the function of MDM and DDM, a pretreating fusion method is proposed for the first time, which is divided into three parts. First, all parameters are predicted by the MDM. Second, for the parameters with bad predictive effects, the DDM is employed to optimize them. Third, the parameters with good predictive effects and those optimized by DDM are fused to generate the DTM. The DDM is built by a two-stage NARX. Particularly, a NARX with a gate recurrent unit attention mapping function is used to improve the accuracy of the predicted parameters. The experimental results show that the maximum prediction error of the DTM is less than 5%. This implies that the fused DTM guarantees the prediction accuracy of each gas path parameter in the case of performance degradation.;;
"Christofi, N; Pucel, X";A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;;;ACM/IEEE 25TH INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS, MODELS 2022 COMPANION;;;Successful satellite data reception requires the nominal operation of the ground stations in charge of their health monitoring as much as the spacecrafts themselves. Although the concept of Model-Based Diagnosis (MBD) in the field of autonomous systems -such as satellites, has long been researched and developed, that is not the case for their ground systems. Both satellites and ground stations operate autonomously. The latter however, are not equipped with the advanced Fault Detection, Isolation and Recovery (FDIR) capabilities one finds today on-board all orbiting spacecrafts. The aim of the study presented in this paper is the improvement of ground stations' operational diagnostics by providing the operators with ad-hock, Operations-Dedicated Models (ODMs). The latter serve as a basis for the construction of the system's Digital Twin (DT) models. These models allow the operators react more quickly and more precisely to alarms raised by the station. By helping the operators identify the malfunction and correct it in the quickest delays, they can avoid loosing the next satellite telemetry (TM) data, thus saving precious time and costs. This would increase both the availability and maintainability of the system. In a larger framework, ODMs are ideally concurrently built and connected with the engineering and safety models of the system, in a sort of virtual continuous improvement loop. While the utter purpose of ODMs is their usage as the system's DTs during operations, they also contribute to the stations' architecture and robustness continuous improvement, through increasing its fault detection and mitigation capabilities.;;
"Lehner, D; Sint, S; Eisenberg, M; Wimmer, M";A pattern catalog for augmenting Digital Twin models with behavior;;;AT-AUTOMATISIERUNGSTECHNIK;;;Digital Twins are emerging as a solution to build and extend existing software systems to make better use of data produced by physical systems. For supporting the development of Digital Twins, several software vendors are offering dedicated tool support, often referred to as Digital Twin platforms. The modeling capabilities of these platforms are mostly concerned with structural viewpoints, i.e., providing an overview of available components including their current and historical sensor values. However, behavioral viewpoints did not yet receive much attention on these platforms. As behavioral models are often used during the design processes, e.g., for simulation and synthesis, it would be beneficial for having them included in Digital Twin platforms, e.g., for reasoning on the set of possible next actions or for checking the execution history to perform runtime validation. In this paper, we present a catalog of modeling patterns for augmenting Digital Twin models with behavioral models and their corresponding runtime information without requiring any extension of the code bases of Digital Twin platforms. We demonstrate the presented modeling patterns by applying them to the Digital Twin platform offered by Microsoft, in an additive manufacturing use case of a 3D printer in a production line.;;
"Bechu G.; Beugnard A.; Cao C.G.L.; Perez Q.; Urtado C.; Vauttier S.";A software engineering point of view on digital twin architecture;2022.0;;IEEE International Conference on Emerging Technologies and Factory Automation, ETFA;;;Digital twins, along with Internet of Things and Artificial Intelligence, have been identified as one of the key technologies for Industry 4.0. However, the definition of Digital Twin (DT) is still abstract and context-dependent. In this paper, we present a metamodel that supports concrete and operational descriptions of digital twin deployment. This metamodel encompasses the different aspects of deployment, including the definition of hardware and software components that compose the layered cyber-physical architectures of the digital twin, along with the installation and instantiation tasks that compose deployment processes. Multiple configurations can also be defined to support the deployment of a digital twin in different execution contexts. The relevance of this metamodel was evaluated by two case studies. The first consists in deploying the digital twin of a cobot in a simulation environment. The second applies the approach in a home automation environment. In both cases, our metamodel provides complete and precise descriptions of the deployment process and thus constitutes a viable first step towards a model-driven approach for digital twin deployment.  © 2022 IEEE.;;
