Title;Publication Title;Authors;Publication Year;Document Identifier;Publisher;Abstract
A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station;ISA TRANSACTIONS;"He, L; Wen, K; Gong, J; Wu, CC";;J;;This paper proposes a digital twin solution for unsteady flow state estimation in a pumping station. Digital twin is expected to accurately estimate the real-time hydraulic parameters of blind spots of the pumping station system even under some adverse conditions including the interference of observation noise and model parameters drift. To solve these challenges, a digital twin framework integrating the model-driven method, control theory and data-driven method is presented. In this framework, an unsteady flow state estimation method combining frequency domain analysis and generalized predictive control theory is developed for the first time, which is superior to traditional time-domain numerical discrete methods in terms of computational efficiency and anti-noise interference. In the model parameter calibration process, the novelty concerns modeling of the optimization problem considering the dynamic operation control of the station and unsteady flow of pipelines. And this process is accomplished through the comprehensive application of the model-free adaptive control algorithm, the transient flow model and the particle swarm optimization algorithm. This work is applied to a pumping station in a product pipeline to verify its effectiveness in estimating the transient flow state of data blind spots and map the dynamic operation behavior under the interference of colored noise and parameter drift. (C) 2021 ISA. Published by Elsevier Ltd. All rights reserved.
A New Modeling Approach for Power Grid Online Analysis;IFAC PAPERSONLINE;"Zhou, MK; Feng, DH";;C;;A new modeling approach for power grid online analysis is proposed to support the realization of a new online analysis system architecture. The model-driven software development, automatic code generation, and in-memory computing techniques are employed in the modeling approach. Data source adapters are developed for the integration of the model with the existing EMS system. A large-scale power grid online network data model (similar to 40K-bus) is used for the model performance testing in a Lab environment. The proposed modeling approach was used to develop a new online analysis application, which was deployed and running in a provincial grid dispatching control center. The Lab and field performance measurement shows that the modeling approach-based application can achieve second-order end-to-end responsiveness. Copyright (C) 2020 The Authors.
Simulation-Based Engineering of Heterogeneous Collaborative Systems-A Novel Conceptual Framework;SUSTAINABILITY;"Perisic, A; Perisic, I; Perisic, B";;J;;We discuss the collaboration support of loosely coupled Smart Systems through configurable hyper-frameworks. Based on the system-of-systems (SoS) paradigm, in this article, we propose the model of a novel extendible conceptual framework with domain-specific moderation support for model-based simulations and the engineering of complex heterogeneous systems. The domain knowledge meta-model and corresponding management enterprise architecture enable the creation of template-based specializations. The proposed SoS conceptual framework meta-model represents an initial framework prototype that supports modeling, simulation, analysis, and utilization of dynamic architecting of heterogeneous SoS configurations. A Smart-Habitat concept encapsulating Smart-Area, Smart-City, Smart-Lot, Smart-Building, and Smart-Unit abstractions illustrate the frameworks' applicability. The proposed SoS conceptual framework represents the initial conceptual support for modeling, simulation, analysis, and dynamic architecting of heterogeneous SoS configurations. We plan to refine the component architecture meta-model, specify a language workbench with Domain-Specific Orchestration Language support, and verify the configuration-based simulation manifest creation. These actions lead to the framework's next stage, an operational framework (OF) instance, as a transitional artifact to the aimed software framework (SwF) counterpart.
Improving Digital Twin Experience Reports;PROCEEDINGS OF THE 9TH INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING AND SOFTWARE DEVELOPMENT (MODELSWARD);"Oakes, BJ; Parsai, A; Van Mierlo, S; Demeyer, S; Denil, J; De Meulenaere, P; Vangheluwe, H";;C;;Digital twins (DTs) are prevalent throughout industrial domains as evidenced by the rapid pace of experience reports in the literature. However, there remains disagreement about the precise definition of a DT and the essential characteristics in the DT paradigm, such as the scope of the system-under-study and the time-scale of its communication with the DT. These experience reports could therefore be hampering further classification and research insights by not reporting all of these relevant details about the DT solutions. We address these concerns by providing a conceptual structure for DTs as a common understanding and checklist for researchers and practitioners to precisely describe the characteristics and capabilities of their DT solutions. We express five experience reports using our structure to demonstrate its applicability and role as a guideline to improve the reporting of characteristics and increase the clarity of future experience reports.
UAV-Assisted Three-Dimensional Spectrum Mapping Driven by Spectrum Data and Channel Model;SYMMETRY-BASEL;"Du, XF; Zhu, QM; Ding, GR; Li, J; Wu, QH; Lan, TX; Lin, ZP; Zhong, WZ; Han, L";;J;;As the number of civil aerial vehicles increase explosively, spectrum scarcity and security become an increasingly challenge in both the airspace and terrestrial space. To address this difficulty, this paper presents an unmanned aerial vehicle-assisted (UAV-assisted) spectrum mapping system and a spectrum data reconstruction algorithm driven by spectrum data and channel model are proposed. The reconstruction algorithm, which includes a model-driven spectrum data inference method and a spectrum data completion method with uniformity decision mechanism, can reconstruct limited and incomplete spectrum data to a three-dimensional (3D) spectrum map. As a result, spectrum scarcity and security can be achieved. Spectrum mapping is a symmetry-based digital twin technology. By employing an uniformity decision mechanism, the proposed completion method can effectively interpolate spatial data even when the collected data are unevenly distributed. The effectiveness of the proposed mapping scheme is evaluated by comparing its results with the ray-tracing simulated data of the campus scenario. Simulation results show that the proposed reconstruction algorithm outperforms the classical inverse distance weighted (IDW) interpolation method and the tensor completion method by about 12.5% and 92.3%, respectively, in terms of reconstruction accuracy when the collected spectrum data are regularly missing, unevenly distributed and limited.
Decentralized Autonomous Operations and Organizations in TransVerse: Federated Intelligence for Smart Mobility;IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS;"Zhao, C; Dai, XY; Lv, YS; Niu, JL; Lin, YL";;J;;Human and social factors are essential to transportation systems, yet top-down management fails to consider them sufficiently. Consequently, management strategies are not tailored to human needs and are inadequate in providing transportation intelligence. This article investigates a management architecture based on decentralized/distributed autonomous operations/organizations (DAOs) that considers both the technical and societal aspects in our transportation metaverse, TransVerse. This design maps people's transportation needs in physical space to their digital counterparts in cyberspace, utilizing blockchain technology to guarantee the secure exchange of information and ultimately bring about the Internet of Minds (IoM). With the federated intelligence that emerged in IoM, we can devise reliable and prompt traffic decisions by incorporating consensus, community voting, and smart contracts into the organizational, coordination, and execution structure. Details on operational procedures and key technologies are also covered. To demonstrate the efficacy of DAOs-based management, a case study of world model-driven cooperative signal control is provided, indicating its promising application in future transportation management.
A virtual model knowledge updating method driven by data;INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY;"Luo, RP; Sheng, BY; Fu, GC; Huang, YZ; Jian, YC; Chen, G";;J;;In the initial construction of unit-level virtual models in the discrete production system, the understanding of physical entities and the actual operating environment is lacking, and the virtual models need to be iteratively updated to resemble the physical entities more closely. To solve the above problems, an updating method for knowledge in the virtual model driven by data is studied. Firstly, the behavior model in the virtual model can be divided into basic functional models such as forward kinematics, trajectory planning, and material generation, and the knowledge components to support functional model computation are constructed. Secondly, the evaluation indexes for the quality, maintainability, and reliability of the knowledge components are established, and appropriate knowledge component combinations can be selected from the knowledge component base. Then, based on the measurements, it is used to the triggering judgment, and a knowledge component combination with the smallest difference between the simulation output of the virtual model and the real data of physical entities is selected from multiple combinations to realize the iterative update of the model. Finally, the feasibility and effectiveness of the method are verified by examples.
Data-Driven Methodology to Support Long-Lasting Logistics and Decision Making for Urban Last-Mile Operations;SUSTAINABILITY;"Gutierrez-Franco, E; Mejia-Argueta, C; Rabelo, L";;J;;Last-mile operations in forward and reverse logistics are responsible for a large part of the costs, emissions, and times in supply chains. These operations have increased due to the growth of electronic commerce and direct-to-consumer strategies. We propose a novel data- and model-driven framework to support decision making for urban distribution. The methodology is composed of diverse, hybrid, and complementary techniques integrated by a decision support system. This approach focuses on key elements of megacities such as socio-demographic diversity, portfolio mix, logistics fragmentation, high congestion factors, and dense commercial areas. The methodological framework will allow decision makers to create early warning systems and, with the implementation of optimization, machine learning, and simulation models together, make the best utilization of resources. The advantages of the system include flexibility in decision making, social welfare, increased productivity, and reductions in cost and environmental impacts. A real-world illustrative example is presented under conditions in one of the most congested cities: the megacity of Bogota, Colombia. Data come from a retail organization operating in the city. A network of stakeholders is analyzed to understand the complex urban distribution. The execution of the methodology was capable of solving a complex problem reducing the number of vehicles utilized, increasing the resource capacity utilization, and reducing the cost of operations of the fleet, meeting all constraints. These constraints included the window of operations and accomplishing the total number of deliveries. Furthermore, the methodology could accomplish the learning function using deep reinforcement learning in reasonable computational times. This preliminary analysis shows the potential benefits, especially in understudied metropolitan areas from emerging markets, supporting a more effective delivery process, and encouraging proactive, dynamic decision making during the execution stage.
Digital Behavioral Twins for Safe Connected Cars;Proceedings of the 21th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems;Chen X,Kang E,Shiraishi S,Preciado VM,Jiang Z;2018.0;Conference Paper;ACM;Driving is a social activity which involves endless interactions with other agents on the road. Failing to locate these agents and predict their possible future actions may result in serious safety hazards. Traditionally, the responsibility for avoiding these safety hazards is solely on the drivers. With improved sensor quantity and quality, modern ADAS systems are able to accurately perceive the location and speed of other nearby vehicles and warn the driver about potential safety hazards. However, accurately predicting the behavior of a driver remains a challenging problem. In this paper, we propose a framework in which behavioral models of drivers (Digital Behavioral Twins) are shared among connected cars to predict potential future actions of neighboring vehicles, therefore improving the safety of driving. We provide mathematical formulations of models of driver behavior and the environment, and discuss challenging problems during model construction and risk analysis. We also demonstrate that our digital twins framework can accurately predict driver behaviors and effectively prevent collisions using a case study in a virtual driving simulation environment.
Digital Behavioral Twins for Safe Connected Cars;21ST ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS (MODELS 2018);"Chen, XM; Kang, E; Shiraishi, S; Preciado, VM; Jiang, ZH";;C;;Driving is a social activity which involves endless interactions with other agents on the road. Failing to locate these agents and predict their possible future actions may result in serious safety hazards. Traditionally, the responsibility for avoiding these safety hazards is solely on the drivers. With improved sensor quantity and quality, modern ADAS systems are able to accurately perceive the location and speed of other nearby vehicles and warn the driver about potential safety hazards. However, accurately predicting the behavior of a driver remains a challenging problem. In this paper, we propose a framework in which behavioral models of drivers (Digital Behavioral Twins) are shared among connected cars to predict potential future actions of neighboring vehicles, therefore improving the safety of driving. We provide mathematical formulations of models of driver behavior and the environment, and discuss challenging problems during model construction and risk analysis. We also demonstrate that our digital twins framework can accurately predict driver behaviors and effectively prevent collisions using a case study in a virtual driving simulation environment.
An EV-Traction Inverter Data-Driven Modelling for Digital Twin Development;2023 23rd International Scientific Conference on Electric Power Engineering (EPE);"M. Ibrahim; H. A. Raja; A. Rassälkin; T. Vaimann; A. Kallaste";2023.0;IEEE Conferences;IEEE;Digital Twin (DT) technology has achieved a significant breakthrough in the development of numerous applications, including electric vehicles (EVs). This technique involves the creation of a virtual version of a real object, utilizing simulation and optimization tools with real data to optimize its functioning. The traction inverter is considered the brain of the EV drive system, as it controls the power flow between the battery and the electric motor. It converts the DC voltage from the battery into AC voltage and adjusts the frequency and amplitude to control the speed and torque of the motor. This research work presents the DT modelling procedures of an EV traction inverter. The basic principles of DT are discussed, and the model-driven DT modelling technique is compared to the data-driven. The motor-drive physical model (test bench) is provided. A data-driven model of the inverter was generated using a nonlinear regression-based artificial neural network ANN. Historical data from experimental tests were used as a modeling reference. The obtained results from the data-driven model achieved high prediction accuracy.
Digital Twins for Sustainable Software Systems;2023 IEEE/ACM 7th International Workshop on Green And Sustainable Software (GREENS);"M. Heithoff; A. Hellwig; J. Michael; B. Rumpe";2023.0;IEEE Conferences;IEEE;Sustainable software systems aim to create resource-efficient software products and reduce the carbon impact of applications. Current approaches for sustainability assessment of software are either only focused on their operation or rely on methods in their engineering. More holistic approaches for sustainable software system spanning are missing. Thus, we are interested in the engineering of sustainable software systems together with the monitoring of their sustainability goals over their whole lifetime. Within this paper, we suggest using digital twins to accompany software systems in all life cycle phases with a specific focus on using model-driven engineering methods for the creation of applications. We can generate accompanying digital twins which share relevant models and data with the actual system and provide services for the assessment of sustainability indicators. In the long run, this provides us with better assessment options for software systems.
Concept of a Modular and System Model Driven Digital Twin for Engineering Education;2023 18th Annual System of Systems Engineering Conference (SoSe);"F. Wilking; M. Behringer; M. Fett; S. Goetz; E. Kirchner; S. Wartzack";2023.0;IEEE Conferences;IEEE;Driven by the opportunities for condition monitoring and new business models, Digital Twins have become a popular topic within research and industrial application over the last years. Therefore, universities must integrate the development of Digital Twins into their educational program to enable future engineers to overcome the challenges concomitant with Digital Twins. While a theoretical basis for Digital Twins is crucial e.g., hardware-software integration, Internet of Things (IoT) or simulation models, a practical combination of these heterogeneous components is also necessary to introduce the Digital Twin as a whole concept. With Model-Based Systems Engineering (MBSE) an approach was introduced to grasp complexity by using system models e.g., through SysML diagrams. Digital Twins are an example for advanced systems shaped by high complexity. The usage of system models is therefore likely. With this contribution, a concept is presented to combine system models and Digital Twins to create a prototype for academic education and the conduction of student projects.
Dynamic Runtime Integration of New Models in Digital Twins;2023 IEEE/ACM 18th Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS);"H. Ejersbo; K. Lausdahl; M. Frasheri; L. Esterle";2023.0;IEEE Conferences;IEEE;The development of cyber-physical systems is heavily relying on model-driven approaches. After deployment, these models can be utilised in a Digital Twin setting, acting as virtual replicas of the physical components and reflecting the behaviour of the running system in real-time. Complex systems often consist of numerous models interacting with each other and individual models may need to be updated after deployment. This means that new models need to be integrated and swapped during runtime without interrupting the running system. In this paper, we propose an approach for model-based Digital Twins to replace individual models without stopping or halting the operation of a cyber-physical system. Furthermore, our approach allows to replace not only individual models, but also update the overall structure of the interaction of models in the Digital Twin setting. The use of the proposed mechanism is illustrated through two case-studies with an agricultural robot prototype.
