sep=|
Authors|Title|Publication year|Publisher|Proceedings title|URLs|DOI|Abstract|Keywords|Series
Stennikov V.; Sokolov D.; Barakhtenko E.; Mayorov G.|A software platform for constructing a digital twin of the integrated energy system|2023.0|Scopus|E3S Web of Conferences|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182756879&doi=10.1051%2fe3sconf%2f202346101001&partnerID=40&md5=894fba6947791fef8e8c195e8261d723|10.1051/e3sconf/202346101001|An integrated energy system is a complex technical object, digital twin technologies improve the quality of its design and management. The paper proposes a methodological approach to the development of a software platform for constructing a digital twin of the integrated energy system and solving a set of problems that arise during system design and management. The Model-Driven Engineering (MDE) concept is implemented to automate the stages of a digital twin construction based on the platform. A three-level architecture of a network multiuser software system is proposed. An algorithm used for automated construction of a digital twin of the integrated energy system is presented. Â© The Authors, published by EDP Sciences.||
Zhu, D; Yin, HL; Xu, YD; Wu, JQ; Zhang, BW; Cheng, YQ; Yin, ZZ; Yu, ZQ; Wen, H; Li, BH|A Survey of Advanced Information Fusion System: from Model-Driven to Knowledge-Enabled|2023.0||DATA SCIENCE AND ENGINEERING||10.1007/s41019-023-00209-8|Advanced knowledge engineering (KE), represented by knowledge graph (KG), drives the development of various fields and engineering technologies and provides various knowledge fusion and knowledge empowerment interfaces. At the same time, advanced system engineering (SE) takes model-based system engineering (MBSE) as the core to realize formal modeling and process analysis of the whole system. The two complement each other and are the key technologies for the transition from 2.0 to 3.0 in the era of artificial intelligence and the transition from perceptual intelligence to cognitive intelligence. This survey summarizes an advanced information fusion system, from model-driven to knowledge-enabled. Firstly, the concept, representative methods, key technologies and application fields of model-driven system engineering are introduced. Then, it introduces the concept of knowledge-driven knowledge engineering, summarizes the architecture and construction methods of advanced knowledge engineering and summarizes the application fields. Finally, the combination of advanced information fusion systems, development opportunities and challenges are discussed.||
Cheng B.H.C.; Clark R.J.; Fleck J.E.; Langford M.A.; McKinley P.K.|AC-ROS: Assurance case driven adaptation for the robot operating system|2020.0|Scopus|Proceedings - 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS 2020|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096963714&doi=10.1145%2f3365438.3410952&partnerID=40&md5=8927c46706c1e199665629a9ee9368b3|10.1145/3365438.3410952|Cyber-physical systems that implement self-adaptive behavior, such as autonomous robots, need to ensure that requirements remain satisfied across run-time adaptations. The Robot Operating System (ROS), a middleware infrastructure for robotic systems, is widely used in both research and industrial applications. However, ROS itself does not assure self-adaptive behavior. This paper introduces AC-ROS, which fills this gap by using assurance case models at run time to manage the self-adaptive operation of ROS-based systems. Assurance cases provide structured arguments that a system satisfies requirements and can be specified graphically with Goal Structuring Notation (GSN) models. AC-ROS uses GSN models to instantiate a ROS-based MAPE-K framework, which in turn uses these models at run time to assure system behavior adheres to requirements across adaptations. For this study, AC-ROS is implemented and tested on EvoRally, a 1:5-scale autonomous vehicle. Â© 2020 ACM.||
Guo, JX; Zhao, DL; Gu, CX; Chen, X; Zhang, XL; Ju, MC|An enhanced state-aware model learning approach for security analysis in lightweight protocol implementations|||JOURNAL OF CLOUD COMPUTING-ADVANCES SYSTEMS AND APPLICATIONS|||Owing to the emergence and rapid advances of new-generation information and digitalization technologies, the concept of model-driven digital twin has received widespread attentions and is developing vigorously. Driven by data and simulators, the digital twin can create the virtual twins of physical objects to perform monitoring, simulation, prediction, optimization, and so on. Hence, the application of digital twin can increase efficiency and security of systems by providing reliable model and decision supports. In this paper, we propose a state-aware model learning method to simulate and analyze the lightweight protocol implementations in edge/cloud environments. We introduce the data flow of program execution and network interaction inputs/outputs (I/O) into the extended finite state machine (EFSM) to expand the modeling scope and insight. We aim to calibrate the states and construct an accurate state-machine model using a digital twin based layered approach to reasonably reflect the correlation of a device's external behavior and internal data. This, in turn, improves our ability to verify the logic and evaluate the security for protocol implementations. This method firstly involves instrumenting the target device to monitor variable activity during its execution. We then employ learning algorithms to produce multiple rounds of message queries. Both the I/O data corresponding to these query sequences and the state calibration information derived from filtered memory variables are obtained through the mapper and execution monitor, respectively. These two aspects of information are combined to dynamically and incrementally construct the protocol's state machine. We apply this method to develop SALearn and evaluate the effectiveness of SALearn on two lightweight protocol implementations. Our experimental results indicate that SALearn outperforms existing protocol model learning tools, achieving higher learning efficiency and uncovering more interesting states and security issues. In total, we identified two violation scenarios of rekey logic. These situations also reflect the differences in details between different implementations.||
A. Khandoker; S. Sint; M. Wimmer; K. Zeman|An Interdisciplinary Course on Model-Based Systems Engineering|2023.0|IEEE|2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)|https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350649|10.1109/MODELS-C59198.2023.00033|Model-Based Systems Engineering (MBSE) has emerged as a promising approach to design and develop complex engineering systems. Its adoption is steadily increasing in various industries and along additional system life cycle phases, showcasing its potential to enhance system development processes, to improve overall system performance, to support traceability, safety & security, maintenance, condition monitoring, upcycling, recycling, and even circular economy. As MBSE is becoming more prevalent in several industries, it is crucial to incorporate MBSE education into engineering curricula to prepare future engineers with the necessary knowledge, methods, skills, and tools. In this paper, we present our interdisciplinary MBSE course at Johannes Kepler University in Linz and further explore the challenges and opportunities of the current state of MBSE education for the effective integration of MBSE into engineering education.||
Zhou Y.; Zhou G.; Zhang C.|An Optimal Operation Control Framework for Digital Twin Manufacturing Cell|2023.0|Scopus|Procedia CIRP|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173583194&doi=10.1016%2fj.procir.2023.06.058&partnerID=40&md5=bbffeef292d3233688e758d628f7f541|10.1016/j.procir.2023.06.058|Digital workshop is a new application of digital twin combined with discrete manufacturing workshop, which can completely improve the perception level of production status by synchronizing virtual workshop and physical workshop production behavior. To improve the level of operation control in the manufacturing process of digital twin workshop, this paper takes autonomous manufacturing cell as implementation scenario and proposes a data and model-driven framework for digital twin manufacturing cell (DTMC), which could support manufacturing cell optimal operation control by a completely modelling, perceiving and controlling strategy. In addition, three key enabling technologies including manufacturing cell production model, dynamic production status perception, disturbance optimal operation control strategy for supporting the optimal framework are analyzed. Then, an experimental test bed of DTMC is highlighted through a thus constructed production model of machine tool, robots, AGV, and workpiece. Finally, benefits of proposed framework and its current challenges are summarized. Â© 2023 Elsevier B.V.. All rights reserved.||
H. Eichelberger; C. NiederÃ©e|Asset Administration Shells, Configuration, Code Generation: A power trio for Industry 4.0 Platforms|2023.0|IEEE|2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA)|https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275339|10.1109/ETFA54631.2023.10275339|"The development of intelligent solutions for manufacturing is a challenging task. Industry 4.0 platforms can provide a unifying layer here. However, flexible AI support, openness for evolving service and components from different vendors and adaptability to the diverse and changing requirements is required from such a platform to boost IIoT development. For this purpose, our approach combines - as a ""power trio"" - (1) wide use of Asset Administration Shells (AAS) for targeting device, component and service heterogeneity, with (2) configuration support for dealing with the diverse and changing requirements and (3) code generation for cost-effective creation of customer specific platform instances, AAS and AI-based Industry 4.0 applications on top of the IIP-Ecosphere platform. The platform has been implemented based on vertically scaled AAS and evaluated with two Industry 4.0 demonstrators. In this context, we discuss the experiences we made with our approach."||
M. Heithoff; M. Konersmann; J. Michael; B. Rumpe; F. Steinfurth|Challenges of Integrating Model-Based Digital Twins for Vehicle Diagnosis|2023.0|IEEE|2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)|https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350439|10.1109/MODELS-C59198.2023.00082|The integration of independently developed digital twins for automotive diagnosis in a service-oriented vehicle architecture into a complex systems-of-systems rises various challenges to be handled. These challenges have to be tackled in detail for each particular domain and technical system architecture. Current research lacks to discuss them for service-oriented vehicle architectures. Within the project AUTOtech.agil, we are developing a digital twin for automotive diagnosis. This paper describes the application scenario, discusses integration challenges in detail and identifies possible mitigation strategies for the challenges. This discussion allows us to identify areas where general mitigation techniques have yet to be found and to extract a concrete roadmap for the automotive diagnosis digital twins.||
Hu, D; Wang, HC; Yang, CL; Wang, BB; Yang, QR; Wang, YY|Construction and verification of dual-fuel engine combustion model|||JOURNAL OF THE ENERGY INSTITUTE|||In order to achieve real-time mapping and online optimization of the combustion process of a dual-fuel engine that is in prolonged operation, this paper is the first to combine the Wiebe function with a deep learning neural network to propose a zero-dimensional (0-D) combustion prediction model for a biodiesel-diesel dual-fuel engine. First, the parameters of the double Wiebe functions are calculated by the Pelican Optimization Algorithm (POA), and the operating parameters and Wiebe parameters are used as input and output parameters of neural networks, respectively, to construct parameter identification models. Then, the combustion process is simplified and reconstructed by combining the Wiebe function with the deep learning neural network, and a 0-D prediction model based on the hybrid model-driven and data-driven method is established, which can further obtain combustion results such as cylinder pressure curve and indicated mean effective pressure (IMEP). The results show that the coefficient of determination (R-2) value of the dual-fuel engine 0-D prediction model based on the double Wiebe function combined with POA-CNN-Bi-LSTM is 0.9827, and the model has good prediction accuracy and generalization. The development of the combustion model provides reliable numerical model support for the online evaluation and optimization of dual-fuel engine performance.||
Hu, D; Wang, HC; Yang, CL; Wang, BB; Duan, BY; Wang, YY; Li, HC|Construction of digital twin model of engine in-cylinder combustion based on data-driven|||ENERGY|||Optimizing the combustion process by predicting combustion parameters during prolonged engine operation is crucial for engine maintenance. This study presents a zero-dimensional (0-D) prediction model that integrates the advantages of model-driven and data-driven approaches. Initially, the snake optimization algorithm (SO) is employed to address the challenges related to low parameter fitting accuracy and multiple solutions in calculating Wiebe parameters. Subsequently, a convolutional neural network-bidirectional long short-term memory neural network (CNN-Bi-LSTM) is devised to establish a nonlinear correlation between operating parameters and Wiebe parameters. The structural parameters of CNN-Bi-LSTM are then optimized using the SO algorithm (SO-CNN-Bi-LSTM). Ultimately, a 0-D prediction combustion model is formulated by amalgamating the Wiebe function with the neural network, enabling real-time prediction of combustion results and generalization analysis of prediction performance under non-calibrated conditions. The findings demonstrate that the combustion model exhibits heightened accuracy, thereby establishing a robust technical foundation for the development of a digital twin in the engine combustion process.||
Wu Y.; Huang Y.; Li X.; Chen Q.; Li Y.; Chang J.|Development and prospect of digital twin model for stray light of spaceborne telescope|2023.0|Scopus|Proceedings of SPIE - The International Society for Optical Engineering|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178361532&doi=10.1117%2f12.2688626&partnerID=40&md5=abd3bfd179b0a5dec57d34fd34b8dbaf|10.1117/12.2688626|With the continuous deepening of research and development in the field of aerospace, the requirements for aerospace payloads are also increasing. The stray light received by the spaceborne telescope in the space environment will be one of the most important factors affecting its performance. The optical mechanical surface of spaceborne telescope will deviate from the original design due to various objective factors during the whole link process, and the actual optical mechanical surface is not ideal. In order to ensure that it can work normally, it is necessary to simulate and analyze the stray light situation of the whole link. This paper mainly introduces the complex environment and complex characteristics experienced from the ground section to the orbit section, analyzes and summarizes the sources of stray light, and finally proposes a framework for establishing a digital twin model of stray light for spaceborne telescopes. Through data-driven and model-driven methods, finally build a complete set of ground, launch, and in-orbit digital twin models. Â© 2023 SPIE.||
Liu Y.; Liu Y.; Liu G.; Zhao T.; Xu Z.; Yang N.; Jia P.|Digital Twin Conception of Intelligent Operation and Maintenance of Power Transformer|2023.0|Scopus|Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174925539&doi=10.13334%2fj.0258-8013.pcsee.221544&partnerID=40&md5=15ed1985e6aa2d9fb28bbd3d2ebdff24|10.13334/j.0258-8013.pcsee.221544|Digital twin is the key technology to realize the digital transformation of power equipment industry and promote the construction of new power system. As important power transmission and transformation equipment, how to build a transformer digital twin and promote the digital and intelligent development of transformers has become a key issue. This paper firstly summarizes the connotation of digital twin and its current research progress in power system, and then it proposes the framework of transformer digital twin system based on the demand of transformer operation and maintenance service as well as gives the realization conception of digital twin for transformer intelligent operation and maintenance by combining the maturity evolution process of digital twin, including five stages which are virtual body characterization, perception interaction, model-driven multi-field calculation, data-driven state analysis and intelligent sharing. For each stage the key technologies and methods of its implementation are analyzed. Finally, the practical application of digital twin of transformer intelligent operation and maintenance is prospected, and the challenges faced in its implementation are summarized. Â©2023 Chin.Soc.for Elec.Eng.||
Liu Z.; Blasch E.; Liao M.; Yang C.; Tsukada K.; Meyendorf N.|Digital Twin for Predictive Maintenance|2023.0|Scopus|Proceedings of SPIE - The International Society for Optical Engineering|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163957060&doi=10.1117%2f12.2660270&partnerID=40&md5=e928d6566bbeb0aa63cdabf194551b2d|10.1117/12.2660270|Digital twin engineering is a disruptive technology that creates a living data model of industrial assets. The living model will continually adapt to changes in the environment or operations using real-time sensory data as well as forecast the future of the corresponding infrastructure. A digital twin can be used to proactively identify potential issues with its real physical counterpart, allowing the prediction of the remaining useful life of the physical twin by leveraging a combination of physics-based models and data-driven analytics. The digital twin ecosystem comprises sensor and measurement technologies, industrial Internet of Things, simulation and modeling, and machine learning. This paper will review the digital twin technology and highlight its application in predictive maintenance applications. Â© 2023 SPIE. All rights reserved.||
Zhou S.; Guo S.; Du B.; Wang L.; Guo J.; Li Y.; Peng Z.; Yu L.|Digital twin model construction method of water treatment plant|2023.0||Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS|||To establish the digital twin model of water treatment plant, a digital twin model construction method was proposed based on five-dimension digital twin model with considering the whole water treatment process. In the proposed construction method, the multi-level digital twin geometric model was carried out to digitally present the whole elements of water treatment plant and their relationships. The digital twin information model was established with these technologies of device identifier resolution, data collection, semantic description and finite state machine, so as to ensure the mapping and digital representation between physical world and digital space. The digital twin decision-making model was built with mechanism and intelligent model-driven hybrid frame work to describe the operation mechanism and law in water treatment plant. The integratnd platform was developed, which verified the effectiveness of the proposed method, and provided an effective reference for the realization of digital twin modeling of water treatment plant. © 2023 CIMS. All rights reserved.||
Qin H.; Lin X.; Luo Q.; Zhou H.; Fu J.; Qu D.; Chen L.|Digital Twin Model of Air-Immersed Transformer Based on Electro-Thermal Simulations|2023.0|Scopus|Lecture Notes in Electrical Engineering|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171524191&doi=10.1007%2f978-981-99-3408-9_11&partnerID=40&md5=ba0a0d7f5e3cd65f2d10ab56bb533c75|10.1007/978-981-99-3408-9_11|A model-driven digital twin (DT) model of a certain type air-immersed transformer is proposed. First, a three-dimensional geometric model of the power transformer is built based on ANSYS Maxwell platform, including the iron core, windings, etc. Then, a digital model of the characteristic parameterization of the transformer in the digital space is established. The electromagnetic field and the temperature field based on ANSYS Workbench platform are coupled. Also, The temperature distribution of the air-immersed transformer core-winding module under six typical different working conditions is studied, and the hot spot location and temperature distribution rule under different working conditions are obtained. The simulation results of magnetic flux density, voltage and current under different operating conditions, losses and theoretical values show that the proposed DT model can effectively reflect the physical mechanism of the transformer. In addition, the simulated results show that the iron core temperature does not rise with the increase of the load rate and the winding temperature rises with the increase of the load rate. Â© 2023, Beijing Paike Culture Commu. Co., Ltd.||
Liu J.; Ji Q.; Zhang X.; Chen Y.; Zhang Y.; Liu X.; Tang M.|Digital twin model-driven capacity evaluation and scheduling optimization for ship welding production line|2023.0|Scopus|Journal of Intelligent Manufacturing|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172089441&doi=10.1007%2fs10845-023-02212-2&partnerID=40&md5=140a57f445c4e60b26092599d3cdb0f7|10.1007/s10845-023-02212-2|Approximately 45% of ship delivery delays are due to welding quality. To solve the problematic control of production tempo and process sequence optimization in the welding process, it is urgent to combine the characteristics of the digital twin for dynamic simulation and optimization. Therefore, the capacity evaluation and scheduling optimization for the ship welding production line (WPL) based on the digital twin is proposed. Firstly, to describe the construction method of the digital twin model and digital twin data, a strategy is proposed for the construction of a digital twin ship component WPL model. Based on the fusion mapping of model and data, the construction of the digital twin model for WPL (DTM-WPL) is achieved. Secondly, by using equipment failure rate, processing time and buffer capacity as evaluation indicators, an WPL optimization model based on digital twins is constructed to solve the WPL production sequencing problem. Thirdly, to illustrate the welding quality traceability and prediction process, a DTM-WPL synchronous mapping for quality prediction and adjustment method is proposed. Finally, taking small and medium-sized WPL as the research object, the capacity evaluation and scheduling optimization system of ship components is developed to evaluate the production capacity of ship components. The validation results indicate that the optimized process scheme has increased production efficiency by 7.27%. Â© 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.||
Ruah C.; Simeone O.; Al-Hashimi B.|Digital Twin-Based Multiple Access Optimization and Monitoring via Model-Driven Bayesian Learning|2023.0|Scopus|IEEE International Conference on Communications|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178313608&doi=10.1109%2fICC45041.2023.10278727&partnerID=40&md5=b39039d5f1f6d6e529f6987edeace75c|10.1109/ICC45041.2023.10278727|Commonly adopted in the manufacturing and aerospace sectors, digital twin (DT) platforms are increasingly seen as a promising paradigm to control and monitor software-based, 'open', communication systems, which play the role of the physical twin (PT). In the general framework presented in this work, the DT builds a Bayesian model of the communication system, which is leveraged to enable core DT functionalities such as control via multi-agent reinforcement learning (MARL) and monitoring of the PT for anomaly detection. We specifically investigate the application of the proposed framework to a simple case-study system encompassing multiple sensing devices that report to a common receiver. The Bayesian model trained at the DT has the key advantage of capturing epistemic uncertainty regarding the communication system, e.g., regarding current traffic conditions, which arise from limited PT-to-DT data transfer. Experimental results validate the effectiveness of the proposed Bayesian framework as compared to standard frequentist model-based solutions.  Â© 2023 IEEE.||
