ID|Authors|Title|Publication year|Publisher|Proceedings title|URLs|DOI|Abstract|Keywords|Series
|Cleophas L,Godfrey T,Khelladi DE,Lehner D,Combemale B,van den Brand M,Vierhauser M,Wimmer M,Zschaler S|A community-sourced view on engineering digital twins: a report from the EDT.Community|2022|Association for Computing Machinery|Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings|https://doi.org/10.1145/3550356.3561549;http://dx.doi.org/10.1145/3550356.3561549|10.1145/3550356.3561549|Digital Twins are an important concept, enabling what-if scenario exploration, predictive maintenance, and other approaches. They help in saving time and physical resources when developing and evolving systems, whether natural or engineered. However, constructing and maintaining digital twins is a challenging engineering task - and, to date, there is a lack of understanding of the engineering techniques and methodologies required. To address these challenges, we created EDT.Community, a programme of seminars on the engineering of digital twins hosting digital twins experts from academia and industry. In this paper, we report on the main topics of discussion from the first year of the programme. We contribute by providing (1) a common understanding of open challenges in research and practice of the engineering of digital twins, and (2) an entry point to researchers who aim to close gaps in the current state of the art.|systems engineering, digital twin, digital engineering|MODELS '22
|Schade, S; Ogilvie, LA; Kessler, T; Schütte, M; Wierling, C; Lange, BM; Lehrach, H; Yaspo, ML|A data- and model-driven approach for cancer treatment|2019||ONKOLOGE||10.1007/s00761-019-0624-z|All people are unique and so are their diseases. Our genomes, disease histories, behavior, and lifestyles are all different; therefore it is not too surprising that people often respond differently when administered the same drugs. Cancer, in particular, is a complex and heterogeneous disease, originating in patients with different genomes, in cells with the different epigenomes, formed and evolving on the basis of random processes, with the response to therapy not only depending on the individual cancer cell but also on many features of the patient. Selection of an optimal therapy will therefore require a deep molecular analysis comprising both the patient and their tumor (e.g., comprehensive molecular tumor analysis [CMTA]), and much better personalized prediction of response to possible therapies. Currently, we are at an inflection point in which advances in technology, decreases in the costs of sequencing and other molecular analyses, and increases in computing advances are converging, forming the foundation to build a data-driven approach to personalized oncology. In this article we discuss the deep molecular characterization of individual tumors and patients as the basis of not only current precision oncology but also of computational models ('digital twins'), the foundation for a truly personalized therapy selection of the future.||
|He, L; Wen, K; Gong, J; Wu, CC|A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station|2022||ISA TRANSACTIONS||10.1016/j.isatra.2021.08.021|This paper proposes a digital twin solution for unsteady flow state estimation in a pumping station. Digital twin is expected to accurately estimate the real-time hydraulic parameters of blind spots of the pumping station system even under some adverse conditions including the interference of observation noise and model parameters drift. To solve these challenges, a digital twin framework integrating the model-driven method, control theory and data-driven method is presented. In this framework, an unsteady flow state estimation method combining frequency domain analysis and generalized predictive control theory is developed for the first time, which is superior to traditional time-domain numerical discrete methods in terms of computational efficiency and anti-noise interference. In the model parameter calibration process, the novelty concerns modeling of the optimization problem considering the dynamic operation control of the station and unsteady flow of pipelines. And this process is accomplished through the comprehensive application of the model-free adaptive control algorithm, the transient flow model and the particle swarm optimization algorithm. This work is applied to a pumping station in a product pipeline to verify its effectiveness in estimating the transient flow state of data blind spots and map the dynamic operation behavior under the interference of colored noise and parameter drift. (C) 2021 ISA. Published by Elsevier Ltd. All rights reserved.||
|Stennikov V.; Sokolov D.; Barakhtenko E.; Mayorov G.|A software platform for constructing a digital twin of the integrated energy system|2023|Scopus|E3S Web of Conferences|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182756879&doi=10.1051%2fe3sconf%2f202346101001&partnerID=40&md5=894fba6947791fef8e8c195e8261d723|10.1051/e3sconf/202346101001|An integrated energy system is a complex technical object, digital twin technologies improve the quality of its design and management. The paper proposes a methodological approach to the development of a software platform for constructing a digital twin of the integrated energy system and solving a set of problems that arise during system design and management. The Model-Driven Engineering (MDE) concept is implemented to automate the stages of a digital twin construction based on the platform. A three-level architecture of a network multiuser software system is proposed. An algorithm used for automated construction of a digital twin of the integrated energy system is presented. Â© The Authors, published by EDP Sciences.||
|Luo, RP; Sheng, BY; Fu, GC; Huang, YZ; Jian, YC; Chen, G|A virtual model knowledge updating method driven by data|2023||INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY||10.1007/s00170-023-11157-y|In the initial construction of unit-level virtual models in the discrete production system, the understanding of physical entities and the actual operating environment is lacking, and the virtual models need to be iteratively updated to resemble the physical entities more closely. To solve the above problems, an updating method for knowledge in the virtual model driven by data is studied. Firstly, the behavior model in the virtual model can be divided into basic functional models such as forward kinematics, trajectory planning, and material generation, and the knowledge components to support functional model computation are constructed. Secondly, the evaluation indexes for the quality, maintainability, and reliability of the knowledge components are established, and appropriate knowledge component combinations can be selected from the knowledge component base. Then, based on the measurements, it is used to the triggering judgment, and a knowledge component combination with the smallest difference between the simulation output of the virtual model and the real data of physical entities is selected from multiple combinations to realize the iterative update of the model. Finally, the feasibility and effectiveness of the method are verified by examples.||
|Cheng B.H.C.; Clark R.J.; Fleck J.E.; Langford M.A.; McKinley P.K.|AC-ROS: Assurance case driven adaptation for the robot operating system|2020|Scopus|Proceedings - 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS 2020|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096963714&doi=10.1145%2f3365438.3410952&partnerID=40&md5=8927c46706c1e199665629a9ee9368b3|10.1145/3365438.3410952|Cyber-physical systems that implement self-adaptive behavior, such as autonomous robots, need to ensure that requirements remain satisfied across run-time adaptations. The Robot Operating System (ROS), a middleware infrastructure for robotic systems, is widely used in both research and industrial applications. However, ROS itself does not assure self-adaptive behavior. This paper introduces AC-ROS, which fills this gap by using assurance case models at run time to manage the self-adaptive operation of ROS-based systems. Assurance cases provide structured arguments that a system satisfies requirements and can be specified graphically with Goal Structuring Notation (GSN) models. AC-ROS uses GSN models to instantiate a ROS-based MAPE-K framework, which in turn uses these models at run time to assure system behavior adheres to requirements across adaptations. For this study, AC-ROS is implemented and tested on EvoRally, a 1:5-scale autonomous vehicle. Â© 2020 ACM.||
|Ibrahim M.; Raja H.A.; Rassolkin A.; Vaimann T.; Kallaste A.|An EV-Traction Inverter Data-Driven Modelling for Digital Twin Development|2023|Scopus|2023 23rd International Scientific Conference on Electric Power Engineering, EPE 2023|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164770178&doi=10.1109%2fEPE58302.2023.10149230&partnerID=40&md5=a8f3bbaa51fd429ae62b44cf1b9b5544|10.1109/EPE58302.2023.10149230|Digital Twin (DT) technology has achieved a significant breakthrough in the development of numerous applications, including electric vehicles (EVs). This technique involves the creation of a virtual version of a real object, utilizing simulation and optimization tools with real data to optimize its functioning. The traction inverter is considered the brain of the EV drive system, as it controls the power flow between the battery and the electric motor. It converts the DC voltage from the battery into AC voltage and adjusts the frequency and amplitude to control the speed and torque of the motor. This research work presents the DT modelling procedures of an EV traction inverter. The basic principles of DT are discussed, and the model-driven DT modelling technique is compared to the data-driven. The motor-drive physical model (test bench) is provided. A data-driven model of the inverter was generated using a nonlinear regression-based artificial neural network ANN. Historical data from experimental tests were used as a modeling reference. The obtained results from the data-driven model achieved high prediction accuracy.  Â© 2023 IEEE.||
|A. Khandoker; S. Sint; M. Wimmer; K. Zeman|An Interdisciplinary Course on Model-Based Systems Engineering|2023|IEEE|2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)|https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350649|10.1109/MODELS-C59198.2023.00033|Model-Based Systems Engineering (MBSE) has emerged as a promising approach to design and develop complex engineering systems. Its adoption is steadily increasing in various industries and along additional system life cycle phases, showcasing its potential to enhance system development processes, to improve overall system performance, to support traceability, safety & security, maintenance, condition monitoring, upcycling, recycling, and even circular economy. As MBSE is becoming more prevalent in several industries, it is crucial to incorporate MBSE education into engineering curricula to prepare future engineers with the necessary knowledge, methods, skills, and tools. In this paper, we present our interdisciplinary MBSE course at Johannes Kepler University in Linz and further explore the challenges and opportunities of the current state of MBSE education for the effective integration of MBSE into engineering education.||
|Zhou Y.; Zhou G.; Zhang C.|An Optimal Operation Control Framework for Digital Twin Manufacturing Cell|2023|Scopus|Procedia CIRP|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173583194&doi=10.1016%2fj.procir.2023.06.058&partnerID=40&md5=bbffeef292d3233688e758d628f7f541|10.1016/j.procir.2023.06.058|Digital workshop is a new application of digital twin combined with discrete manufacturing workshop, which can completely improve the perception level of production status by synchronizing virtual workshop and physical workshop production behavior. To improve the level of operation control in the manufacturing process of digital twin workshop, this paper takes autonomous manufacturing cell as implementation scenario and proposes a data and model-driven framework for digital twin manufacturing cell (DTMC), which could support manufacturing cell optimal operation control by a completely modelling, perceiving and controlling strategy. In addition, three key enabling technologies including manufacturing cell production model, dynamic production status perception, disturbance optimal operation control strategy for supporting the optimal framework are analyzed. Then, an experimental test bed of DTMC is highlighted through a thus constructed production model of machine tool, robots, AGV, and workpiece. Finally, benefits of proposed framework and its current challenges are summarized. Â© 2023 Elsevier B.V.. All rights reserved.||
|H. Eichelberger; C. NiederÃ©e|Asset Administration Shells, Configuration, Code Generation: A power trio for Industry 4.0 Platforms|2023|IEEE|2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA)|https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275339|10.1109/ETFA54631.2023.10275339|"The development of intelligent solutions for manufacturing is a challenging task. Industry 4.0 platforms can provide a unifying layer here. However, flexible AI support, openness for evolving service and components from different vendors and adaptability to the diverse and changing requirements is required from such a platform to boost IIoT development. For this purpose, our approach combines - as a ""power trio"" - (1) wide use of Asset Administration Shells (AAS) for targeting device, component and service heterogeneity, with (2) configuration support for dealing with the diverse and changing requirements and (3) code generation for cost-effective creation of customer specific platform instances, AAS and AI-based Industry 4.0 applications on top of the IIP-Ecosphere platform. The platform has been implemented based on vertically scaled AAS and evaluated with two Industry 4.0 demonstrators. In this context, we discuss the experiences we made with our approach."||
|Schade S.; Ogilvie L.A.; Kessler T.; SchÃ¼tte M.; Wierling C.; Lange B.M.; Lehrach H.; Yaspo M.-L.|AÂ data- and model-driven approach for cancer treatment. German version; [Ein daten- und modellgesteuerter Ansatz zur Behandlung maligner Tumoren]|2019|Scopus|Onkologe|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070840995&doi=10.1007%2fs00761-019-00652-1&partnerID=40&md5=74617799c01f82fa2fdfbd826c42dcbc|10.1007/s00761-019-00652-1|We are unique and so are our diseases. Our genomes, disease histories, behavior, and lifestyles are all different. It is not too surprising, therefore, that we often respond differently to the drugs we receive. Cancer, in particular, is aÂ complex and heterogeneous disease, originating in patients with different genomes, in cells with different epigenomes, formed and evolving on the basis of random processes, with the response to therapy not only depending on the individual cancer cell but also on many features of the patient. Selection of an optimal therapy will therefore require aÂ deep molecular analysis comprising both the patient and their tumor (e.g., comprehensive molecular tumor analysis [CMTA]), and much better personalized prediction of response to possible therapies. Currently, we are at an inflection point in which advances in technology, decreases in the costs of sequencing and other molecular analyses, and increases in computing power are converging, forming the foundation to build aÂ data-driven approach to personalized oncology. Here, we discuss the deep molecular characterization of individual tumors and patients as the basis of not only current precision oncology but also of computational models (â€˜digital twinsâ€™), forming the foundation of aÂ truly personalized therapy selection of the future. Â© 2019, The Author(s).||
|Fend A.; Bork D.|CPSAML: A Language and Code Generation Framework for Digital Twin based Monitoring of Mobile Cyber-Physical Systems|2022|Scopus|Proceedings - ACM/IEEE 25th International Conference on Model Driven Engineering Languages and Systems, MODELS 2022: Companion Proceedings|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142923460&doi=10.1145%2f3550356.3563134&partnerID=40&md5=2c8ccd06abfc9e941254c0b84c65d38a|10.1145/3550356.3563134|Cyber-physical systems (CPS) are finding increasing use, whether in factories, autonomous vehicles, or smart buildings. Monitoring the execution of CPSs is crucial since CPSs directly influence their physical environment. Like the actual system, the monitoring application must be designed, developed, and tested. Mobile CPSs, in contrast to stationary CPSs, bring the additional requirement that instances can dynamically join, leave, or fail during execution time. This dynamic behavior must also be considered in the monitoring application. This paper presents CPSAML, a language and code generation framework for the model-driven development of mobile CPS systems, including a cockpit application for monitoring and interacting with such a system. The pipeline starts with the formulation of the system and the CPSs it contains at an abstract level by the system architect using a domain-specific modeling language. Next, this model is transformed into SysML 2 for further extension and richer specificity by system engineers on a more technical level. In the last step of the pipeline, the SysML 2 model is used to generate code for the CPS devices, a system-wide digital twin, and the cockpit application mentioned above. This cockpit enables the operator to configure and apply the monitoring and interaction with the system during runtime. We evaluate our CPSAML language and code generation framework on an Indoor Transport System case study with Roomba vacuum cleaner robots. Â© 2022 Owner/Author.||
|M. Heithoff; M. Konersmann; J. Michael; B. Rumpe; F. Steinfurth|Challenges of Integrating Model-Based Digital Twins for Vehicle Diagnosis|2023|IEEE|2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)|https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350439|10.1109/MODELS-C59198.2023.00082|The integration of independently developed digital twins for automotive diagnosis in a service-oriented vehicle architecture into a complex systems-of-systems rises various challenges to be handled. These challenges have to be tackled in detail for each particular domain and technical system architecture. Current research lacks to discuss them for service-oriented vehicle architectures. Within the project AUTOtech.agil, we are developing a digital twin for automotive diagnosis. This paper describes the application scenario, discusses integration challenges in detail and identifies possible mitigation strategies for the challenges. This discussion allows us to identify areas where general mitigation techniques have yet to be found and to extract a concrete roadmap for the automotive diagnosis digital twins.||
|Wrobel G,Scheffler R|Classification and mapping of layout algorithms for usage in graph-like modeling languages|2022|Association for Computing Machinery|Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings|https://doi.org/10.1145/3550356.3561559;http://dx.doi.org/10.1145/3550356.3561559|10.1145/3550356.3561559|Graph-lik>modeling languages (GLML) are important modeling artifacts for software tools that are used in the environment of software and systems engineering, digital twins, and domain-specific modeling. Just as with textual languages, the concrete syntax is the representation of the language elements intended for humans and thus has a decisive influence on the comprehensibility and usability of the language.The concrete syntax of GLML is often defined less precisely or in less detail when designing metamodels. While metamodels can be designed independently or even without concrete syntax, the latter is required for the actual usage of a graphical language. The layout and the interaction support for editing the language elements are commonly delegated to tool development. However, the development of modeling tools focuses on functionality such as model transformation and model execution, disregarding usability and handling. Low user acceptance then leads to niche applications and a limited number of users. The main reason for the lack of support for laying out and editing the language elements are complex integration challenges mainly concerning the development or adaptation of suitable layout procedures for GLML.Some frameworks offer a remedy by providing layout procedures for GLML. However, GLML differ from each other concerning their concrete syntax. Even minor differences in the concrete syntax of two languages can make the desirransferable or only transferable through complex adaptations. Formal methods for matching the concrete syntax of a GLML with existing layout procedures as early as during the development of the language are missing.In this paper, we present a classification scheme for layout procedures for GLML. The classification scheme is based on a classification scheme we developed for the concrete syntax of GLML, and it contains significant features. We define a mapping procedure between the two classifiers. As a result, the mapping decides whether a layout procedure can be used for a GLML. Both the classification scheme and the process of mapping are demonstrated in a real-world example of a technical graphical domain-specific modeling language.The presented approach supports the design of GLML and the tool development for GLML. It can be an important step towards automated tool development.|layout-algorithm reuse, graph-like modeling languages, designing and implementing modeling languages, concrete syntax of modeling languages|MODELS '22
|Wilking F.; Behringer M.; Fett M.; Goetz S.; Kirchner E.; Wartzack S.|Concept of a Modular and System Model Driven Digital Twin for Engineering Education|2023|Scopus|2023 18th Annual System of Systems Engineering Conference, SoSe 2023|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166734232&doi=10.1109%2fSoSE59841.2023.10178517&partnerID=40&md5=d93cc883617e6d3f4dd5ab047995b383|10.1109/SoSE59841.2023.10178517|Driven by the opportunities for condition monitoring and new business models, Digital Twins have become a popular topic within research and industrial application over the last years. Therefore, universities must integrate the development of Digital Twins into their educational program to enable future engineers to overcome the challenges concomitant with Digital Twins. While a theoretical basis for Digital Twins is crucial e.g., hardware-software integration, Internet of Things (IoT) or simulation models, a practical combination of these heterogeneous components is also necessary to introduce the Digital Twin as a whole concept. With Model-Based Systems Engineering (MBSE) an approach was introduced to grasp complexity by using system models e.g., through SysML diagrams. Digital Twins are an example for advanced systems shaped by high complexity. The usage of system models is therefore likely. With this contribution, a concept is presented to combine system models and Digital Twins to create a prototype for academic education and the conduction of student projects.  Â© 2023 IEEE.||
