sep=|
ID|Authors|Title|Publication year|Publisher|Proceedings title|URLs|DOI|Abstract|Keywords|Series
|I. Koren; N. Jansen; J. Michael; B. Rumpe; E. BÃ¶se|A Low-Code Approach for Data View Extraction from Engineering Models with GraphQL|2023|IEEE|2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)|https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350817|10.1109/MODELS-C59198.2023.00139|Access to data for analysis and control tasks is at the heart of digitization efforts in the manufacturing industry. While sophisticated modeling languages like SysML describe systems and their components, data often ends up in purpose-built relational and time series databases. To generate value, information must be retrieved and integrated from multiple sources. In this paper, we propose an innovative method for leveraging SysML engineering models and database queries by combining them in a collaborative low-code web environment. First, we make heterogeneous databases available via GraphQL, a state-of-the-art approach for building Web APIs. Then, our web application enables domain experts to exploit containment relations in SysML models to connect diverse data sources. The outcome is an integrated GraphQL API that matches the engineering model structures by resembling views across multiple database sources. The discussed approach incorporates the benefits of data-oriented development and low-code platforms beyond the business automation domain.||
|Shokooh, S; Nordvik, G|A MODEL-DRIVEN APPROACH FOR SITUATIONAL INTELLIGENCE & OPERATIONAL AWARENESS|2019|IEEE|2019 PETROLEUM AND CHEMICAL INDUSTRY CONFERENCE EUROPE (PCIC EUROPE)||10.23919/pciceurope46863.2019.9011632|In order to design, operate, and maintain an oil and gas facility, one must first understand its behavior. A model-driven engineering and operation solution is required to analyze and identify problems early on and then improve design to ensure further problems are less likely. Predictive models are already shaping our experiences. They recommend products and services based on our habits. Predictive models of electrical power networks serve as a digital twin of the system including network topology, engineering parameters, and other pertinent information with real-time data acquired for depicting the actual operation of the system. A clear and thorough understanding of the operational system increases uptime and reduces the number of unnecessary shutdowns. Predictive simulation models help engineers and operators increase their understanding of systems in a cost-effective and repeatable environment by offering Situational Intelligence & Automation. This paper will include the benefits of adding such a system, the challenges that must be overcome and the lessons that have been learned from the implementation of several of these systems. It will also serve as a handbook on justification for a model-driven power management and automation of oil and gas facilities.||
|Bocciarelli, P; D'Ambrogio, A; Panetti, T|A Model Based Framework for IoT-Aware Business Process Management|2023||FUTURE INTERNET||10.3390/fi15020050|IoT-aware Business Processes (BPs) that exchange data with Internet of Things (IoT) devices, briefly referred to as IoT-aware BPs, are gaining momentum in the BPM field. Introducing IoT technologies from the early stages of the BP development process requires dealing with the complexity and heterogeneity of such technologies at design and analysis time. This paper analyzes widely used IoT frameworks and ontologies to introduce a BPMN extension that improves the expressiveness of relevant BP modeling notations and allows an appropriate representation of IoT devices from both an architectural and a behavioral perspective. In the BP management field, the use of simulation-based approaches is recognized as an effective technology for analyzing BPs. Simulation models need to be parameterized according to relevant properties of the process under study. Unfortunately, such parameters may change during the process operational life, thus making the simulation model invalid with respect to the actual process behavior. To ease the analysis of IoT-aware BPs, this paper introduces a model-driven method for the automated development of digital twins of actual business processes. The proposed method also exploits data retrieved by IoT sensors to automatically reconfigure the simulation model, to make the digital twin continuously coherent and compliant with its actual counterpart.||
|P. Spaney; S. Becker; R. StrÃ¶bel; J. Fleischer; S. Zenhari; H. -C. MÃ¶hring; A. -K. SplettstÃ¶ÃŸer; A. Wortmann|A Model-Driven Digital Twin for Manufacturing Process Adaptation|2023|IEEE|2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)|https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350824|10.1109/MODELS-C59198.2023.00081|Digital twins are a means to better understand, engineer, and use cyber-physical systems. In manufacturing, digital twins can optimize production, prevent failures, and save resources. To consolidate the different approaches to digital twins in manufacturing, ISO 23247 defines the essential functional elements of a digital twin. We present a model-driven digital twin exemplar that realizes part of this standard to analyze milling processes. Our digital twin reference architecture includes a digital twin service component that manages and connects different services to adapt the manufacturing process according to a given objective. Two digital twin services, for the adaptation of component and tool conditions and for geometric error adaptation, illustrate the potential of this reference architecture. The digital twin connects to an industrial milling machine via domain-specific languages. This exemplar uses models at design time and at runtime to separate the concerns of software engineers and domain experts and leverages these models to understand and optimize the use of industrial machine tools.||
|D. Lehner|A Model-Driven Platform for Engineering Holistic Digital Twins|2023|IEEE|2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)|https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350749|10.1109/MODELS-C59198.2023.00045|With the combination of software and physical devices into so-called cyber-physical systems (CPSs), Digital Twins (DTs) have emerged to handle the resulting complexity and efficiently connect software to physical devices, the so-called physical twins (PTs). While DTs have gained more and more interest in both industry and academia in recent years, several vendors started to provide so-called DT platforms that offer software tools that promise to make it easier to develop and maintain DTs. When investigating these platforms in more detail, we found that they require the redundant specification of information that is usually already defined in engineering models describing the underlying PT. Additionally, they focus on connecting services to the running PT. Most DT applications however also need a connection to a simulation of the PT, which is currently not supported by the examined DT platforms. As different DT platforms usually each use their own proprietary language and software tooling, it is also currently time-demanding to integrate them with the software services that realize functionality based on these platforms. In the described thesis project, we propose an extended DT platform that solves the mentioned problems by leveraging Model-driven Engineering (MDE) techniques. More precisely, we (i) develop model transformations from existing engineering models to the proprietary DT models used by current DT platforms, (ii) create a DT megamodel that integrates DT models of existing platforms with models representing different endpoints such as PTs or simulations, and generic service descriptions, and (iii) propose a workflow model to define the interactions between different services and DTs, and a method that automates the integration of services and DTs into DT architectures based on this workflow model and the DT megamodel. We aim to evaluate our work by performing case studies on a set of CPSs. In these case studies, we measure the steps required for setting up and maintaining DT architectures for these CPSs, comparing our extended DT platform to existing DT platform support.||
|Vale S.; Reddy S.; Subramanian S.; Chaudhuri S.R.; Harsha Nistala S.; Deodhar A.; Runkana V.|A Model-driven Approach for Knowledge-based Engineering of Industrial Digital Twins|2023|Scopus|Proceedings - ACM/IEEE 26th International Conference on Model Driven Engineering Languages and Systems, MODELS 2023|https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182345617&doi=10.1109%2fMODELS58315.2023.00015&partnerID=40&md5=950c244fa7ac78d5f5cf87a96f24b1bb|10.1109/MODELS58315.2023.00015|Digital twins are heralding a new paradigm in the process and manufacturing industries by providing real-Time decision support for a range of key problems. Engineering digital twin solutions is a knowledge and effort intensive activity. In-depth knowledge of manufacturing plant, process operations, underlying physics, data, and technical problems is essential in the design of digital twin application for a given business objective. Industry domain experts, data scientists and solution developers must collaborate to build it with the required features and functionalities. Currently, it is not an easily scalable process. For each industry vertical and even for the same plant type, the development process has to be repeated manually. To address this, we present a model-driven knowledge-based approach where knowledge can be captured in a machine processible form and reasoned with, to systematically guide the solution development process. Knowledge is modelled at three levels of abstraction, namely, meta, plant type and plant instance. We describe how this helps in generalizing the knowledge, in driving the knowledge acquisition process, and in contextualizing knowledge to specific problem instances. We then outline how the captured knowledge can be exploited to guide various digital twin engineering tasks such as problem definition, model building (physics or data-driven), data preparation, algorithm selection, etc. In particular, we discuss how the approach helps in arriving at a detailed digital twin specification starting from a high-level business problem statement. We present a case study demonstrating the approach on a real-life industrial problem.  Â© 2023 IEEE.||
|Nast, B; Reiz, A; Ivanovic, N; Sandkuhl, K|A Modeling Approach Supporting Digital Twin Engineering: Optimizing the Energy Consumption of Air Conditioning Facilities|2023|IEEE|2023 ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION, MODELS-C||10.1109/MODELS-C59198.2023.00083|Digital Twin (DT) is a concept that has become increasingly relevant in recent years. The basic idea is to connect (physical) facilities or devices with digital representations to monitor, manipulate and predict their behavior in real-time. This work presents a modeling approach supporting DT engineering for air conditioning facilities. We describe the architecture of our system for developing digital representations of physically existing facilities in an industrial use case. The paper focuses on (a) the developed modeling tool, (b) the cloud service configuration, and (c) data analysis that enables energy optimizations.||
|H. Marah; R. Paredis; M. Challenger; H. Vangheluwe|A Multi-Robot Warehouse System: An Exemplar|2023|IEEE|2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)|https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350642|10.1109/MODELS-C59198.2023.00090|The complexity of modelling and designing cyber-physical systems arises due to their heterogeneous components and the need to explicitly model the features of interest for these components from different points of view. To support the modelling of these complex systems, multi-paradigm modelling advocates explicitly modelling every part of a system at the most appropriate level(s) of abstraction. From this perspective, this exemplar paper presents an exemplary application of multi-paradigm modelling on the multi-robot warehouse system to provide architectural, behavioural and operational models. These models demonstrate how multi-paradigm modelling has been applied to model the different system parts at different levels of abstraction, applying different modelling formalisms and notations. This paper aims to provide a reference repository of the collection of models of the multi-robot warehouse case study, which can be accessed and utilized to replicate this system, conduct more future research on this case study, and extend it using other formalisms and modelling approaches.||
|Zhou, MK; Feng, DH|A New Modeling Approach for Power Grid Online Analysis|2020||IFAC PAPERSONLINE||10.1016/j.ifacol.2020.12.2503|A new modeling approach for power grid online analysis is proposed to support the realization of a new online analysis system architecture. The model-driven software development, automatic code generation, and in-memory computing techniques are employed in the modeling approach. Data source adapters are developed for the integration of the model with the existing EMS system. A large-scale power grid online network data model (similar to 40K-bus) is used for the model performance testing in a Lab environment. The proposed modeling approach was used to develop a new online analysis application, which was deployed and running in a provincial grid dispatching control center. The Lab and field performance measurement shows that the modeling approach-based application can achieve second-order end-to-end responsiveness. Copyright (C) 2020 The Authors.||
|Xu, CY; Li, WY; Zhao, Y|A Novel Fused NARX-Driven Digital Twin Model for Aeroengine Gas Path Parameter Prediction|2024||IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS||10.1109/TII.2023.3345462|In this article, we propose a digital twin model (DTM) based on the nonlinear autoregressive model with exogenous (NARX) inputs model network to predict engine gas path parameters accurately. The DTM is combined by a model-driven model (MDM) and a data-driven model (DDM). To allocate the function of MDM and DDM, a pretreating fusion method is proposed for the first time, which is divided into three parts. First, all parameters are predicted by the MDM. Second, for the parameters with bad predictive effects, the DDM is employed to optimize them. Third, the parameters with good predictive effects and those optimized by DDM are fused to generate the DTM. The DDM is built by a two-stage NARX. Particularly, a NARX with a gate recurrent unit attention mapping function is used to improve the accuracy of the predicted parameters. The experimental results show that the maximum prediction error of the DTM is less than 5%. This implies that the fused DTM guarantees the prediction accuracy of each gas path parameter in the case of performance degradation.||
|Zhu, D; Yin, HL; Xu, YD; Wu, JQ; Zhang, BW; Cheng, YQ; Yin, ZZ; Yu, ZQ; Wen, H; Li, BH|A Survey of Advanced Information Fusion System: from Model-Driven to Knowledge-Enabled|2023||DATA SCIENCE AND ENGINEERING||10.1007/s41019-023-00209-8|Advanced knowledge engineering (KE), represented by knowledge graph (KG), drives the development of various fields and engineering technologies and provides various knowledge fusion and knowledge empowerment interfaces. At the same time, advanced system engineering (SE) takes model-based system engineering (MBSE) as the core to realize formal modeling and process analysis of the whole system. The two complement each other and are the key technologies for the transition from 2.0 to 3.0 in the era of artificial intelligence and the transition from perceptual intelligence to cognitive intelligence. This survey summarizes an advanced information fusion system, from model-driven to knowledge-enabled. Firstly, the concept, representative methods, key technologies and application fields of model-driven system engineering are introduced. Then, it introduces the concept of knowledge-driven knowledge engineering, summarizes the architecture and construction methods of advanced knowledge engineering and summarizes the application fields. Finally, the combination of advanced information fusion systems, development opportunities and challenges are discussed.||
|Cleophas L,Godfrey T,Khelladi DE,Lehner D,Combemale B,van den Brand M,Vierhauser M,Wimmer M,Zschaler S|A community-sourced view on engineering digital twins: a report from the EDT.Community|2022|Association for Computing Machinery|Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings|https://doi.org/10.1145/3550356.3561549;http://dx.doi.org/10.1145/3550356.3561549|10.1145/3550356.3561549|Digital Twins are an important concept, enabling what-if scenario exploration, predictive maintenance, and other approaches. They help in saving time and physical resources when developing and evolving systems, whether natural or engineered. However, constructing and maintaining digital twins is a challenging engineering task - and, to date, there is a lack of understanding of the engineering techniques and methodologies required. To address these challenges, we created EDT.Community, a programme of seminars on the engineering of digital twins hosting digital twins experts from academia and industry. In this paper, we report on the main topics of discussion from the first year of the programme. We contribute by providing (1) a common understanding of open challenges in research and practice of the engineering of digital twins, and (2) an entry point to researchers who aim to close gaps in the current state of the art.|systems engineering, digital twin, digital engineering|MODELS '22
|Schade, S; Ogilvie, LA; Kessler, T; Schütte, M; Wierling, C; Lange, BM; Lehrach, H; Yaspo, ML|A data- and model-driven approach for cancer treatment|2019||ONKOLOGE||10.1007/s00761-019-0624-z|All people are unique and so are their diseases. Our genomes, disease histories, behavior, and lifestyles are all different; therefore it is not too surprising that people often respond differently when administered the same drugs. Cancer, in particular, is a complex and heterogeneous disease, originating in patients with different genomes, in cells with the different epigenomes, formed and evolving on the basis of random processes, with the response to therapy not only depending on the individual cancer cell but also on many features of the patient. Selection of an optimal therapy will therefore require a deep molecular analysis comprising both the patient and their tumor (e.g., comprehensive molecular tumor analysis [CMTA]), and much better personalized prediction of response to possible therapies. Currently, we are at an inflection point in which advances in technology, decreases in the costs of sequencing and other molecular analyses, and increases in computing advances are converging, forming the foundation to build a data-driven approach to personalized oncology. In this article we discuss the deep molecular characterization of individual tumors and patients as the basis of not only current precision oncology but also of computational models ('digital twins'), the foundation for a truly personalized therapy selection of the future.||
|Schade, S; Ogilvie, LA; Kessler, T; Schütte, M; Wierling, C; Lange, BM; Lehrach, H; Yaspo, ML|A data- and model-driven approach for cancer treatment. German version|2019||ONKOLOGE||10.1007/s00761-019-00652-1|We are unique and so are our diseases. Our genomes, disease histories, behavior, and lifestyles are all different. It is not too surprising, therefore, that we often respond differently to the drugs we receive. Cancer, in particular, is a complex and heterogeneous disease, originating in patients with different genomes, in cells with different epigenomes, formed and evolving on the basis of random processes, with the response to therapy not only depending on the individual cancer cell but also on many features of the patient. Selection of an optimal therapy will therefore require a deep molecular analysis comprising both the patient and their tumor (e.g., comprehensive molecular tumor analysis [CMTA]), and much better personalized prediction of response to possible therapies. Currently, we are at an inflection point in which advances in technology, decreases in the costs of sequencing and other molecular analyses, and increases in computing power are converging, forming the foundation to build a data-driven approach to personalized oncology. Here, we discuss the deep molecular characterization of individual tumors and patients as the basis of not only current precision oncology but also of computational models ('digital twins'), forming the foundation of a truly personalized therapy selection of the future.||
|Huangfu, YF; Dong, XJ; Cao, YX; Li, ZW; Peng, ZK; Sun, YT|A life-cycle dynamic wear degradation model of planetary gear systems|2024||WEAR||10.1016/j.wear.2024.205281|An accurate prediction model for surface wear in planetary gear systems is essential to decipher wear fault mechanisms and facilitate model-driven failure prognosis. A high-fidelity dynamic wear model relies on the appropriate characterization and updating strategy of the tooth macro-geometry, contact parameters and dynamic load. A geometrically adaptive-loaded tooth contact analysis (GA-LTCA) method is proposed to bridge wear morphology and dynamic behaviours. The finite element method and run-to-failure test are adopted to verify the GA-LTCA method and wear prediction model, respectively. Based on the proposed wear model, the life-cycle wear characteristics and the updating strategy of wear geometry are investigated. Owing to the consideration of the micro-cycle of the contact stress and geometrical updating, the predicted wear profile exhibits a desirable agreement with experimental results. The tooth profile deviation vector should be updated more frequently than the finite element model of worn gears. Only the finite element grid of the sun-planet gear pair should be updated because the wear of the sun-planet is much more serious than that of the ring-planet. Numerical results indicate the potential of the proposed high-fidelity model for digital twin-based wear prediction and life cycle failure prognosis.||
|He, L; Wen, K; Gong, J; Wu, CC|A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station|2022||ISA TRANSACTIONS||10.1016/j.isatra.2021.08.021|This paper proposes a digital twin solution for unsteady flow state estimation in a pumping station. Digital twin is expected to accurately estimate the real-time hydraulic parameters of blind spots of the pumping station system even under some adverse conditions including the interference of observation noise and model parameters drift. To solve these challenges, a digital twin framework integrating the model-driven method, control theory and data-driven method is presented. In this framework, an unsteady flow state estimation method combining frequency domain analysis and generalized predictive control theory is developed for the first time, which is superior to traditional time-domain numerical discrete methods in terms of computational efficiency and anti-noise interference. In the model parameter calibration process, the novelty concerns modeling of the optimization problem considering the dynamic operation control of the station and unsteady flow of pipelines. And this process is accomplished through the comprehensive application of the model-free adaptive control algorithm, the transient flow model and the particle swarm optimization algorithm. This work is applied to a pumping station in a product pipeline to verify its effectiveness in estimating the transient flow state of data blind spots and map the dynamic operation behavior under the interference of colored noise and parameter drift. (C) 2021 ISA. Published by Elsevier Ltd. All rights reserved.||
