;title;abstract;dc:publisher;prism:aggregationType;prism:publicationName;prism:coverDate;prism:url
10;An open platform for modeling method conceptualization: The OMiLAB digital ecosystem;This paper motivates, describes, demonstrates in use, and evaluates the Open Models Laboratory (OMiLAB)-an open digital ecosystem designed to help one conceptualize and operationalize conceptual modeling methods. The OMiLAB ecosystem, which a generalized understanding of “model value” motivates, targets research and education stakeholders who fulfill various roles in a modeling method’s lifecycle. While we have many reports on novel modeling methods and tools for various domains, we lack knowledge on conceptualizing such methods via a full-fledged dedicated open ecosystem and a methodology that facilitates entry points for novices and an open innovation space for experienced stakeholders. This gap continues due to the lack of an open process and platform for 1) conducting research in the field of modeling method design, 2) developing agile modeling tools and model-driven digital products, and 3) experimenting with and disseminating such methods and related prototypes. OMiLAB incorporates principles, practices, procedures, tools, and services required to address the issues above since it focuses on being the operational deployment for a conceptualization and operationalization process built on several pillars: 1) a granularly defined “modeling method” concept whose building blocks one can customize for the domain of choice, 2) an “agile modeling method engineering” framework that helps one quickly prototype modeling tools, 3) a model-aware “digital product design lab”, and 4) dissemination channels for reaching a global community. In this paper, we demonstrate and evaluate the OMiLAB in research with two selected application cases for domain- and case-specific requirements. Besides these exemplary cases, OMiLAB has proven to effectively satisfy requirements that almost 50 modeling methods raise and, thus, to support researchers in designing novel modeling methods, developing tools, and disseminating outcomes. We also measured OMiLAB’s educational impact.;Association for Information Systemspublications@aisnet.org;Journal;Communications of the Association for Information Systems;2019-01-01;https://api.elsevier.com/content/abstract/scopus_id/85063641634
11;Framework to Model PSS Collaborative Value Networks and Assess Uncertainty of Their Economic Models;This paper presents a framework for addressing the challenge of economic value sharing among actors of Product-Service value networks. More specifically the framework is dedicated to the assessment of alternative collaborative value networks and their associated economic models, at the time of designing a product-service system (PSS). The framework includes three main components: Modelling, simulation and uncertainty assessment. The framework is briefly presented as parts of its components were discussed in previous research. The paper provides an illustration with a design project of a PSS solution in the agro-alimentary industry, requiring a balanced configuration of collaborative value network.;Springer New York LLCbarbara.b.bertram@gsk.com;Book Series;IFIP Advances in Information and Communication Technology;2019-01-01;https://api.elsevier.com/content/abstract/scopus_id/85072956421
12;Modeling product-service systems for the internet of things: The comvantage method;"This chapter provides an overview on the current state of the ComVantage modeling method implementation. The method addresses the domain of product-service systems that must run in an Internet of Things environment. This specificity manifests in several aspects: (i) the underlying business model is based on the provision of products, services or a mix of these (e.g., maintenance services attached to products with embedded systems); (ii) collaborative business processes must be supported by mobile apps that consume Linked Data; (iii) model contents must be available to model-aware run-time systems running in a Linked Data environment; (iv) modeling concepts must be linked to IoT resources and their properties, in order to provide a mash-up back-end knowledge base to Internet of Things applications. The method was initiated in a European FP7 research project, therefore project context will also be highlighted, to better outline the motivational frame.";Springer International Publishing;Book;Domain-Specific Conceptual Modeling: Concepts, Methods and Tools;2016-07-09;https://api.elsevier.com/content/abstract/scopus_id/85015734879
13;Model-aware software engineering a knowledge-based approach to model-driven software engineering;Standard modelling languages enabled the Model-Driven Software Engineering paradigm, allowing the development of model compilers for code generation. This, however, induces a subordination of implementation to the modelling language: the modelling benefits are confined to a fixed semantic space. On the other hand, the rise of agile software development practices has impacted model-driven engineering practices - an Agile Modelling paradigm was consequently introduced. This was later expanded towards the Agile Modelling Method Engineering (AMME) framework which generalizes agility at the modelling method level. By observing several AMME-driven implementation experiences, this paper specialises the notion of Model-Driven Software Engineering to that of Model-Aware Software Engineering – an approach that relies on modelling language evolution, in response to the evolution of the implemented system's requirements. The key benefit is that the modelling language-implementation dependency is reversed, as the implementation needs propagate requirements towards an agile modelling language.;SciTePress;Conference Proceeding;ENASE 2018 - Proceedings of the 13th International Conference on Evaluation of Novel Approaches to Software Engineering;2018-01-01;https://api.elsevier.com/content/abstract/scopus_id/85047728412
14;Product-service systems engineering: State of the art and research challenges;The design and development of a Product-Service System (PSS) raises new issues since the service component introduces further requirements than traditional product engineering. Compared to physical products, services are generally under-designed and inefficiently developed. For this reason, approaches such as New Service Development, Service Design and Service Engineering have emerged during the years to support the design and development of service either as a system itself or as a constituting element of a Product-Service System. However, only Service Engineering investigates service design and development with a systematic perspective and with a seamless integration of product and service contents. The purpose of this paper is to provide a holistic conceptualisation and an up-to-date review of the literature on Service Engineering with a specific focus on its adoption in the PSS context. A critical analysis is also performed with the aim to define a research agenda and the most prominent key actions that could give directions for future research. © 2012 Elsevier B.V. All rights reserved.;Elsevier B.V.;Journal;Computers in Industry;2012-01-01;https://api.elsevier.com/content/abstract/scopus_id/84860731929
15;A Modeling Method for Model-Driven API Management;This article reports on the Design Science engineering cycle foimplementing a modeling method to support model-driven, process-centric APmanagement. The BPMN standard was hereby enriched on semantic, syntactiand tool levels in order to provide a viable solution for integrating API requestwith diagrammatic business process models in order to facilitate thdocumentation or testing of REST API calls directly in a modeling environment. The method can be implemented by stakeholders that need to map and manage their API ecosystem, thus gaining more API management agility and improving their software engineering productivity. By assimilating APecosystem conceptualization in the modeling environment, the proposal differfrom both RPA (which typically employs non-BPMN process diagramming e.g., in UIPath) and BPM Systems (which typically isolate all API-related semantics outside the process modeling language to keep the diagrammatic representation standard-compliant).;Riga Technical University;Journal;Complex Systems Informatics and Modeling Quarterly;2020-01-01;https://api.elsevier.com/content/abstract/scopus_id/85118657155
16;Agile modelling method engineering: Lessons learned in the ComVantage research project;The paper reports on experiences accumulated during a EU research project where challenges pertaining to requirements-driven metamodelling agility have been analysed. Traditionally, modelling languages are perceived as stable artefacts – that is, if they address a sufficiently large community with fixed modelling requirements on a fixed layer of abstraction. However, the enterprise modelling community must also consider the case where evolving requirements emerge in a narrow domain, or even in a single enterprise, therefore reusability across domains will be sacrificed to the benefit of on-demand adaptation, specialization or integration. Under such conditions, an agile metamodelling approach was applied in the ComVantage project and this, in turn, raised specific requirements for conceptual and technological enablers, allowing us to derive conclusions that are generalized here beyond the project scope. The paper’s concluding SWOT analysis highlights the need to stimulate the emergence of an agile metamodelling paradigm based on community-driven enablers.;Springer Verlagservice@springer.de;Book Series;Lecture Notes in Business Information Processing;2015-01-01;https://api.elsevier.com/content/abstract/scopus_id/84952672210
17;Boosting servitization through digitization: Pathways and dynamic resource configurations for manufacturers;The importance of digital technologies for services in manufacturing has often been posited, but current literature has neglected to explain how companies can leverage digital methods to increase their service offering. In this article we contribute to current theory by examining how digitization can enable servitization for manufacturers. By performing a multiple-case study at four manufacturing SMEs, we provide evidence for a priming and a capability effect. In terms of priming, we find that specific digitization options lead to three servitization pathways: industrial, commercial and value servitization. Through a dynamic resource-based lens, the barriers, dynamic resource configurations and competitive benefits specific to each pathway are discussed. Finally, this paper offers managers insight on successfully reaching higher service levels through development of digital assets, and on the skills necessary to further integrate into customers’ processes.;Elsevier Inc.usjcs@elsevier.com;Journal;Industrial Marketing Management;2017-01-01;https://api.elsevier.com/content/abstract/scopus_id/84969960029
18;Interoperability assessment: A systematic literature review;The development of Interoperability is a necessity for organisations to achieve business goals and capture new market opportunities. Indeed, interoperability allows enterprises to exchange information and use it to seize their shared goals. Therefore, it should be verified and continuously improved. This is the main objective of the Interoperability Assessment (INAS). Indeed, such an assessment aims at determining the strengths and weakness of an enterprise in terms of interoperability. Many surveys and reviews have been proposed in the literature to analyse the existing INAS approaches. However, the majority of these reviews are focusing on specific properties rather than a general view of an INAS. Therefore, this paper proposes a systematic literature review of INAS approaches. The objectives are to identify the relevant INAS approaches and to compare them based on a holistic view based on their similar and different properties (e.g. type of assessment, the used measurement mechanism, and the addressed interoperability barriers). A bibliometric analysis of the selected INAS approaches is also conducted with a discussion of their advantages and limitations.;Elsevier B.V.;Journal;Computers in Industry;2019-04-01;https://api.elsevier.com/content/abstract/scopus_id/85060169989
19;Formalizing Conceptual Modeling Methods with MetaMorph;Models evolved from mere pictures supporting human understanding to sophisticated knowledge structures processable by machines. This entails an inevitable need for computer-understandable models and languages and causes formalization to be a crucial part in the lifecycle of a modeling method. An appropriate formalism must be a means for providing a unique, unambiguous but implementation-independent way of specifying arbitrary modeling languages and for this purpose must be generic and open to capture any domain and any functionality. In this paper we give a pervasive description of the formalism MetaMorph based on predicate logic – an approach fulfilling these requirements. This is done with an extensive proof-of-concept case illustrating the application of the formalism concept by concept. For the case study we use the modeling language ProVis from the domain of stochastic education. The language ProVis comprises only few objects and relation types but with high interconnection and therefore appears as a interesting specimen for formalization and showing the feasibility of the demonstrated approach.;Springer Science and Business Media Deutschland GmbH;Book Series;Lecture Notes in Business Information Processing;2021-01-01;https://api.elsevier.com/content/abstract/scopus_id/85111806088
20;Digital innovation as a fundamental and powerful concept in the information systems curriculum;The 50-year march of Moore's Law has led to the creation of a relatively cheap and increasingly easy-to-use world-wide digital infrastructure of computers, mobile devices, broadband network connections, and advanced application platforms. This digital infrastructure has, in turn, accelerated the emergence of new technologies that enable transformations in how we live and work, how companies organize, and the structure of entire industries. As a result, it has become important for all business students to have a strong grounding in IT and digital innovation in order to manage, lead, and transform organizations that are increasingly dependent on digital innovation. Yet, at many schools, students do not get such grounding because the required information systems core class is stuck in the past. We present a vision for a redesigned IS core class that adopts digital innovation as a fundamental and powerful concept (FPC). A good FPC serves as both a foundational concept and an organizing principle for a course. We espouse a particularly broad conceptualization of digital innovation that allows for a variety of teaching styles and topical emphases for the IS core class. This conceptualization includes three types of innovation (i.e., process, product, and business model innovation), and four stages for the overall innovation process (i.e., discovery, development, diffusion, and impact). Based on this conceptualization, we examine the implications of adopting digital innovation as an FPC. We also briefly discuss broader implications relating to (1) the IS curriculum beyond the core class, (2) the research agenda for the IS field, and (3) the identity and legitimacy of IS in business schools.;University of Minnesotadegro003@umn.edu;Journal;MIS Quarterly: Management Information Systems;2014-06-01;https://api.elsevier.com/content/abstract/scopus_id/84923459614
21;Long-term planning of wind and solar power considering the technology readiness level under China's decarbonization strategy;To address climate change, the Chinese government has committed to achieving carbon peaking by 2030. Projecting the wind power and photovoltaic installed capacity is essential for China's low carbon transition as these renewables have been widely recognized as the major energy sources in future. This study proposes a long-term strategic planning approach for wind power and photovoltaic by simulating multiple policies and market scenarios for the national-level energy transitions and incorporating the feedback effects of market development on technology readiness level. The proposed approach simulates the national energy consumption and energy mix under various transition scenarios based on the Long-range Energy Alternatives Planning System (LEAP). The dynamics of market development, technology readiness level, and future renewable costs are further incorporated into a nonlinear optimization model to generate economically optimal planning solutions for wind power and photovoltaic under different policy and market scenarios. Valuable insights are obtained from three perspectives, i.e., (1) the economic and emission reduction co-benefits under different scenarios, (2) the evolution of the Levelized Cost of Energy, and (3) the impact on the transition of power sector. In particular, the simulation and optimization results reveal that appropriate acceleration of wind power and photovoltaic development can promote technology readiness level, reduce overall transition costs, and effectively reduce the peak value of emissions. The maximum peak reduction in carbon dioxide emissions is 16.06%, and the maximum cumulative reduction in carbon dioxide emissions is 14.54%. The total project cost can be reduced by a maximum of 3.23%. Thus, more active supporting policies for renewables can further enhance long-term economic and environmental co-benefits under current conditions.;Elsevier Ltd;Journal;Applied Energy;2023-10-15;https://api.elsevier.com/content/abstract/scopus_id/85165085910
22;Distributing decision-making authority in manufacturing–review and roadmap for the factory of the future;The question of the benefits of autonomous control is more important than ever: production managers, governments and society hope that the vision of smart and digital production systems with high flexibility and low costs may save the value adding and therefore welfare in the high wage, industrialised countries. At the same time, the discussion on the social implications of autonomous objects and decentralised control approaches is growing. Looking back on the history of production research and practice, we find that there has been a constant ply among scholars and production managers between the advantages of the two concepts of centralised and decentralised control approaches. In this article, we study the concept of autonomy in production planning and control, enabled by cyber-physical systems and the distribution of decision-making authority. Based on a profound structured literature review, we analyse the perception of autonomy, the technological requirements and the increasing complexities of modern smart manufacturing. Moreover, we find that recently several research streams suggest the advantages and benefits of autonomous control concepts compared to traditional centralised approaches based on qualitative analysis and identify a distinct lack of quantitative results.;Taylor and Francis Ltd.;Journal;International Journal of Production Research;2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85130045702
23;Modelling Service-Oriented Systems and Cloud Services with Heraklit;Modern and next generation digital infrastructures are technically based on service oriented structures, cloud services, and other architectures that compose large systems from smaller subsystems. The composition of subsystems is particularly challenging, as the subsystems themselves may be represented in different languages, modelling methods, etc. It is quite challenging to precisely conceive, understand, and represent this kind of technology, in particular for a given level of abstraction. To capture refinement and abstraction principles, various forms of “technology stacks” and other semi-formal or natural language based on presentations have been suggested. Generally, useful concepts to compose such systems in a systematic way are even more rare. Heraklit provides means, principles, and unifying techniques to model and to analyze digital infrastructures. Heraklit integrates composition and hierarchies of subsystems, concrete and abstract data structures, as well as descriptions of behaviour. A distinguished set of means supports the modeler to express their ideas. The modeller is free to choose the level of abstraction, as well as the kind of composition. Heraklit integrates new concepts with tried and tested ones. Such a framework provides the foundation for a comprehensive Systems Mining as the next step after Process Mining.;Springer Science and Business Media Deutschland GmbH;Book Series;Communications in Computer and Information Science;2021-01-01;https://api.elsevier.com/content/abstract/scopus_id/85103501824
24;Knowledge blockchains: Applying blockchain technologies to enterprise modeling;Blockchains permit to store information in a tamper-resistant and irrevocable manner by reverting to distributed computing and cryptographic technologies. The primary purpose is to keep track of the ownership of tangible and intangible assets. In the paper at hand we apply these concepts and technologies to the domain of knowledge management. Based on the explication of knowledge in the form of enterprise models this permits the application of so-called knowledge proofs for a. enabling the transparent monitoring of knowledge evolution, b. tracking the provenance, ownership, and relationships of knowledge in an organization, c. establishing delegation schemes for knowledge management, and d. ensuring the existence of patterns in models via zero-knowledge proofs. To validate the technical feasibility of the approach a first technical implementation is described and applied to a fictitious use case.;IEEE Computer Society;Conference Proceeding;Proceedings of the Annual Hawaii International Conference on System Sciences;2018-01-01;https://api.elsevier.com/content/abstract/scopus_id/85060387218
25;Formalizing meta models with FDMM: The ADOXX case;This paper contains an extended and improved version of the FDMM formalism presented at ICEIS’2012. FDMM is a formalism to describe how meta models and models are defined in the ADOxx approach as used in the Open Models Initiative. It is based on set theory and first order logic statements. In this way, an exact description of ADOxx meta models and corresponding models can be provided. In the paper at hand we extend the description of the formalism by illustrating how the mathematical statements can be used to support the implementation on the ADOxx platform. For this purpose we show how the FDMM constructs are mapped to statements in the ADOxx Library Language (ALL). As an example of the approach, the formalism and the mapping to ALL are applied to a modeling language from the area of risk management.;Springer Verlagservice@springer.de;Book Series;Lecture Notes in Business Information Processing;2013-01-01;https://api.elsevier.com/content/abstract/scopus_id/84909580033
26;Advancing conceptual modeling education towards a generalized model value proposition;This paper proposes a teaching method and artifact for Conceptual Modeling education, motivated by a challenge in the authors’ university of bridging the gap between bachelor-level studies and research work on topics related to Conceptual Modeling. At bachelor-level, Conceptual Modeling is subordinated to Software Engineering or Business Process Management topics, making extensive use of available standards for graphical documentation purposes. However, at doctoral level and in project-based work, modeling methods must be scientifically framed within wider-scoped paradigms – e.g. Knowledge Management, Enterprise Modeling – or tailored for domain-specific scenarios. The teaching artifact presented in this paper is an example of an “agile modeling method” that can be iteratively evolved together with students through a metamodeling approach in support of a course flow that argues for a generalized model value proposition and modeling languages acting as “schema” that can be tailored and migrated to accommodate explicit requirements from any application domain.;Springer;Conference Proceeding;Lecture Notes in Information Systems and Organisation;2020-01-01;https://api.elsevier.com/content/abstract/scopus_id/85089673071
27;Open Innovation Laboratory for Rapid Realisation of Sensing, Smart and Sustainable Products: Motives, Concepts and Uses in Higher Education;Open Innovation is not a new concept and it is been actively used by different entities to cope with new challenges posed by the evolving society in business, science and education. However, for this last one seems to be poor documentation about how higher education institutions are dealing with it. It is evident that universities are applying concepts like Open Innovation Laboratories, however it is not clear the methodologies or resources they are using. Tecnologico de Monterrey recently created its own laboratory and in this article we present the motives, concepts and uses of it in the context of higher education. Different approaches are made, from the development of core competences concepts to the physical and virtual tools used in the lab. Two study cases are briefly presented in order to illuminate how external actors are collaborating with internal actors in an Open Innovation process.;Springer New York LLCbarbara.b.bertram@gsk.com;Book Series;IFIP Advances in Information and Communication Technology;2018-01-01;https://api.elsevier.com/content/abstract/scopus_id/85053790000
28;Semantic web methodologies, best practices and ontology engineering applied to Internet of Things;We discuss in this paper, semantic web methodologies, best practices and recommendations beyond the IERC Cluster Semantic Interoperability Best Practices and Recommendations (IERC AC4). The semantic web community designed best practices and methodologies which are unknown from the IoT community. In this paper, we synthesize and highlight the most relevant work regarding ontology methodologies, engineering, best practices and tools that could be applied to Internet of Things (IoT). To the best of our knowledge, this is the first work aiming at bridging such methodologies to the IoT community and go beyond the IERC AC4 cluster. This research is being applied to three uses cases: (1) the M3 framework assisting IoT developers in designing interoperable ontology-based IoT applications, (2) the FIESTA-IoT EU project encouraging semantic interoperability within IoT, and (3) a collaborative publication of legacy ontologies.;Institute of Electrical and Electronics Engineers Inc.;Conference Proceeding;IEEE World Forum on Internet of Things, WF-IoT 2015 - Proceedings;2015-01-01;https://api.elsevier.com/content/abstract/scopus_id/84964426026
29;A new paradigm for the continuous alignment of business and IT: Combining enterprise architecture modelling and enterprise ontology;The paper deals with Next Generation Enterprise Information Systems in the context of Enterprise Engineering. The continuous alignment of business and IT in a rapidly changing environment is a grand challenge for today's enterprises. The ability to react timeously to continuous and unexpected change is called agility and is an essential quality of the modern enterprise. Being agile has consequences for the engineering of enterprises and enterprise information systems. In this paper a new paradigm for next generation enterprise information systems is proposed, which shifts the development approach of model-driven engineering to continuous alignment of business and IT for the agile enterprise. It is based on a metamodelling approach, which supports both human-interpretable graphical enterprise architecture and machine-interpretable enterprise ontologies. Furthermore, next generation enterprise information systems are described, which embed modelling tools and algorithms for model analysis.;Elsevier;Journal;Computers in Industry;2016-06-01;https://api.elsevier.com/content/abstract/scopus_id/84940055540
30;Accelerated digital transformation: A framework for leading digital innovation and change;The pandemic has accelerated the need for organizations to embrace digital strategies for processes that are both internally as well as externally facing. The demand for innovation in how a firm serves customers, supports teams, and empowers employees has necessitated the adoption of digital solutions. In this chapter, the authors provide a framework for how organizational leaders can envision digital transformation in a way that is in alignment with business strategy. Digital innovation, while left to the IT enterprise in the past, is now elevated to the level of organizational strategy and can be instrumental to business competitiveness and continuity. Strategic digital transformation can help organizations build agility and resilience, capabilities that have proven to be essential in the face of unpredictable forces, such as those experienced during the COVID-19 pandemic.;IGI Global;Book;Leadership Strategies for the Hybrid Workforce: Best Practices for Fostering Employee Safety and Significance;2022-06-24;https://api.elsevier.com/content/abstract/scopus_id/85137003851
