;title;abstract;dc:publisher;prism:aggregationType;prism:publicationName;prism:coverDate;prism:url
10;Digital Twin-Assisted Cooperative Driving at Non-Signalized Intersections;Digital Twin, as an emerging technology related to Cyber-Physical Systems (CPS) and Internet of Things (IoT), has attracted increasing attentions during the past decade. Conceptually, a Digital Twin is a digital replica of a physical entity in the real world, and this technology is leveraged in this study to design a cooperative driving system at non-signalized intersections, allowing connected vehicles to cooperate with each other to cross intersections without any full stops. Within the proposed Digital Twin framework, we developed an enhanced first-in-first-out (FIFO) slot reservation algorithm to schedule the sequence of crossing vehicles, a consensus motion control algorithm to calculate vehicles' referenced longitudinal motion, and a model-based motion estimation algorithm to tackle communication delay and packet loss. Additionally, an augmented reality (AR) human-machine-interface (HMI) is designed to provide the guidance to drivers to cooperate with other connected vehicles. Agent-based modeling and simulation of the proposed system is conducted in Unity game engine based on a real-world map in San Francisco, and the human-in-the-loop (HITL) simulation results prove the benefits of the proposed algorithms with 20% reduction in travel time and 23.7% reduction in energy consumption, respectively, when compared with traditional signalized intersections.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Transactions on Intelligent Vehicles;2022-06-01;https://api.elsevier.com/content/abstract/scopus_id/85112604285
11;Digital Twin in Aerospace Industry: A Gentle Introduction;Digital twin (DT), primarily a virtual replica of any conceivable physical entity, is a highly transformative technology with profound implications. Whether it be product development, design optimisation, performance improvement, or predictive maintenance, digital twins are changing the ways work is undertaken in various industries with multifarious business applications. Aerospace industry, including its manufacturing base, is one such keen adopter of digital twins with an unprecedented interest in their bespoke design, development, and implementation across wider operations and critical functions. This, however, comes with some misconceptions about the digital twin technology and lack of understanding with respect to its optimal implementation. For instance, equating a digital twin to an intelligent model while ignoring the essential components of data acquisition and visualisation, misleads the creators into building digital shadow or digital models, instead of the actual digital twin. This paper unfolds such intricacies of digital twin technology for the aerospace community in particular and others in general so as to remove the fallacies that affect their effective realisation for safety-critical systems. It comprises a comprehensive survey of digital twins and their constituent elements. Elaborating their characteristic state-of-the-art composition along with corresponding limitations, three dimensions of the future digital twins for the aerospace sector, termed as aero-Digital Twins (aero-DTs), are proposed as an outcome of this survey. These include the interactive, standardisation, and cognitive dimensions of digital twins, which if leveraged diligently could help the aero-DT research and development community quadruple the efficiency of existing and future aerospace systems as well as their associated processes.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Access;2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85122087744
12;Model-Driven Development of a Digital Twin for Injection Molding;Digital Twins (DTs) of Cyber-Physical Production Systems (CPPSs) enable the smart automation of production processes, collection of data, and can thus reduce manual efforts for supervising and controlling CPPSs. Realizing DTs is challenging and requires significant efforts for their conception and integration with the represented CPPS. To mitigate this, we present an approach to systematically engineering DTs for injection molding that supports domain-specific customizations and automation of essential development activities based on a model-driven reference architecture. In this approach, reactive CPPS behavior is defined in terms of a Domain-Specific Language (DSL) for specifying events that occur in the physical system. The reference architecture connects to the CPPS through a novel DSL for representing OPC-UA bindings. We have evaluated this approach with a DT of an injection molding machine that controls the machine to optimize the Design of Experiment (DoE) parameters between experiment cycles before the products are molded. Through this, our reference implementation of the DT facilitates the time-consuming setup of a DT and the subsequent injection molding activities. Overall, this facilitates to systematically engineer digital twins with reactive behavior that help to optimize machine use.;Springer;Book Series;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2020-01-01;https://api.elsevier.com/content/abstract/scopus_id/85086228557
13;The Role of Digital Twins in Connected and Automated Vehicles;Digital twins found their genesis in the halls of NASA and the methods of product lifecycle management. Rapidly evolving trends around the proliferation of sensors, the Internet of Things, Industry 4.0, and cyber-physical systems have spurred the growth of digital twins. This paper reviews digital twins and their use in connected and automated vehicles (CAVs). Strictly speaking, digital twins must have communication between a physical system and its model, as opposed to similar methodologies that achieve indirect communication through iteration, or that substitute different parts of a system simulation with bits of hardware or software for testing. In practice, new methodologies for testing CAVs are sufficiently complex and difficult to apply simple labels. This is seen in our review of vehicular digital twins. Several gaps and challenges are apparent for the continued advancement of digital twin applications. We note some developing areas as traffic management centers, digital maps, onboard diagnostics, and logistics. Digital twins foster model reuse and encourage the use of multiple models at different scales of resolution. The role of digital twins will continue to grow as models become more tightly integrated to the physical systems they represent. This will drive such models towards uniqueness (matching a particular vehicle or road), adaptability (evolving with changing conditions and subject to wear and tear), and interpretability (conveying useful information to a human user). A maturing connected infrastructure and the development of smart cities will cause the number of new digital twin services to explode in a myriad of unforeseen ways.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Intelligent Transportation Systems Magazine;2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85122580472
14;Exploring city digital twins as policy tools: A task-based approach to generating synthetic data on urban mobility;This article discusses the technology of city digital twins (CDTs) and its potential applications in the policymaking context. The article analyzes the history of the development of the concept of digital twins and how it is now being adopted on a city-scale. One of the most advanced projects in the field - Virtual Singapore - is discussed in detail to determine the scope of its potential domains of application and highlight challenges associated with it. Concerns related to data privacy, availability, and its applicability for predictive simulations are analyzed, and potential usage of synthetic data is proposed as a way to address these challenges. The authors argue that despite the abundance of urban data, the historical data are not always applicable for predictions about the events for which there does not exist any data, as well as discuss the potential privacy challenges of the usage of micro-level individual mobility data in CDTs. A task-based approach to urban mobility data generation is proposed in the last section of the article. This approach suggests that city authorities can establish services responsible for asking people to conduct certain activities in an urban environment in order to create data for possible policy interventions for which there does not exist useful historical data. This approach can help in addressing the challenges associated with the availability of data without raising privacy concerns, as the data generated through this approach will not represent any real individual in society.;Cambridge University Press;Journal;Data and Policy;2021-07-16;https://api.elsevier.com/content/abstract/scopus_id/85128999673
15;Security and Privacy in Vehicular Digital Twin Networks: Challenges and Solutions;With the flourishing and advancement of autonomous vehicles, the vehicular digital twin (VDT) has become an emerging paradigm, consisting of inter-twin communication and intra-twin communication. VDT can effectively address the current shortcomings of the autonomous vehicle and provide enhanced and scalable services to the users. Nevertheless, strict security and privacy concerns arise, as VDT collects a wide range of privacy-sensitive information of the users in real-time and is exposed to an open network environment in both physical and virtual horizons. In this article, we investigate the security and privacy of VDT. We first describe the vehicular digital twin network architecture in detail and then investigate some VDT-related applications. After that, we discuss the security and privacy issues in VDT. Finally, we put forward several potential countermeasures and open research issues for VDT from the perspective of security and privacy. We expect this work will bring more attention to further investigation on security and privacy solutions for vehicular digital twin networks.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Wireless Communications;2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85136090712
16;Driver Digital Twin for Online Prediction of Personalized Lane-Change Behavior;Connected and automated vehicles (CAVs) are supposed to share the road with human-driven vehicles (HDVs) in a foreseeable future. Therefore, considering the mixed traffic environment is more pragmatic, as the well-planned operation of CAVs may be interrupted by HDVs. In the circumstance that human behaviors have significant impacts, CAVs need to understand HDV behaviors to make safe actions. In this study, we develop a driver digital twin (DDT) for the online prediction of personalized lane-change behavior, allowing CAVs to predict surrounding vehicles' behaviors with the help of the digital twin technology. DDT is deployed on a vehicle-edge-cloud architecture, where the cloud server models the driver behavior for each HDV based on the historical naturalistic driving data, while the edge server processes the real-time data from each driver with his/her digital twin on the cloud to predict the personalized lane-change maneuver. The proposed system is first evaluated on a human-in-the-loop co-simulation platform, and then in a field implementation with three passenger vehicles driving along an on/off ramp segment connecting to the edge server and cloud through the 4G/LTE cellular network. The lane-change intention can be recognized in 6 s on average before the vehicle crosses the lane separation line, and the Mean Euclidean Distance between the predicted trajectory and GPS ground truth is 1.03 m within a 4-s prediction window. Compared to the general model, using a personalized model can improve prediction accuracy by 27.8%. The demonstration video of the proposed system can be watched at https://youtu.be/5cbsabgIOdM.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Internet of Things Journal;2023-08-01;https://api.elsevier.com/content/abstract/scopus_id/85151567921
17;Interaction with Industrial Digital Twin Using Neuro-Symbolic Reasoning;Digital twins have revolutionized manufacturing and maintenance, allowing us to interact with virtual yet realistic representations of the physical world in simulations to identify potential problems or opportunities for improvement. However, traditional digital twins do not have the ability to communicate with humans using natural language, which limits their potential usefulness. Although conventional natural language processing methods have proven to be effective in solving certain tasks, neuro-symbolic AI offers a new approach that leads to more robust and versatile solutions. In this paper, we propose neuro-symbolic reasoning (NSR)—a fundamental method for interacting with 3D digital twins using natural language. The method understands user requests and contexts to manipulate 3D components of digital twins and is able to read maintenance manuals and implement installations and removal procedures autonomously. A practical neuro-symbolic dataset of machine-understandable manuals, 3D models, and user queries is collected to train the neuro-symbolic reasoning interaction mechanism. The evaluation demonstrates that NSR can execute user commands accurately, achieving 96.2% accuracy on test data. The proposed method has industrial importance since it provides the technology to perform maintenance procedures, request information from manuals, and serve as a tool to interact with complex virtual machinery using natural language.;MDPI;Journal;Sensors;2023-02-01;https://api.elsevier.com/content/abstract/scopus_id/85147895020
18;Urban Digital Twin Challenges: A Systematic Review and Perspectives for Sustainable Smart Cities;"Recent scientific and technological advancements have transformed the knowledge frontiers, giving rise to the next wave of disruptive technologies with deep impacts on urban society. An Urban Digital Twin (UDT) is a technology with great potential to transform the management and planning of the infrastructures and systems of sustainable smart cities towards environmental sustainability. However, despite the recent increase of research on UDTs due to its widespread diffusion much more recently, there is a lack of studies examining the existing bottlenecks to its implementation. To fill this gap, this study provides a systematic literature review on the key challenges and open issues pertaining to the implementation of an UDT. Results indicate 8 important categories of challenges related to (1) interoperability and semantics; (2) infrastructure, including storage, computation, network; (3) data acquisition and actuation; (4) data quality and harmonization; (5) modeling, simulation and decision-support; (6) data visualization and information display; (7) human and capital resources; and finally (8) governance, organizational and social issues. All topics are significantly raised in the literature, with most emphasis on issues pertaining to data and model semantics, missing data, data quality and modeling. The findings serve to inform practitioners about the bottlenecks delaying the implementation of UDTs.";Elsevier Ltd;Journal;Sustainable Cities and Society;2023-12-01;https://api.elsevier.com/content/abstract/scopus_id/85163715089
19;XPlaM: A toolkit for automating the acquisition of BDI agent-based Digital Twins of organizations;A Digital Twin ideally manifests the same behaviour (in silico) of its physical counterpart. While considerable attention has been paid to the development of Digital Twins for physical devices/systems, the question of developing Twins for organizations has received relatively little attention. The setting in which we address this problem is very general and, consequently, very challenging. We look at the automatic acquisition of Digital Twins of organizations. To that end, this paper builds on the following two premises: (1) that Digital Twins of organizations can provide value, and (2) that Belief-Desire-Intention (BDI) agents are a particularly effective means for representing Digital Twins. The overall approach is to leverage the externally observable behaviour of the target system and then generate candidate BDI agent programs that best explain (in the sense of formal abduction) the observed behaviour. The candidate agent programs are generated by searching through potentially large hypotheses spaces for possible plans, selection functions and beliefs. The resulting approach suggests that using abduction to generate Digital Twins of organizations in the form of BDI agents can be effective.;Elsevier B.V.;Journal;Computers in Industry;2023-02-01;https://api.elsevier.com/content/abstract/scopus_id/85144815865
20;A fog computing framework for autonomous driving assist: Architecture, experiments, and challenges;Autonomous driving is expected to provide a range of far-reaching economic, environmental and safety benefits. I n t h is s t udy, we propose a fog computing based framework to assist autonomous driving. Our framework relies on overhead views from cameras and data streams from vehicle sensors to create a network of distributed digital twins, called an edge twin, on fog machines. The edge twin will be continuously updated with the locations of both autonomous and human-piloted vehicles on the road segments. The vehicle locations will be harvested from overhead cameras as well as location feeds from the vehicles themselves. Although the edge twin can make fair road space allocations from a global viewpoint, there is a communication cost (delay) in reaching it from the cameras and vehicular sensors. To address this, we introduce a machine learning forecaster as a part of the edge twin which is responsible for predicting the future location of vehicles. Lastly, we introduce a box algorithm that will use the forecasted values to create a hazard map for the road segment which would be used by the framework to suggest safe manoeuvres for the autonomous vehicles such as lane changes and accelerations. We present the complete fog computing framework for autonomous driving assist and evaluate key portions of the proposed framework using simulations based on a real-world dataset of vehicle position traces on a highway.;Center for Advanced Studies on Collaborative Research;Conference Proceeding;CASCON 2019 Proceedings - Conference of the Centre for Advanced Studies on Collaborative Research - Proceedings of the 29th Annual International Conference on Computer Science and Software Engineering;2020-01-01;https://api.elsevier.com/content/abstract/scopus_id/85087384919
21;Vehicle system dynamics in digital twin studies in rail and road domains;A digital twin is aimed to be a virtual model designed to accurately replicate a physical system in the digital world. This is why digital twins have become quite popular in recent years in both rail and road domain applications, and some researchers and engineers have started considering the term as a buzz word that attracts increased interest in their research. In some cases, this leads to misunderstandings regarding the digital twin concept, especially if the discussion relates to digital twins built on physics-based models. This paper’s detailed review has been performed to address this issue considering the application of vehicle system dynamics theories as a basis for development of digital twins and the implementation process in digital twin studies. The results show that most works are focusing on digital twin developments at the ‘top level of the pyramid’ and more comprehensive research and investigation studies are needed in terms of the application of vehicle system dynamics in design and construction of digital twins. This paper adopts and summarises the possible directions for the development of a future framework in terms of disciplines relevant to vehicle system dynamics and presents a forecasting roadmap on future development strategies of digital twins.;Taylor and Francis Ltd.;Journal;Vehicle System Dynamics;2023-01-01;https://api.elsevier.com/content/abstract/scopus_id/85149827450
22;Digital twin real-time hybrid simulation platform for power system stability;This paper offers a comprehensive exploration of the application of digital twin technology for power system stability. Leveraging both physics-based and data-driven modeling techniques, we propose a novel digital twin framework that provides high fidelity simulations of power systems. Several case studies, including voltage stability assessment, dynamic stability analysis, predictive maintenance of power transformers, and renewable energy integration optimization, substantiate the efficacy of the framework under different real-world operating conditions. Our research conclusively indicates that the digital twin framework significantly enhances prediction accuracy, accelerates analysis speed, improves system reliability, and aids in efficient risk management in power systems. As a significant outcome, the framework has demonstrated its potential to revolutionize power system management and operations by facilitating predictive maintenance and efficient renewable energy integration. The paper concludes by emphasizing that strategic partnerships between academia and industry, robust cybersecurity measures, and the development of comprehensive standards and guidelines are key to unlocking the full potential of digital twin technology in power systems.;Elsevier Ltd;Journal;Case Studies in Thermal Engineering;2023-09-01;https://api.elsevier.com/content/abstract/scopus_id/85164211855
23;A review study on digital twins with artificial intelligence and internet of things: concepts, opportunities, challenges, tools and future scope;Recently, Digital Twin (DT) has a growth revolution by increasing Artificial Intelligence (AI) techniques and relative technologies as the Internet of Things (IoT). They may be considered as the panacea for DT technology for various applications in the real world such as manufacturing, healthcare, and smart cities. The integration of DT and AI is a new avenue for open research in the upcoming days. However, for exploring the issues of developing Digital Twins, there are interesting in identifying challenges with standardization ensures future developments in this innovative theme. This paper first presents the Digital Twins concept, challenges, and applications. Afterward, it discusses the incorporation of AI and DT for developing various IoT-based applications with exploring the challenges and opportunities in this innovative arena. Then, developing tools are presented for exploring the digital twins' system implementation. Further, a review of recent DT-based AI approaches is presented. Finally, a discussion of open research directions in this innovative theme is presented.;Springer;Journal;Multimedia Tools and Applications;2023-01-01;https://api.elsevier.com/content/abstract/scopus_id/85158835503
24;Security Analysis of a Digital Twin Framework Using Probabilistic Model Checking;Digital Twins (DTs) have been gaining popularity in various applications, such as smart manufacturing, smart energy, smart mobility, and smart healthcare. In simple terms, DT is described as a virtual replica of a given physical product, system, or process. It consists of three major segments: the physical entity, its virtual counterpart, and the connections between them. While the data is collected from a physical entity, processed at the virtual layer, and accessed in the form of a DT at the application layer, it is exposed to several security risks. To ensure the applicability of a DT system, it is imperative to understand these security risks and their implications. However, there is a lack of a framework that can be used to assess the security of a DT. This paper presents a framework in which the security of a DT can be analyzed with the help of a formal verification technique. The framework captures the defense of the system at different layers and considers various attacks at each layer. The security of the DT system is represented as a state-transition system and the security properties are captured in temporal logic. Probabilistic model checking (PMC) is used to verify the systems against these properties. In particular, the framework is used to analyze the probability of success and the cost of various potential attacks that can occur at each layer in a DT system. The applicability of the proposed framework is demonstrated with the help of a detailed case study in the healthcare domain.;Institute of Electrical and Electronics Engineers Inc.;Journal;IEEE Access;2023-01-01;https://api.elsevier.com/content/abstract/scopus_id/85151332509
25;Real-Time Participatory Sensing-Driven Computational Framework toward Digital Twin City Modeling;"A concept of ""digital twin"" as a model to bridge between a real-world and a virtual twin has emerged in manufacturing and product management. In the context of civil and infrastructure domains, the term ""digital twin"" has been redefined as up-to-date digital representations of built environments. This paper proposes a real-time participatory sensing-driven computational framework to model the up-to-date state of built environments in a virtual environment. In the proposed framework, crowdsourced visual data are obtained from citizens' participation to automatically identify the up-to-date states of infrastructure that would negatively impact the community resilience in extreme weather conditions. Then, to update the associated built environment information, real-time participatory sensing data are processed by using deep learning algorithms. Finally, the identified geometric and geospatial information of infrastructure is fed into the virtual environment toward a digital twin city model. Case studies in the context of power distribution infrastructure systems were conducted in Houston, TX, and it was demonstrated that the proposed method robustly updates the up-to-date condition of infrastructure into the digital twin city model. The proposed approach for updating virtual models based on participatory sensing-based real-time information has a great potential to facilitate data-driven decision-making for urban planning and infrastructure management in a smart city digital twin.";American Society of Civil Engineers (ASCE);Conference Proceeding;Construction Research Congress 2022: Computer Applications, Automation, and Data Analytics - Selected Papers from Construction Research Congress 2022;2022-01-01;https://api.elsevier.com/content/abstract/scopus_id/85128979097
26;Unpredictability of digital twin for connected vehicles;Digital twin is an essential enabling technology for 6G connected vehicles. Through high-fidelity mobility simulation, digital twin is expected to make accurate prediction about the vehicle trajectory, and then support intelligent applications such as safety monitoring and self-driving for connected vehicles. However, it is observed that even if a digital twin model is perfectly derived, it might still fail to predict the trajectory due to tiny measurement noise or delay in the initial vehicle locations. This paper aims at investigating the sources of unpredictability of digital twin. Take the car-following behaviors in connected vehicles for case study. The theoretical analysis and experimental results indicate that the predictability of digital twin naturally depends on its system complexity. Once a system enters a complex pattern, its longterm states are unpredictable. Furthermore, our study discloses that the complexity is determined, on the one hand, by the intrinsic factors of the target physical system such as the driver's response sensitivity and delay, and on the other hand, by the crucial parameters of the digital twin system such as the sampling interval and twining latency.;Editorial Board of Journal on Communications;Journal;China Communications;2023-02-01;https://api.elsevier.com/content/abstract/scopus_id/85150071576
