"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Multi-dimensional Model-driven Robot Digital Twin System","X. Wei; S. Wan","School of Mechanical Engineering, Sichuan University of Science & Engineering, Yibin, China; School of Mechanical Engineering, Sichuan University of Science & Engineering, Yibin, China",2023 2nd International Symposium on Sensor Technology and Control (ISSTC),"17 Oct 2023","2023","","","247","251","In order to achieve the goal of accurately simulating physical entities and meet the service and application requirements of digital twins, a multidimensional model-driven approach for digital twin robots is proposed in this paper. Firstly, the geometric model of the robot is constructed based on the physical space. Secondly, the constraints and physical characteristics of the robot’s physical model are determined using the Denavit-Hartenberg (D-H) method. Then, the kinematic model is built based on the D-H parameters provided by the physical model to determine the behavioral model. Finally, an experimental platform is established with a virtual space update rate of 100 Hz, and trajectory verification is conducted, with relative position errors of 0.34%, 0.41%, and 0.22% for the X, Y, and Z axes respectively. The results demonstrate the effectiveness and applicability of this method in digital twin systems.","","979-8-3503-1446-5","10.1109/ISSTC59603.2023.10280970","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10280970","digital twin system;geometric model;physical model;behavior model","Scalability;Friction;Geometric modeling;Kinematics;Robot sensing systems;Manipulators;Data models","","","","10","IEEE","17 Oct 2023","","","IEEE","IEEE Conferences"
"Models Meet Data: Challenges to Create Virtual Entities for Digital Twins","M. Van Den Brand; L. Cleophas; R. Gunasekaran; B. Haverkort; D. A. M. Negrin; H. M. Muctadir","Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands; Tilburg School of Humanities and Digital Sciences, Tilburg University, The Netherlands; Tilburg School of Humanities and Digital Sciences, Tilburg University, The Netherlands; Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands",2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"20 Dec 2021","2021","","","225","228","In recent years, digital twin (DT) technology has moved to the center of attention of many researchers and engineers. Commonly, a digital twin is defined based on a virtual entity (VE) that exhibits similar behavior to its physical counterpart, and that is coupled to this physical entity (PE). The VE thus forms a core part of any digital twin. While VEs may differ vastly—from ones based on simple simulation to high-fidelity virtual mirroring of the corresponding PE—they are typically composed of multiple models that may originate from multiple domains, address different aspects, and are expressed and processed using different tools and languages. Furthermore, the use of time series data—whether historical or real-time or both—from the PE distinguishes VEs from mere simulations. As a consequence of the modeling landscape complexity and the data aspect of VEs, the design of a digital twin and specifically of the VE as part of it represents several challenges. In this paper, we present our vision for the development, evolution, maintenance, and verification of such virtual entities for digital twins.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643761","digital twin;model consistency;model orchestration;dynamic consistency;model management;digital twin development roadmap","Digital twin;Time series analysis;Maintenance engineering;Real-time systems;Model driven engineering;Data models;Complexity theory","","7","","20","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Inference of Simulation Models in Digital Twins by Reinforcement Learning","I. David; J. Galasso; E. Syriani","DIRO, Université de Montréal, Canada; DIRO, Université de Montréal, Canada; DIRO, Université de Montréal, Canada",2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"20 Dec 2021","2021","","","221","224","The typical optimization and control activities of Digital Twins are driven by high-performance simulators. Due to the significant complexity of systems subject to digital twinning, constructing simulators of appropriate details is a costly and error-prone endeavor. To alleviate these problems, we propose an approach for inferring simulation models of Digital Twins by machine learning. Instead of learning the simulation model of one specific simulator, we aim at learning their construction process. This generality enables reusing the inferred knowledge in different (but congruent) Digital Twin settings. To achieve this level of generality, we propose the Discrete Event System Specification (DEVS) formalism for capturing simulation models; and reinforcement learning (RL) for inferring DEVS models. In this paper, we explore the opportunities and challenges in combining these two techniques.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643719","digital twins;simulation;DEVS;reinforcement learning","Costs;Digital twin;Prototypes;Reinforcement learning;Model driven engineering;Libraries;Complexity theory","","4","","23","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML","D. Lehner; S. Sint; M. Vierhauser; W. Narzt; M. Wimmer","Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria; Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria; Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria; Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria; Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria",2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA ),"30 Nov 2021","2021","","","1","8","As technologies such as the Internet of Things (IoT) and Cyber-Physical Systems (CPS) are becoming ubiquitous, systems adopting these technologies are getting increasingly complex. Digital Twins (DTs) provide comprehensive views on such systems, the data they generate during runtime, as well as their usage and evolution over time. Setting up the required infrastructure to run a Digital Twin is still an ambitious task that involves significant upfront efforts from domain experts, although existing knowledge about the systems, such as engineering models, may be already available for reuse. To address this issue, we present AML4DT, a model-driven framework supporting the development and maintenance of Digital Twin infrastructures by employing AutomationML (AML) models. We automatically establish a connection between systems and their DTs based on dedicated DT models. These DT models are automatically derived from existing AutomationML models, which are produced in the engineering phases of a system. Additionally, to alleviate the maintenance of the DTs, AML4DT facilitates the synchronization of the AutomationML models with the DT infrastructure for several evolution cases. A case study shows the benefits of developing and maintaining DTs based on AutomationML models using the proposed AML4DT framework. For this particular study, the effort of performing the required tasks could be reduced by about 50%.","","978-1-7281-2989-1","10.1109/ETFA45728.2021.9613376","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613376","AutomationML;Digital Twin;Cloud;IoT;Model-Driven Engineering","Knowledge engineering;Runtime;Digital twin;Conferences;Maintenance engineering;Internet of Things;Synchronization","","25","","31","IEEE","30 Nov 2021","","","IEEE","IEEE Conferences"
"A software engineering point of view on digital twin architecture","G. Béchu; A. Beugnard; C. G. L. Cao; Q. Perez; C. Urtado; S. Vauttier","LabSTICC, IMT Atlantique, Brest, France; LabSTICC, IMT Atlantique, Brest, France; LabSTICC, IMT Atlantique, Brest, France; EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Ales, France; EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Ales, France; EuroMov Digital Health in Motion, Univ Montpellier, IMT Mines Ales, Ales, France",2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA),"25 Oct 2022","2022","","","1","4","Digital twins, along with Internet of Things and Artificial Intelligence, have been identified as one of the key technologies for Industry 4.0. However, the definition of Digital Twin (DT) is still abstract and context-dependent. In this paper, we present a metamodel that supports concrete and operational descriptions of digital twin deployment. This metamodel encompasses the different aspects of deployment, including the definition of hardware and software components that compose the layered cyber-physical architectures of the digital twin, along with the installation and instantiation tasks that compose deployment processes. Multiple configurations can also be defined to support the deployment of a digital twin in different execution contexts. The relevance of this metamodel was evaluated by two case studies. The first consists in deploying the digital twin of a cobot in a simulation environment. The second applies the approach in a home automation environment. In both cases, our metamodel provides complete and precise descriptions of the deployment process and thus constitutes a viable first step towards a model-driven approach for digital twin deployment.","","978-1-6654-9996-5","10.1109/ETFA52439.2022.9921617","University of South Australia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9921617","Digital Twin;Model-Driven Engineering;Architecture Deployment","Home automation;Computer architecture;Software;Hardware;Digital twins;Fourth Industrial Revolution;Internet of Things","","7","","5","IEEE","25 Oct 2022","","","IEEE","IEEE Conferences"
"Using Ptolemy II as a Framework for Virtual Entity Integration and Orchestration in Digital Twins","D. A. M. Negrin; L. Cleophas; M. Van Den Brand","Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands",2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"20 Dec 2021","2021","","","233","236","The concept of Digital Twin (DT) is increasingly getting attention due to its support for digital transformation as part of Industry 4.0. A core component of a DT is the virtual entity (VE) that is meant to ‘mirror’ the physical entity (PE). A particular challenge for developing this VE is the integration between the different models that typically make up such a VE. These models, covering different disciplines or aspects of a system, commonly are developed by different engineers and expressed in different formalisms given their strengths and weaknesses. This makes integration between these models and formalisms a challenge. Such integration has two aspects: the communication among the models, and their orchestration, which concerns the order of model step execution and data exchange. In this paper, we consider the suitability of Ptolemy II, an open source framework based on an actor-oriented structure, to implement such integration. We use the Ptolemy II framework to reproduce the implementation of a DT of an autonomous scaled-down truck, which originally required a more manual configuration and execution and was developed in a monolithic way. The results show that Ptolemy II can be used to implement different communication technologies as actors, and show the expressiveness of the orchestrators by reproducing the existing DT’s behavior. This shows Ptolemy II in principle to be suitable as an integration and orchestration tool for models in the context of DTs. As future work, we plan to apply the framework to more complex DTs using different communication technologies, so as to validate its broader suitability for VE orchestration in DTs.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643793","Ptolemy II;Digital twin;orchestration;integration;framework","Digital twin;Manuals;Data models;Communications technology;Model driven engineering;Fourth Industrial Revolution;Context modeling","","5","","7","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python","M. S. Bonney; M. de Angelis; D. Wagg; M. D. Borgo","Department of Mechanical Engineering, The University of Sheffield, Sheffield, UK; Institute for Risk and Uncertainty, University of Liverpool, Liverpool, UK; Department of Mechanical Engineering, The University of Sheffield, Sheffield, UK; Department of Mechanical Engineering, DMMS Lab, KU Leuven/Flanders Make, Leuven, Belgium",2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"20 Dec 2021","2021","","","237","241","This paper demonstrates an example of an open-source, modular, and system independent framework that has been developed by a team of researchers working for the UK based DigiTwin project. The example in this paper is based on a framework for a digital twin operational platform (DTOP) that uses Flask Python, and is named DTOP-Cristallo. DTOPCristallo is an operational platform that uses HTML web pages as the interface between the digital twin simulations, both python based and 3rd party software based, and the user. This framework is particularly useful for connectivity with users, since it can deploy the digital twin with multiple accessibility options to accommodate a wide variety of intended uses.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643697","Digital Twin;Open source;Operational Platform","Digital twin;Web pages;Model driven engineering;Open source software;Python","","5","","10","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process","M. D. Maio; G. -D. Kapos; N. Klusmann; L. Atorf; U. Dahmen; M. Schluse; J. Rossmann","projectglobe ltd, London, UK; projectglobe ltd, London, UK; projectglobe ltd, London, UK; Institute for Man-Machine Interaction RWTH Aachen University, Aachen, Germany; Institute for Man-Machine Interaction RWTH Aachen University, Aachen, Germany; Institute for Man-Machine Interaction RWTH Aachen University, Aachen, Germany; Institute for Man-Machine Interaction RWTH Aachen University, Aachen, Germany",2018 IEEE International Systems Engineering Symposium (ISSE),"29 Nov 2018","2018","","","1","8","A particular problem in the practical application of Model-Based Systems Engineering (MBSE) for the development of complex products is the effective integration of other engineering models. The Model-Driven Engineering Process (MDEP) addresses this by providing clearly defined insert points for domain models and simulation engines. In Closed-Loop Systems Engineering (CLOSE) Experimentable Digital Twins (EDTs) are integrated in the MDEP to realistically simulate how system functions would be executed by physical parts of the developed product. CLOSE thus can reduce the cycle times for analysis, design, development, optimisation, and some of the verification. This paper introduces the basic concept of CLOSE and illustrates its application with a case study.","","978-1-5386-4446-1","10.1109/SysEng.2018.8544392","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8544392","Systems Engineering;MBSE;Domain Model;Model-Driven Engineering;Experimentable Digital Twin;Virtual Testbed;3D Simulation;Multibody Simulation","Solid modeling;System analysis and design;Mathematical model;Tools;Product development;Prototypes","","8","","42","IEEE","29 Nov 2018","","","IEEE","IEEE Conferences"
"Integration Challenges for Digital Twin Systems-of-Systems","J. Michael; J. Pfeiffer; B. Rumpe; A. Wortmann","Software Engineering, RWTH Aachen University, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Germany; Software Engineering, RWTH Aachen University, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Germany",2022 IEEE/ACM 10th International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems (SESoS),"30 Jun 2022","2022","","","9","12","Research and industry leverage digital twins to monitor and control (cyber-physical) systems in various domains. For their efficient engineering, these twins need to become Systems-of-Systems (SoS), in which digital twins of smaller systems (e.g., a production machine) become parts of digital twins of larger systems (e.g., a factory). Yet, research on digital twins as SoS largely ignores reusing digital twins in SoS. Based on our experience in engineering digital twins with experts from various domains related to production systems engineering, we present insights on the challenges of composing and integrating that need to be addressed for efficient engineering of digital twins as SoS. These insights may guide future research on engineering digital twins as well as practitioners considering the challenges in building and composing digital twin systems-of-systems.","","978-1-4503-9334-8","","Deutsche Forschungsgemeinschaft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9808817","Digital Twins;Composition;Model-Driven Software Engineering;Systems-of-Systems.","Industries;Production systems;Ecosystems;Control systems;Software;Production facilities;Digital twins","","5","","31","","30 Jun 2022","","","IEEE","IEEE Conferences"
"Challenges of Integrating Model-Based Digital Twins for Vehicle Diagnosis","M. Heithoff; M. Konersmann; J. Michael; B. Rumpe; F. Steinfurth","Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany",2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"22 Dec 2023","2023","","","470","478","The integration of independently developed digital twins for automotive diagnosis in a service-oriented vehicle architecture into a complex systems-of-systems rises various challenges to be handled. These challenges have to be tackled in detail for each particular domain and technical system architecture. Current research lacks to discuss them for service-oriented vehicle architectures. Within the project AUTOtech.agil, we are developing a digital twin for automotive diagnosis. This paper describes the application scenario, discusses integration challenges in detail and identifies possible mitigation strategies for the challenges. This discussion allows us to identify areas where general mitigation techniques have yet to be found and to extract a concrete roadmap for the automotive diagnosis digital twins.","","979-8-3503-2498-3","10.1109/MODELS-C59198.2023.00082","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350439","Digital Twin;Model-Driven Engineering;Soft-ware Architecture;Automotive;Vehicle Diagnosis;Integration","Adaptation models;Codes;Systems architecture;Data models;Model driven engineering;Generators;Digital twins","","","","35","IEEE","22 Dec 2023","","","IEEE","IEEE Conferences"
"Towards a Reference Architecture for Leveraging Model Repositories for Digital Twins","D. Lehner; S. Wolny; A. Mazak-Huemer; M. Wimmer","Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT) Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria; Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT) Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria; Institute for Subsurface Engineering, Digital Transformation in Tunnelling Montanuniversität Leoben, Leoben, Austria; Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT) Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),"5 Oct 2020","2020","1","","1077","1080","In the area of Cyber-Physical Systems (CPS), the degree of complexity continuously increases mainly due to new key-enabling technologies supporting those systems. One way to deal with this increasing complexity is to create a digital representation of such systems, a so-called Digital Twin (DT), which virtually acts in parallel ideally across the entire life-cycle of a CPS. For this purpose, the DT uses simulated or real-time data to mimic operations, control, and may modify the CPS’s behaviour at runtime. However, building such DTs from scratch is not trivial, mainly due to the integration needed to deal with heterogeneous systems residing in different technological spaces. In order to tackle this challenge, Model-Driven Engineering (MDE) allows to logically model a CPS with its physical components. Usually, in MDE such ""logical models"" are created at design time which keep them detached from the deployed system during runtime. Instead of building bilateral solutions between each runtime environment and every engineering tool, a dedicated integration layer is needed which can deal with both, design and runtime aspects. Therefore, we present a reference architecture that allows on the one side to query data from model repositories to enrich the running system with design-time knowledge, and on the other side, to be able to reasoning about system states at runtime in design-time models. We introduce a model repository query and management engine as mediator and show its feasibility by a demonstration case.","1946-0759","978-1-7281-8956-7","10.1109/ETFA46521.2020.9212109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9212109","Reference Architecture;Model-Driven Engineering;Digital Twin Engineering","Runtime environment;Digital twin;Space technology;Buildings;Data models;Real-time systems;Model driven engineering","","7","","16","IEEE","5 Oct 2020","","","IEEE","IEEE Conferences"
"An EV-Traction Inverter Data-Driven Modelling for Digital Twin Development","M. Ibrahim; H. A. Raja; A. Rassõlkin; T. Vaimann; A. Kallaste","Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia",2023 23rd International Scientific Conference on Electric Power Engineering (EPE),"28 Jun 2023","2023","","","1","5","Digital Twin (DT) technology has achieved a significant breakthrough in the development of numerous applications, including electric vehicles (EVs). This technique involves the creation of a virtual version of a real object, utilizing simulation and optimization tools with real data to optimize its functioning. The traction inverter is considered the brain of the EV drive system, as it controls the power flow between the battery and the electric motor. It converts the DC voltage from the battery into AC voltage and adjusts the frequency and amplitude to control the speed and torque of the motor. This research work presents the DT modelling procedures of an EV traction inverter. The basic principles of DT are discussed, and the model-driven DT modelling technique is compared to the data-driven. The motor-drive physical model (test bench) is provided. A data-driven model of the inverter was generated using a nonlinear regression-based artificial neural network ANN. Historical data from experimental tests were used as a modeling reference. The obtained results from the data-driven model achieved high prediction accuracy.","2376-5631","979-8-3503-3593-4","10.1109/EPE58302.2023.10149230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10149230","Data-driven modeling;Digital twins;Model-driven development;Propulsion","Training data;Artificial neural networks;Predictive models;Traction motors;Inverters;Data models;Digital twins","","1","","9","IEEE","28 Jun 2023","","","IEEE","IEEE Conferences"
"Supporting Digital Twins Systems Integrating the MERODE Approach","I. Compagnucci; M. Snoeck; E. S. Asensio","Department of Computer Science, University of Camerino, Camerino, Italy; Faculty of Economics and Business, KU Leuven, Leuven, Belgium; Faculty of Economics and Business, KU Leuven, Leuven, Belgium",2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"22 Dec 2023","2023","","","449","458","Digital Twins (DTs) have emerged as a promising concept, representing a new paradigm in smart systems engineering. However, the development of DTs pose significant challenges, particularly on the modeling and data management aspects. This paper presents a holistic approach to develop a DT implementation using a domain model derived from the standard SSN/SOSA ontologies. The proposed approach leverages the MERODE modeling method for rapid prototyping and validation, guaranteeing robust model quality checks and enabling the creation of flexible and reusable code adaptable to different architectural settings. Data management is enhanced through the use of the SOSA/SSN ontology, enabling semantic data models and inference strategies to achieve semantic interoperability. By combining MERODE and IoT ontologies, our approach aims to take a step forward in addressing the challenges linked to system complexity and data management in the development of DT. The proposed approach was validated by instantiating the proposed model with a real-life case.","","979-8-3503-2498-3","10.1109/MODELS-C59198.2023.00079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350700","Conceptual modeling;Model-Driven Engineering;Digital Twins;Ontology;Internet of Things;Model-Based Software Engineering","Adaptation models;Semantics;Ontologies;Rapid prototyping;Data models;Model driven engineering;Digital twins","","","","19","IEEE","22 Dec 2023","","","IEEE","IEEE Conferences"
"Analysis of digital twin application of urban rail power supply system for energy saving","Y. Wang; G. Zhang; R. Chen; Z. Liu; R. Qiu","School of electrical engineering, Beijing Jiaotong University, Beijing, China; School of electrical engineering, Beijing Jiaotong University, Beijing, China; Hohhot transportation investment and Construction Group Co., Ltd, Hohhot, China; School of electrical engineering, Beijing Jiaotong University, Beijing, China; School of electrical engineering, Beijing Jiaotong University, Beijing, China",2021 IEEE 1st International Conference on Digital Twins and Parallel Intelligence (DTPI),"22 Sep 2021","2021","","","29","32","Energy saving analysis and control of urban rail traction power supply system are usually based on the traditional model driven method. However, due to the shortcomings of ideal conditions, off-line modeling and single mechanism, the traditional model driven method greatly limits the accuracy and timeliness of the model, which is difficult to assist operation and can only be applied to the design stage. As the representative of modern intelligent high-precision modeling and simulation methods, Digital Twin (DT) integrates many advanced technologies, such as Internet of things, high-speed communication, big data analysis and intelligent algorithm, which can fundamentally solve the inherent defects of traditional models. In this paper, the demand of traction power supply system for DT technology was analyzed, and the application mode of DT in energy saving was explored comprehensively. According to the actual characteristics of urban rail transit system, a DT architecture was proposed, and the key technologies of multiphysics modeling and data-driven was analyzed. DT of traction power supply system of urban rail transit will improve the real-time and effectiveness of energy-saving comprehensive analysis and control.","","978-1-6654-3337-2","10.1109/DTPI52967.2021.9540127","Fundamental Research Funds for the Central Universities(grant numbers:2018JBZ004); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9540127","urban rail traction power supply system;digital twin;energy saving;multiphysics modeling;data-driven","Rails;Analytical models;Digital twin;Tools;Prediction algorithms;Traction power supplies;Data models","","4","","14","IEEE","22 Sep 2021","","","IEEE","IEEE Conferences"
"A Model-Driven Approach for Situational Intelligence & Operational Awareness","S. Shokooh; G. Nordvik","ETAP, Irvine, CA, USA; Unitech, Stavanger, Norway",2019 Petroleum and Chemical Industry Conference Europe (PCIC EUROPE),"28 Feb 2020","2019","","","1","8","In order to design, operate, and maintain an oil and gas facility, one must first understand its behavior. A model-driven engineering and operation solution is required to analyze and identify problems early on and then improve design to ensure further problems are less likely. Predictive models are already shaping our experiences. They recommend products and services based on our habits. Predictive models of electrical power networks serve as a “digital twin” of the system including network topology, engineering parameters, and other pertinent information with real-time data acquired for depicting the actual operation of the system. A clear and thorough understanding of the operational system increases uptime and reduces the number of unnecessary shutdowns. Predictive simulation models help engineers and operators increase their understanding of systems in a cost-effective and repeatable environment by offering Situational Intelligence & Automation. This paper will include the benefits of adding such a system, the challenges that must be overcome and the lessons that have been learned from the implementation of several of these systems. It will also serve as a handbook on justification for a model-driven power management and automation of oil and gas facilities.","2151-7665","978-3-9524799-5-7","10.23919/PCICEurope46863.2019.9011632","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9011632","Situational Intelligence;Operational Awareness;Model-Driven Design;Predictive Simulation;Digital Twin;Predictive Maintenance;Load Shedding System;Power Management System","Predictive models;Data models;Analytical models;Real-time systems;Oils;Load modeling;Power system management","","1","","2","","28 Feb 2020","","","IEEE","IEEE Conferences"
"A Lightweight Model-driven MES Simulation Framework Based On Probabilistic Finite Automata","K. Zhang; J. Tian; J. Han; Q. Yuan","Huangshan University HSU, Huangshan, China; Huangshan University HSU, Huangshan, China; Huangshan University HSU, Huangshan, China; Huangshan University HSU, Huangshan, China",2022 7th International Conference on Intelligent Computing and Signal Processing (ICSP),"24 May 2022","2022","","","1093","1096","In recent years, the concept of digital twin was introduced to the field of intelligent manufacturing. People use simulation technologies to complete the process of physical equipment in virtual space. As the manager of production process data, MES system is an important basis of digital twin in industrial production. Current MES systems are mostly developed for specific domains, often for large enterprises, with high coupling and poor scalability, which are difficult to be applied to smaller production enterprises with low informationization degree. In this paper, we propose a lightweight model-driven MES simulation framework that uses probabilistic finite automata to form a fast modeling for factory as well as to generate production data, and achieves a highly flexible production process simulation through config files; the framework could also be used to build a real MES system for small and medium-sized production enterprises.","","978-1-6654-7857-1","10.1109/ICSP54964.2022.9778640","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9778640","Intelligent manufacturing;digital twin;MES;probabilistic finite state machine;probabilistic finite automata;XML","Computational modeling;Scalability;Automata;Production;Signal processing;Probabilistic logic;Data models","","2","","7","IEEE","24 May 2022","","","IEEE","IEEE Conferences"
"Data- and model-driven digital twins for design and logistics control of product distribution","M. Stan; T. Borangiu; S. Răileanu","Dept. of Automatic Control and Industrial Informatics, University Politehnica of Bucharest, Bucharest, Romania; Dept. of Automatic Control and Industrial Informatics, University Politehnica of Bucharest, Bucharest, Romania; Dept. of Automatic Control and Industrial Informatics, University Politehnica of Bucharest, Bucharest, Romania",2021 23rd International Conference on Control Systems and Computer Science (CSCS),"26 Jul 2021","2021","","","33","40","Digital control of product-on-pallet distribution is organized on two layers in logistics systems: the low-level local process automation and the supervision and coordination dual logistic execution system. The paper's scientific contribution consists in a holonic control system for multiple robot palletizing cells for product-on-pallet distribution. In this holonic control approach, data-driven digital twins (DT) are created to optimize palletizing schedules, controlled with situation awareness and resource health monitoring. A model-driven DT configuration with embedded simulation faster than real-time is combined with the data-driven DT in a meta-level control scheme offering predictive situation awareness. The paper also presents a pure model-driven DT mock-up of a robot palletizing cell - simulation with software in the loop - in which the actual holonic control system including digital twins and decision making is used in the simulation as it will be deployed in reality. This configuration is used to design the robot palletizing cells, to experiment in limit conditions, to fine tune and validate the robot control solution.","2379-0482","978-1-6654-3939-8","10.1109/CSCS52396.2021.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9481009","supply chain;logistics;product distribution;robot palletizing;digital twin;holonic control","Schedules;Robot kinematics;Digital twin;Robot control;Process control;Predictive models;Software","","11","","24","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
