sep=,
"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","Document Type","Publication Stage","Open Access","Source","EID"
"Song Y.; Xia M.; Chen Q.; Chen F.","Song, Yuguang (57204432863); Xia, Mingchao (7102492305); Chen, Qifang (56083886600); Chen, Fangjian (57211746154)","57204432863; 7102492305; 56083886600; 57211746154","A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin","2023","Applied Energy","332","","120496","","","","9","10.1016/j.apenergy.2022.120496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144289710&doi=10.1016%2fj.apenergy.2022.120496&partnerID=40&md5=b6551a873ca49781c42fbe3f42dfc000","School of Electrical Engineering, Beijing Jiaotong University, Beijing, 100044, China","Song Y., School of Electrical Engineering, Beijing Jiaotong University, Beijing, 100044, China; Xia M., School of Electrical Engineering, Beijing Jiaotong University, Beijing, 100044, China; Chen Q., School of Electrical Engineering, Beijing Jiaotong University, Beijing, 100044, China; Chen F., School of Electrical Engineering, Beijing Jiaotong University, Beijing, 100044, China","With the growing percentage of the intermittent renewable power generation, the energy system is under increasing pressure in balancing the supply and the demand. As a major part of urban energy consumptions, buildings can provide considerable regulation flexibility for the energy system by actively managing their energy demands. For the building energy flexibility (BEF) provided by thermostatically controlled loads (TCL), its dispatch performance is vulnerable to the building thermal parameter errors, and in some cases, occupants need to provide the critical information related to the indoor temperature state and the occupancy state to the energy management system outside buildings, which decreases the availability of the BEF and raises privacy concerns. For these issues in the BEF utilization, this paper proposes a data-model fusion dispatch strategy based on the digital twin (DT). The proposed strategy is capable of parameter fault tolerance and privacy protection by combining the model-free advantage of the data-driven method with the analytical optimization advantage of the model-driven method. Firstly, a DT-based BEF dispatch framework is proposed. Secondly, the building DT is established by combining the building thermal dynamics (BTD) data-driven model and the TCL operation mechanism model. And the building response deduction is carried out based on the DT. Finally, under the rolling optimization framework, the data-model fusion dispatch strategy is devised by uniting the DT deduction and the optimization constructed by the BTD mechanism model, in which the multi-dimensional modeling of the BTD is carried out from the state dimension and the energy dimension. The simulation results show that the optimization result can reach 98.4% of the ideal result under the scenario with 15% parameter random error, and 98.3% of the ideal result under the scenario with 15% random state noise injection. © 2022 Elsevier Ltd","Elsevier Ltd","","","","","","Article","Final","","Scopus","2-s2.0-85144289710"
"Wu Y.; Huang Y.; Li X.; Chen Q.; Li Y.; Chang J.","Wu, Yunan (58192031100); Huang, Yi (57189048168); Li, Xuyang (35589946300); Chen, Qinfang (36611395600); Li, Yunfei (58736504400); Chang, Jun (55791680600)","58192031100; 57189048168; 35589946300; 36611395600; 58736504400; 55791680600","Development and prospect of digital twin model for stray light of spaceborne telescope","2023","Proceedings of SPIE - The International Society for Optical Engineering","12921","","129211Q","","","","0","10.1117/12.2688626","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178361532&doi=10.1117%2f12.2688626&partnerID=40&md5=abd3bfd179b0a5dec57d34fd34b8dbaf","Key Laboratory of Photoelectronic Imaging Technology and System (Beijing Institute of Technology), Ministry of Education, Beijing, China; Xi'an Institute of Optics and Precision Mechanics, Chinese Academy of Sciences, Xi’an, China; Tianjin Municipal Public Security Bureau, Tianjin, China","Wu Y., Key Laboratory of Photoelectronic Imaging Technology and System (Beijing Institute of Technology), Ministry of Education, Beijing, China; Huang Y., Key Laboratory of Photoelectronic Imaging Technology and System (Beijing Institute of Technology), Ministry of Education, Beijing, China; Li X., Xi'an Institute of Optics and Precision Mechanics, Chinese Academy of Sciences, Xi’an, China; Chen Q., Xi'an Institute of Optics and Precision Mechanics, Chinese Academy of Sciences, Xi’an, China; Li Y., Tianjin Municipal Public Security Bureau, Tianjin, China; Chang J., Key Laboratory of Photoelectronic Imaging Technology and System (Beijing Institute of Technology), Ministry of Education, Beijing, China","With the continuous deepening of research and development in the field of aerospace, the requirements for aerospace payloads are also increasing. The stray light received by the spaceborne telescope in the space environment will be one of the most important factors affecting its performance. The optical mechanical surface of spaceborne telescope will deviate from the original design due to various objective factors during the whole link process, and the actual optical mechanical surface is not ideal. In order to ensure that it can work normally, it is necessary to simulate and analyze the stray light situation of the whole link. This paper mainly introduces the complex environment and complex characteristics experienced from the ground section to the orbit section, analyzes and summarizes the sources of stray light, and finally proposes a framework for establishing a digital twin model of stray light for spaceborne telescopes. Through data-driven and model-driven methods, finally build a complete set of ground, launch, and in-orbit digital twin models. © 2023 SPIE.","SPIE","The Chinese Society of Optical Engineering; University of Technology Sydney","3rd International Computing Imaging Conference, CITA 2023","1 June 2023 through 3 June 2023","Sydney","194403","Conference paper","Final","","Scopus","2-s2.0-85178361532"
"Hueso M.; Álvarez R.; Marí D.; Ribas-Ripoll V.; Lekadir K.; Vellido A.","Hueso, Miguel (6602166995); Álvarez, Rafael (58567315200); Marí, David (58793078600); Ribas-Ripoll, Vicent (58263152300); Lekadir, Karim (15042517700); Vellido, Alfredo (6602481203)","6602166995; 58567315200; 58793078600; 58263152300; 15042517700; 6602481203","Is generative artificial intelligence the next step toward a personalized hemodialysis?","2023","Revista de investigacion clinica; organo del Hospital de Enfermedades de la Nutricion","75","6","","309","317","8","2","10.24875/RIC.23000162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181395946&doi=10.24875%2fRIC.23000162&partnerID=40&md5=0dd6118b264d6b6a33466ee4a0c7ca7f","Department of Nephrology, Hospital Universitari Bellvitge and Institut d'Investigació Biomèdica de Bellvitge-IDIBELL, Barcelona, Spain; BigData and Artificial Intelligence Group (BigSEN Working Group), Spanish Society of Nephrology (SENEFRO), Santander, Spain; Digital Health Unit, Eurecat - Centre Tecnològic de Catalunya, Barcelona, Spain; Artificial Intelligence in Medicine Lab (BCN-AIM), Department of Mathematics and Computer Science, University of Barcelona, Barcelona, Spain; Intelligent Data Science and Artificial Intelligence Research Center, Universitat Politècnica de Catalunya, Barcelona, Spain; Centro de Investigación Biomédica en Red (CIBER), Barcelona, Spain","Hueso M., Department of Nephrology, Hospital Universitari Bellvitge and Institut d'Investigació Biomèdica de Bellvitge-IDIBELL, Barcelona, Spain, BigData and Artificial Intelligence Group (BigSEN Working Group), Spanish Society of Nephrology (SENEFRO), Santander, Spain; Álvarez R., Department of Nephrology, Hospital Universitari Bellvitge and Institut d'Investigació Biomèdica de Bellvitge-IDIBELL, Barcelona, Spain; Marí D., Digital Health Unit, Eurecat - Centre Tecnològic de Catalunya, Barcelona, Spain; Ribas-Ripoll V., Digital Health Unit, Eurecat - Centre Tecnològic de Catalunya, Barcelona, Spain; Lekadir K., Artificial Intelligence in Medicine Lab (BCN-AIM), Department of Mathematics and Computer Science, University of Barcelona, Barcelona, Spain; Vellido A., Intelligent Data Science and Artificial Intelligence Research Center, Universitat Politècnica de Catalunya, Barcelona, Spain, Centro de Investigación Biomédica en Red (CIBER), Barcelona, Spain","Artificial intelligence (AI) generative models driven by the integration of AI and natural language processing technologies, such as OpenAI's chatbot generative pre-trained transformer large language model (LLM), are receiving much public attention and have the potential to transform personalized medicine. Dialysis patients are highly dependent on technology and their treatment generates a challenging large volume of data that has to be analyzed for knowledge extraction. We argue that, by integrating the data acquired from hemodialysis treatments with the powerful conversational capabilities of LLMs, nephrologists could personalize treatments adapted to patients' lifestyles and preferences. We also argue that this new conversational AI integrated with a personalized patient-computer interface will enhance patients' engagement and self-care by providing them with a more personalized experience. However, generative AI models require continuous and accurate updates of data, and expert supervision and must address potential biases and limitations. Dialysis patients can also benefit from other new emerging technologies such as Digital Twins with which patients' care can also be addressed from a personalized medicine perspective. In this paper, we will revise LLMs potential strengths in terms of their contribution to personalized medicine, and, in particular, their potential impact, and limitations in nephrology. Nephrologists' collaboration with AI academia and companies, to develop algorithms and models that are more transparent, understandable, and trustworthy, will be crucial for the next generation of dialysis patients. The combination of technology, patient-specific data, and AI should contribute to create a more personalized and interactive dialysis process, improving patients' quality of life.","","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85181395946"
"Combemale B.; Jezequel J.-M.; Perez Q.; Vojtisek D.; Jansen N.; Michael J.; Rademacher F.; Rumpe B.; Wortmann A.; Zhang J.","Combemale, Benoit (24343217800); Jezequel, Jean-Marc (35618077100); Perez, Quentin (57210745319); Vojtisek, Didier (56507460600); Jansen, Nico (57204976543); Michael, Judith (55341586200); Rademacher, Florian (57015087900); Rumpe, Bernhard (55861872700); Wortmann, Andreas (56581745100); Zhang, Jingxi (58813182600)","24343217800; 35618077100; 57210745319; 56507460600; 57204976543; 55341586200; 57015087900; 55861872700; 56581745100; 58813182600","Model-Based DevOps: Foundations and Challenges","2023","Proceedings - 2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C 2023","","","","429","433","4","0","10.1109/MODELS-C59198.2023.00076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182393081&doi=10.1109%2fMODELS-C59198.2023.00076&partnerID=40&md5=5093842f1c25cf16bbca726d628085df","University of Rennes 1, Rennes, F-35042, France; Rwth Aachen University, Software Engineering, Aachen, D-52074, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, D-70174, Germany","Combemale B., University of Rennes 1, Rennes, F-35042, France; Jezequel J.-M., University of Rennes 1, Rennes, F-35042, France; Perez Q., University of Rennes 1, Rennes, F-35042, France; Vojtisek D., University of Rennes 1, Rennes, F-35042, France; Jansen N., Rwth Aachen University, Software Engineering, Aachen, D-52074, Germany; Michael J., Rwth Aachen University, Software Engineering, Aachen, D-52074, Germany; Rademacher F., Rwth Aachen University, Software Engineering, Aachen, D-52074, Germany; Rumpe B., Rwth Aachen University, Software Engineering, Aachen, D-52074, Germany; Wortmann A., Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, D-70174, Germany; Zhang J., Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, D-70174, Germany","Time-to-market and continuous improvement are key success indicators to deliver for Industry 4.0 Cyber-Physical Systems (CPSs). There is thus a growing interest in adapting DevOps approaches coming from software systems to CPSs. However, CPSs are made not only of software but also of physical parts that need to be monitored at runtime. In this paper, we claim that Model-Driven Engineering can facilitate DevOps for CPSs by automatically connecting a CPS design model to its runtime monitoring, in the form of a digital twin.  © 2023 IEEE.","Institute of Electrical and Electronics Engineers Inc.","","2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C 2023","1 October 2023 through 6 October 2023","Vasteras","195746","Conference paper","Final","","Scopus","2-s2.0-85182393081"
"Deng D.; Ding X.; Wang L.","Deng, Dasong (57331507500); Ding, Xiaoyue (57824732100); Wang, Lin (57824200000)","57331507500; 57824732100; 57824200000","A New 5S Radar Structure Design Model Driven by Digital Twin","2022","Lecture Notes in Electrical Engineering","885 LNEE","","","1015","1023","8","0","10.1007/978-981-19-1309-9_99","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135141394&doi=10.1007%2f978-981-19-1309-9_99&partnerID=40&md5=2dc157e7789ffeaa29108989bfbde8a2","Nanjing Research Institute of Electronics Technology, Nanjing, 210039, China","Deng D., Nanjing Research Institute of Electronics Technology, Nanjing, 210039, China; Ding X., Nanjing Research Institute of Electronics Technology, Nanjing, 210039, China; Wang L., Nanjing Research Institute of Electronics Technology, Nanjing, 210039, China","Digital Twin (DT) is acting as a key to realize Cyber-Physical System (CPS) supporting smart manufacturing. In radar community, ideal design description, poor dynamic interaction and limited implementation extension have significant impacts on effectiveness and efficiency of digital radar structure design. For addressing these shortfalls, a new 5S Radar Structure Design Model (5S-RSDM) driven by DT is proposed in this paper, whose composition, design optimization and design knowledge management are discussed. It shows that 5S-RSDM is helpful for persistent design optimization, efficient design knowledge management and significant radar SWaP decrease by creating a digital radar structure twin with dynamic interaction with the physical radar structure counterpart. © 2022, Science Press.","Springer Science and Business Media Deutschland GmbH","","8th Asia International Symposium on Mechatronics, AISM 2021","16 December 2021 through 19 December 2021","Liuzhou","280549","Conference paper","Final","","Scopus","2-s2.0-85135141394"
"Lehner D.","Lehner, Daniel (57212391238)","57212391238","A Model-Driven Platform for Engineering Holistic Digital Twins","2023","Proceedings - 2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C 2023","","","","179","185","6","0","10.1109/MODELS-C59198.2023.00045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182396591&doi=10.1109%2fMODELS-C59198.2023.00045&partnerID=40&md5=248b90124b8af4c395cf2b886b55c9a6","Institute of Business Informatics - Software Engineering, Johannes Kepler University, Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Linz, Austria","Lehner D., Institute of Business Informatics - Software Engineering, Johannes Kepler University, Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Linz, Austria","With the combination of software and physical devices into so-called cyber-physical systems (CPSs), Digital Twins (DTs) have emerged to handle the resulting complexity and efficiently connect software to physical devices, the so-called physical twins (PTs). While DTs have gained more and more interest in both industry and academia in recent years, several vendors started to provide so-called DT platforms that offer software tools that promise to make it easier to develop and maintain DTs. When investigating these platforms in more detail, we found that they require the redundant specification of information that is usually already defined in engineering models describing the underlying PT. Additionally, they focus on connecting services to the running PT. Most DT applications however also need a connection to a simulation of the PT, which is currently not supported by the examined DT platforms. As different DT platforms usually each use their own proprietary language and software tooling, it is also currently time-demanding to integrate them with the software services that realize functionality based on these platforms. In the described thesis project, we propose an extended DT platform that solves the mentioned problems by leveraging Model-driven Engineering (MDE) techniques. More precisely, we (i) develop model transformations from existing engineering models to the proprietary DT models used by current DT platforms, (ii) create a DT megamodel that integrates DT models of existing platforms with models representing different endpoints such as PTs or simulations, and generic service descriptions, and (iii) propose a workflow model to define the interactions between different services and DTs, and a method that automates the integration of services and DTs into DT architectures based on this workflow model and the DT megamodel. We aim to evaluate our work by performing case studies on a set of CPSs. In these case studies, we measure the steps required for setting up and maintaining DT architectures for these CPSs, comparing our extended DT platform to existing DT platform support.  © 2023 IEEE.","Institute of Electrical and Electronics Engineers Inc.","","2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C 2023","1 October 2023 through 6 October 2023","Vasteras","195746","Conference paper","Final","","Scopus","2-s2.0-85182396591"
"Barosan I.; Van Der Heijden J.","Barosan, Ion (6506476921); Van Der Heijden, Juan (57819213400)","6506476921; 57819213400","Integration of SysML models in a 3D environment for Virtual Testing and Validation","2022","ACM International Conference Proceeding Series","","","","39","45","6","0","10.1145/3531056.3542784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134887348&doi=10.1145%2f3531056.3542784&partnerID=40&md5=98ab5b1e40d67c34799620bf2b755310","Mathematics And Computer Science Department, Eindhoven University Of Technology, Netherlands; Philips, Netherlands","Barosan I., Mathematics And Computer Science Department, Eindhoven University Of Technology, Netherlands; Van Der Heijden J., Philips, Netherlands","Model-Driven Systems Engineering has been presented as a promising approach for developing complex systems. To address the complexity of systems, it is necessary to ensure that knowledge is transferred properly between projects, teams, and engineers. To avoid specification omissions and misinterpretations to surface in projects, clear communication is needed during the system's development. The introduction of SysML and systems modeling was intended to improve the communication of design intent among stakeholders and engineers. System models have multiple diagrams that are all interconnected and interrelated, such that they represent a consistent view of a system. To comprehend the structure and the behavior of a complex system, proper visualization of the SysML models is needed. There are mature commercial tools that offers support to SysML modeling, and forming the major platforms for developing the SysML models. However, the current SysML modeling tools use 2-dimensional views to visualize the models, which limits the comprehension of a complex system. To overcome this limitation, the SysML models have to integrate into a 3D virtual environment. In this paper, we present the first step towards this solution by introducing the architecture and the implementation of a conversion layer, that converts a SysML model to a 3D representation. To validate the conversion layer a prototype is presented, which converts a SysML model developed with IBM Rhapsody into a 3D representation in the Unity Game Engine. The performed test showed that the complexity of the models can be comprehended more efficiently in 3D than in a 2D environment. Moreover, visualizing the SysML models in 3D offers a better understanding and insight into the structure and the behavior of a system. Coupling the 3D representation of the SysML models with the 3D CAD representation of the modeled system, as in the Digital Twin case, offers new ways of capturing the design of a complex system.  © 2022 Owner/Author.","Association for Computing Machinery","FIXED Solutions; GIZA Systems; HUAWEI; Internet of Things Egypt (IOT); Open UK; Xceed","1st Federated Africa and Middle East Conference on Software Engineering, FAMECSE 2022","7 June 2022 through 8 June 2022","Virtual, Online","180962","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85134887348"
"Compagnucci I.; Snoeck M.; Asensio E.S.","Compagnucci, Ivan (57222084674); Snoeck, Monique (55968864600); Asensio, Estefania Serral (19934565100)","57222084674; 55968864600; 19934565100","Supporting Digital Twins Systems Integrating the MERODE Approach","2023","Proceedings - 2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C 2023","","","","449","458","9","0","10.1109/MODELS-C59198.2023.00079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182392024&doi=10.1109%2fMODELS-C59198.2023.00079&partnerID=40&md5=f53f4716d55f2d9626fdd4ca724cced4","University of Camerino, Department of Computer Science, Camerino, Italy; Ku Leuven, Faculty of Economics and Business, Leuven, Belgium","Compagnucci I., University of Camerino, Department of Computer Science, Camerino, Italy; Snoeck M., Ku Leuven, Faculty of Economics and Business, Leuven, Belgium; Asensio E.S., Ku Leuven, Faculty of Economics and Business, Leuven, Belgium","Digital Twins (DTs) have emerged as a promising concept, representing a new paradigm in smart systems engineering. However, the development of DTs pose significant challenges, particularly on the modeling and data management aspects. This paper presents a holistic approach to develop a DT implementation using a domain model derived from the standard SSN/SOSA ontologies. The proposed approach leverages the MERODE modeling method for rapid prototyping and validation, guaranteeing robust model quality checks and enabling the creation of flexible and reusable code adaptable to different architectural settings. Data management is enhanced through the use of the SOSA/SSN ontology, enabling semantic data models and inference strategies to achieve semantic interoperability. By combining MERODE and IoT ontologies, our approach aims to take a step forward in addressing the challenges linked to system complexity and data management in the development of DT. The proposed approach was validated by instantiating the proposed model with a real-life case.  © 2023 IEEE.","Institute of Electrical and Electronics Engineers Inc.","","2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C 2023","1 October 2023 through 6 October 2023","Vasteras","195746","Conference paper","Final","","Scopus","2-s2.0-85182392024"
"Lehner D.; Sint S.; Eisenberg M.; Wimmer M.","Lehner, Daniel (57212391238); Sint, Sabine (58309648900); Eisenberg, Martin (57425527800); Wimmer, Manuel (14030698000)","57212391238; 58309648900; 57425527800; 14030698000","A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]","2023","At-Automatisierungstechnik","71","6","","423","443","20","2","10.1515/auto-2022-0144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161546216&doi=10.1515%2fauto-2022-0144&partnerID=40&md5=67d0ec204859e8ae4d3fca874f1d167b","JKU Linz Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Department of Business Informatics - Software Engineering, Johannes Kepler University Linz, Altenberger Straße 69, Linz, 4040, Austria","Lehner D., JKU Linz Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Department of Business Informatics - Software Engineering, Johannes Kepler University Linz, Altenberger Straße 69, Linz, 4040, Austria; Sint S., JKU Linz Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Department of Business Informatics - Software Engineering, Johannes Kepler University Linz, Altenberger Straße 69, Linz, 4040, Austria; Eisenberg M., JKU Linz Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Department of Business Informatics - Software Engineering, Johannes Kepler University Linz, Altenberger Straße 69, Linz, 4040, Austria; Wimmer M., JKU Linz Christian Doppler Laboratory for Model-Integrated Smart Production (CDL-MINT), Department of Business Informatics - Software Engineering, Johannes Kepler University Linz, Altenberger Straße 69, Linz, 4040, Austria","Digital Twins are emerging as a solution to build and extend existing software systems to make better use of data produced by physical systems. For supporting the development of Digital Twins, several software vendors are offering dedicated tool support, often referred to as Digital Twin platforms. The modeling capabilities of these platforms are mostly concerned with structural viewpoints, i.e., providing an overview of available components including their current and historical sensor values. However, behavioral viewpoints did not yet receive much attention on these platforms. As behavioral models are often used during the design processes, e.g., for simulation and synthesis, it would be beneficial for having them included in Digital Twin platforms, e.g., for reasoning on the set of possible next actions or for checking the execution history to perform runtime validation. In this paper, we present a catalog of modeling patterns for augmenting Digital Twin models with behavioral models and their corresponding runtime information without requiring any extension of the code bases of Digital Twin platforms. We demonstrate the presented modeling patterns by applying them to the Digital Twin platform offered by Microsoft, in an additive manufacturing use case of a 3D printer in a production line.  © 2023 the author(s), published by De Gruyter, Berlin/Boston.","De Gruyter Oldenbourg","","","","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85161546216"
"Pichot G.; Rocheteau J.; Attiogbé C.","Pichot, Gaël (57951490900); Rocheteau, Jérôme (24528964700); Attiogbé, Christian (57195102478)","57951490900; 24528964700; 57195102478","Model-Driven Development of Digital Twins for Supervision and Simulation of Sensor-and-Actuator Networks (Extended Abstract)","2022","CEUR Workshop Proceedings","3250","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141169895&partnerID=40&md5=22c17b7ef6f1df70e80e1cf279b5bf7c","Icam Ouest, 35 avenue du champ de manoeuvres,Carquefou, 44470, France; LS2N, 2 chemin de la Houssinière, BP 92208, Nantes, 44322 Cedex 3, France","Pichot G., Icam Ouest, 35 avenue du champ de manoeuvres,Carquefou, 44470, France; Rocheteau J., Icam Ouest, 35 avenue du champ de manoeuvres,Carquefou, 44470, France, LS2N, 2 chemin de la Houssinière, BP 92208, Nantes, 44322 Cedex 3, France; Attiogbé C., Icam Ouest, 35 avenue du champ de manoeuvres,Carquefou, 44470, France","[No abstract available]","CEUR-WS","","STAF 2022 Workshop: 10th International Workshop on Bidirectional Transformations, BX 2022, 2nd International Workshop on Foundations and Practice of Visual Modeling, FPVM 2022 and 2nd International Workshop on MDE for Smart IoT Systems, MeSS 2022","5 July 2022 through 8 July 2022","Nantes","183750","Conference paper","Final","","Scopus","2-s2.0-85141169895"
"Wu D.; Zhang T.; Zhang X.","Wu, Dinghui (23096676200); Zhang, Tongrui (57556232300); Zhang, Xiuli (57204174443)","23096676200; 57556232300; 57204174443","Job Shop Rescheduling Under Recessive Disturbance Based on Digital Twin; [扰动累积下基于数字孪生的车间重调度]","2022","Xitong Fangzhen Xuebao / Journal of System Simulation","34","3","","573","583","10","0","10.16182/j.issn1004731x.joss.21-0110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127352383&doi=10.16182%2fj.issn1004731x.joss.21-0110&partnerID=40&md5=95dae53d8931336e0ccc181796937011","Key Laboratory of Advanced Process Control for Light Industry, Jiangnan University, Wuxi, 214122, China; Wuxi Institute of Technology, Wuxi, 214122, China","Wu D., Key Laboratory of Advanced Process Control for Light Industry, Jiangnan University, Wuxi, 214122, China; Zhang T., Key Laboratory of Advanced Process Control for Light Industry, Jiangnan University, Wuxi, 214122, China; Zhang X., Wuxi Institute of Technology, Wuxi, 214122, China","A new shop rescheduling model driven by digital twin is proposed to solve the problems of disturbance cumulative rescheduling. A scheduling parameter updating method is proposed and a random probability distribution is used to describe the distribution of scheduling parameters to improve the accuracy of scheduling parameters. An implicit disturbance detection model is built based on Siamese Network using real-time data as input to realize the start time of rescheduling. The sample data for scheduling knowledge mining are extracted from the historical scheduling scenarios. Through the Pseudo-Siamese CNN, the mapping relationship between the Process state and machine state is obtained, which is applied to production online rescheduling. Simulation experiments show the feasibility of the proposed digital twin driven shop rescheduling model. © 2022, The Editorial Board of Journal of System Simulation. All right reserved.","Acta Simulata Systematica Sinica","","","","","","Article","Final","","Scopus","2-s2.0-85127352383"
"Michael J.; Nachmann I.; Netz L.; Rumpe B.; Stüber S.","Michael, Judith (55341586200); Nachmann, Imke (57894980200); Netz, Lukas (57188959185); Rumpe, Bernhard (55861872700); Stüber, Sebastian (57206668572)","55341586200; 57894980200; 57188959185; 55861872700; 57206668572","Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines","2022","Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)","P-324","","","33","48","15","8","10.18420/modellierung2022-012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138312179&doi=10.18420%2fmodellierung2022-012&partnerID=40&md5=e59b1143a0b11904bf3d13093a968450","Software Engineering, RWTH Aachen University, Germany","Michael J., Software Engineering, RWTH Aachen University, Germany; Nachmann I., Software Engineering, RWTH Aachen University, Germany; Netz L., Software Engineering, RWTH Aachen University, Germany; Rumpe B., Software Engineering, RWTH Aachen University, Germany; Stüber S., Software Engineering, RWTH Aachen University, Germany","The complexity of wind energy systems combined with an increased trend towards mass customization require the collaboration of many experts to achieve high quality products. Currently, a major issue arises from the lack of data integration among the different tools used during the engineering process which may cause system failures eventually. Existing tools largely do not support automatic detection and indication of erroneous or contradictory parameter values between artifacts of different tools. Employing a model-driven and functional engineering approach enables to establish an integrated toolchain for the management and visualization of engineering artifacts that consume and produce the data. Within this paper, we present an automatic approach to derive an engineering digital twin for the cooperative development and management of engineering artifacts from functional models of the system under development. We evaluate our approach on the example of a hydraulic pump within the cooling system of a wind turbine. The prototype can be coupled with an existing engineering tool ecosystem. The approach enables to exchange the data produced by engineering artifacts according to a functional system model which facilitates the cooperation between different stakeholders throughout the development process.  © Gesellschaft für Informatik, Bonn 2022.","Gesellschaft fur Informatik (GI)","Gesellschaft fur Informatik; Hochschule fur Angewandte Wissenschaften Hamburg (HAW); Universitat Hamburg (UH)","Modellierung 2022","27 June 2022 through 1 July 2022","Hamburg","182370","Conference paper","Final","","Scopus","2-s2.0-85138312179"
