Document Title;Abstract;Publication Title;Authors;Publication Year;Document Identifier;Publisher
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;Digital twin technology establishes the future development vision for Industry 4.0, and is also an important exploration direction for the Model-Driven Engineering (MDE) paradigm. Because it builds a more flexible and communicative production system through models that spans life cycle, hierarchy and architecture. The standard proposed under the concept of Industry 4.0, the Asset Administration Shell (AAS), provides a syntactic interoperability interface for all assets involved in smart factories. However, there is still a need to fill the gap regarding semantic interoperability, in order to allow efficient interactions between Industry 4.0 components. Ontologies are a good candidate because they provide formal semantics expressed using a knowledge representation language, and in addition, there are many associated mature tools for reasoning and inference. Therefore, we propose a modeling approach that provides semantic interoperability for AAS-based digital twins using ontologies.;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Huang Y,Dhouib S,Medinacelli LP,Malenfant J;2022;Conference Paper;ACM
Challenges and Possible Approaches for Sustainable Digital Twinning;The advance in digital twin technology is creating value for lots of companies. We look at the digital twin design and operation from a sustainability perspective. We identify some challenges related to a digital twin's sustainable design and operation. Finally, we look at some possible approaches, grounded in multi-paradigm modelling to help us create and deploy more sustainable twins.;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Bellis S,Denil J;2022;Conference Paper;ACM
Coordination and Explanation of Reconfigurations in Self-Adaptive High-Performance Systems;Self-adaptive systems that modify their architecture to achieve different Service Level Objectives (SLOs) are becoming well-established parts of a company's portfolio. Current systems however do a poor job of coordinating the underlying rules and explaining the system's behavior to developers. This negatively impacts a system's performance due to behaving in unintended and hard-to-comprehend ways.In this vision paper, we introduce an approach that intends to alleviate these problems, for the use-case of high-performance cloud clusters, through the use of a cyber-cyber digital twin based on the Palladio ecosystem. The conceived digital twin allows for several functions that are unexplored in literature so far: the combination of design time analysis with explainability, use of state-space prediction bounded by likelihood, and explanation of non-applicability. This is achieved through a digital twin performing three main activities:1) The predicting activity predicts system performance along several potential paths.2) The planning activity analyzes reconfiguration rules and predicted system behavior to produce reconfiguration plans that try to optimally utilize available resources and achieve all SLOs without unintended interactions between the execution of rules.3) The explaining activity processes all artifacts produced during system simulation time or runtime to provide comprehensive visualizations to developers.We explain how each activity is performed and what models it processes and produces based on a running example.;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Stieß S,Becker S,Ege F,Höppner S,Tichy M;2022;Conference Paper;ACM
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;Traditional production systems are characterized by rare software updates and fixed production lines. Each production unit is designed and programmed for a specific task. Therefore, the reliability assessment is conducted once before the operation, mostly manually, and is based on traditional reliability models, such as event trees, fault trees, or reliability block diagrams. In comparison to traditional production systems, the focus of modern, complex production systems is shifted towards the software part. This is emphasized by the concepts of digital twins and Software-Defined Manufacturing (SDM). These software-intensive and safety-critical systems have more frequent software updates to address higher system flexibility and adjustable production processes. Therefore, SDM systems require a new approach to reliability assessment. Each software update can change the system behavior significantly. This leads to the necessity to reconduct the reliability assessment automatically before each software update. Advanced and hybrid reliability models are the key enabling technology. These models must be automatically generated and synchronized with the available system models and digital twins. Model-to-Model (M2M) transformation methods are another enabling technology.In this paper, we present a case study on automated and continuous reliability assessment of SDM. It shows, that our new method is a suitable candidate to enable the reliability assessment of SDM based on digital twins. The method includes (i) the extension of SysML v2 for reliability assessment, (ii) the automatic generation of hybrid reliability models from the digital twin, and (iii) their reliability assessment with new solvers developed for our OpenPRA framework.;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Grimmeisen P,Wortmann A,Morozov A;2022;Conference Paper;ACM
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;Model–Driven Systems Engineering has been presented as a promising approach for developing complex systems. To address the complexity of systems, it is necessary to ensure that knowledge is transferred properly between projects, teams, and engineers. To avoid specification omissions and misinterpretations to surface in projects, clear communication is needed during the system’s development. The introduction of SysML and systems modeling was intended to improve the communication of design intent among stakeholders and engineers. System models have multiple diagrams that are all interconnected and interrelated, such that they represent a consistent view of a system. To comprehend the structure and the behavior of a complex system, proper visualization of the SysML models is needed. There are mature commercial tools that offers support to SysML modeling, and forming the major platforms for developing the SysML models. However, the current SysML modeling tools use 2-dimensional views to visualize the models, which limits the comprehension of a complex system. To overcome this limitation, the SysML models have to integrate into a 3D virtual environment. In this paper, we present the first step towards this solution by introducing the architecture and the implementation of a conversion layer, that converts a SysML model to a 3D representation. To validate the conversion layer a prototype is presented, which converts a SysML model developed with IBM Rhapsody into a 3D representation in the Unity Game Engine. The performed test showed that the complexity of the models can be comprehended more efficiently in 3D than in a 2D environment. Moreover, visualizing the SysML models in 3D offers a better understanding and insight into the structure and the behavior of a system. Coupling the 3D representation of the SysML models with the 3D CAD representation of the modeled system, as in the Digital Twin case, offers new ways of capturing the design of a complex system.;Proceedings of the Federated Africa and Middle East Conference on Software Engineering;Barosan I,van der Heijden J;2022;Conference Paper;ACM
Semantic digital twins for organizational development;Semantic-based Digital Twins can be applied to the enactment of the digital counterparts of enterprises and organizations, and not only for physical devices or machines. Digital Twins for Organizations have a profound impact in the architecture of corporate management platforms, in the design of business processes and in the conception of information and technological ecosystems.. This work condenses our experience in the creation of Digital Twins for Organizations, using model-driven engineering based on semantic modeling. We will describe their more relevant characterizations and discuss their potential impact in their business implementations. Copyright © 2021 for this paper by its authors.;CEUR Workshop Proceedings;"Diéz A.; De Lara J.";2021;Conference paper;CEUR-WS
"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]";Digital Twins are emerging as a solution to build and extend existing software systems to make better use of data produced by physical systems. For supporting the development of Digital Twins, several software vendors are offering dedicated tool support, often referred to as Digital Twin platforms. The modeling capabilities of these platforms are mostly concerned with structural viewpoints, i.e., providing an overview of available components including their current and historical sensor values. However, behavioral viewpoints did not yet receive much attention on these platforms. As behavioral models are often used during the design processes, e.g., for simulation and synthesis, it would be beneficial for having them included in Digital Twin platforms, e.g., for reasoning on the set of possible next actions or for checking the execution history to perform runtime validation. In this paper, we present a catalog of modeling patterns for augmenting Digital Twin models with behavioral models and their corresponding runtime information without requiring any extension of the code bases of Digital Twin platforms. We demonstrate the presented modeling patterns by applying them to the Digital Twin platform offered by Microsoft, in an additive manufacturing use case of a 3D printer in a production line. © 2023 the author(s), published by De Gruyter, Berlin/Boston.;At-Automatisierungstechnik;"Lehner D.; Sint S.; Eisenberg M.; Wimmer M.";2023;Article;De Gruyter Oldenbourg
Ensuring consistency in scalable-detail models for DT-based control;Digital Twins (DTs for short) are a powerful aid for creating, assessing and maintaining control strategies. This use of DTs however requires that the physical entities to control be described at different levels of detail. For example, simple I/O models are used to compute parameters of modulating controllers, more time-accurate ones may be required to set up and assess logic controls, high-accuracy, possibly nonlinear ones may serve for overall strategy verification, and for software-in-the-loop testing, also the host computing/network architecture needs representing. In such a complex scenario, guaranteeing that all the descriptions of all elements are consistent with one another is a relevant problem. We discuss this matter and propose a solution, in the form of a modelling paradigm where - as a novel contributions - relationships (in a sense analogous to what the term means in database theory) can be instated and enforced. This allows to create and maintain knowledge based made of interrelate data and models, embracing all the major DT interpretations proposed so far in the literature, or said more explicitly, combining data-driven and model-driven DTs in a single framework. We also provide an illustrative example. © 2021 The Authors. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0);IFAC-PapersOnLine;"Cimino C.; Leva A.; Ferretti G.";2021;Conference paper;Elsevier B.V.
The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development;OMiLAB is a community of practice which offers a digital ecosystem bringing together open technologies to investigate and apply conceptual modeling methods for varying purposes and domains. One of the core value propositions is a dedicated Digital Innovation environment comprising several toolkits and workspaces, designed to support Product-Service Systems (PSS) prototyping – a key ingredient for PSS lifecycle management. At the core of this environment is a notion of Agile Digital Twin – a conceptual representation that can be tailored with knowledge engineering means to bridge the semantic and functional gap between a business perspective (focusing on value creation) and an engineering perspective (focusing on cyber-physical proofs-of-concept). To facilitate this bridging, the hereby proposed environment orchestrates, across three abstraction layers, methods such as Design Thinking, Agile Modeling Method Engineering and Model-driven Engineering to turn Ideation into smart Product-Service Systems experiments, in a laboratory setting. The proposed environment was built following Design Science principles. It addresses the problem of historically-disconnected skills required for Digital Innovation projects and it provides a testbed for feasibility experimentation. For design-oriented, artifact building research, a higher Technology Readiness Level can thus be achieved (compared to the level that idea development methods typically attain). © 2022 Elsevier B.V.;Computers in Industry;"Karagiannis D.; Buchmann R.A.; Utz W.";2022;Article;Elsevier B.V.
Digital twin enhanced human-machine interaction in product lifecycle;Human-machine interaction (HMI) is a key technology for implementing smart manufacturing, which primarily focuses on the issues of communication, interaction, and cooperation between humans and machines. HMI has been widely studied in product lifecycle including product design, manufacturing, and service, but the efficiency and safety still cannot meet the new requirements for smart manufacturing along with new emerging technologies (e.g., big data, artificial intelligence, augmented reality, etc.). Digital twin (DT), as a new technology to realize cyber-physical integration, provides a new chance to address the above problems. Using a five-dimension DT model driven by real-time data, HMI will generate a more flexible interactive mode to improve machine efficiency and operation safety. In this paper, HMI in product lifecycle is investigated first, and the shortness and new requirements are analyzed, then a DT enhanced HMI framework is proposed to address the shortness. © 2019 The Authors. Published by Elsevier B.V.;Procedia CIRP;"Ma X.; Tao F.; Zhang M.; Wang T.; Zuo Y.";2019;Conference paper;Elsevier B.V.
Modular Fault Ascription and Corrective Maintenance Using a Digital Twin;The industrial environment is slowly transforming to a networked system of systems nature with industry 4.0. Automation systems are getting more production friendly by being more reconfigurable and adaptable. The plant engineering process is also getting improved by offering modular architecture, model-based engineering, etc. This transformation necessitates novel methodologies in maintenance practices as well. With the emergence of predictive maintenance techniques, sometimes it is possible to predict a breakdown and thus conveniently schedule the corrective maintenance. But this is not always the case, the incidence of unscheduled corrective maintenance is prevalent in an industrial environment. And the methodologies for corrective maintenance have to be reshaped fitting to the new plant environment. This paper introduces a new modular corrective maintenance methodology, using the digital twin of an automation module. Fault ascription support for a human technician, performing corrective maintenance action of an automation module is provided by its digital twin and associated visual interface. A use case scenario is propounded and future visions are presented. © 2018;;"Vathoopan M.; Johny M.; Zoitl A.; Knoll A.";2018;Conference paper;Elsevier B.V.
Generating customized low-code development platforms for digital twins;A digital twin improves our use of a cyber–physical system and understanding of its emerging behavior. To this effect, a digital twin is to be developed and configured and potentially also operated by domain experts, who rarely have a professional software engineering background and for whom easy access and support, e.g., in form of low-code platforms are missing. In this paper, we report on an integrated method for the model-driven engineering of low-code development platforms for digital twins that enables domain experts to create and operate digital twins for cyber–physical systems using the most appropriate modeling languages. The foundation of this method is (1) a code generation infrastructure for information systems combined with (2) an extensible base architecture for self-adaptive digital twins and (3) reusable language components for their configuration. Using this method, software engineers first configure the information system with the required modeling languages to generate the low-code development platform for digital twins before domain experts leverage the generated platform to create digital twins. This two-step method facilitates creating tailored low-code development platforms as well as creating and operating customized digital twins for a variety of applications. © 2022 Elsevier Ltd;Journal of Computer Languages;"Dalibor M.; Heithoff M.; Michael J.; Netz L.; Pfeiffer J.; Rumpe B.; Varga S.; Wortmann A.";2022;Article;Elsevier Ltd
A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin;With the growing percentage of the intermittent renewable power generation, the energy system is under increasing pressure in balancing the supply and the demand. As a major part of urban energy consumptions, buildings can provide considerable regulation flexibility for the energy system by actively managing their energy demands. For the building energy flexibility (BEF) provided by thermostatically controlled loads (TCL), its dispatch performance is vulnerable to the building thermal parameter errors, and in some cases, occupants need to provide the critical information related to the indoor temperature state and the occupancy state to the energy management system outside buildings, which decreases the availability of the BEF and raises privacy concerns. For these issues in the BEF utilization, this paper proposes a data-model fusion dispatch strategy based on the digital twin (DT). The proposed strategy is capable of parameter fault tolerance and privacy protection by combining the model-free advantage of the data-driven method with the analytical optimization advantage of the model-driven method. Firstly, a DT-based BEF dispatch framework is proposed. Secondly, the building DT is established by combining the building thermal dynamics (BTD) data-driven model and the TCL operation mechanism model. And the building response deduction is carried out based on the DT. Finally, under the rolling optimization framework, the data-model fusion dispatch strategy is devised by uniting the DT deduction and the optimization constructed by the BTD mechanism model, in which the multi-dimensional modeling of the BTD is carried out from the state dimension and the energy dimension. The simulation results show that the optimization result can reach 98.4% of the ideal result under the scenario with 15% parameter random error, and 98.3% of the ideal result under the scenario with 15% random state noise injection. © 2022 Elsevier Ltd;Applied Energy;"Song Y.; Xia M.; Chen Q.; Chen F.";2023;Article;Elsevier Ltd
Meta-model-based shop-floor digital twin architecture, modeling and application;Digital twin is regarded as the virtual counterpart of physical entities, which can mirror the physical behavior and performance. Digital twin technology provides strong support for the achievement of cyber-physical system and intelligent manufacturing. Many investigations have been carried out for the digital twin of specific products. However, there are less researches on digital twin in the shop-floor domain, and there is a lack of model-driven digital twin comprehensive architecture. The modeling approach to the full lifecycle of digital twin is not considered enough. This paper proposes a meta-model-based shop-floor digital twin construction approach and a comprehensive architecture. A meta-model based on RAMI 4.0 is constructed, which provide a novel idea for the description of manufacturing resources and their status. The proposed shop-floor digital twin architecture consists of three key implementation elements: the meta-model construction, data modeling (including data interaction between cyber-physical spaces) and constructing different integration level models of shop-floor digital twin based on iteration feedback between the demands and models. The proposed approach is validated through a case study of the fischer learning factory 4.0. © 2023 Elsevier Ltd;Robotics and Computer-Integrated Manufacturing;"Yang X.; Liu X.; Zhang H.; Fu L.; Yu Y.";2023;Article;Elsevier Ltd
3D crowdsourced parametric cadastral mapping: Pathways integrating BIM/IFC, crowdsourced data and LADM;"This paper is part of a doctoral dissertation (PhD) research aligned with global trends aiming to develop practical technical tools for the collection, management and visualization of three-dimensional (3D) property rights in urban areas. Recently, the Building Information Models (BIMs) claim a prominent position in the field of 3D cadastres and the digital twins of the cities. In addition to all other building information, the BIM can also provide data about the exact boundaries of all kind of legal spaces (e.g., property ownership rights as well as land use restrictions), under the support of Industry Foundation Classes (IFCs). However, the utilization of BIMs for 3D cadastral surveys is still accompanied with two main drawbacks. The first refers to BIMs limited availability, as till now they mainly encounter in new large constructions. The second refers to the complexity in defining the exact geometric location of the legal boundaries regarding the exterior/interior partitions of the construction and of the common spaces. The latter parameter is formed on the basis of the current legal legislation in each country. Through in-depth investigation of the current legal framework of each country it may be possible to visualize the various 3D legal spaces within complex constructions and thus to facilitate the integration of existing BIMs in the development of 3D cadasters that will enable a better understanding and communication of all involved parties in the operation of cross-boundary real estate markets. In parallel, crowdsourcing has already been proved to be a powerful data collection method for the initial participatory implementation of fast, reliable and affordable 3D cadastral surveys, utilizing all capabilities provided by the latest low-cost devices, mobile services (m-services), open-source software (OSS) and the international standard of Land Administration Domain Model (LADM ISO 19152). If no precise 3D building models are already available, the currently available 2D architectural plans combined with the additional geometric and descriptive cadastral information may be utilized for a participatory crowdsourced cadastral survey of the 3D property units. In this paper a ‘two-route’ crowdsourced approach is described. This approach suggests both the use of existing BIMs – those available – to proceed with 3D crowdsourced cadastral surveys of those constructions, as well as the use of 2D georeferenced basemaps (e.g., orthophotos for the compilation of 2D crowdsourced cadastral surveys, and all existing architectural floor plans of the constructions) to proceed with 3D crowdsourced cadastral surveys of all other constructions. A database schema describing the linkage between LADM standard, BIM/IFC and 3D crowdsourced geometric and descriptive cadastral information is developed and presented. A hybrid mobile application enabling the manipulation of BIM/IFC descriptive data – if existing; the collection of 3D crowdsourced geometric and descriptive information by property owners/users/non-professionals; the registration of the cadastral data and their relationships within a LADM-based cadastral geodatabase; the automated generation of 3D property unit models as block models (LoD1), using Model-driven approach; and the objects visualization in real-time, are developed. An investigation regarding the legally correct representation of the location of property unit boundaries, focusing mainly in the Greek territory is conducted. A practical experiment for each one of the cases of the ‘two-route’ crowdsourced approach is implemented, for two multi-storey buildings in the city of Athens, Greece. The potentials of the proposed crowdsourced solution as well as the achieved geometric accuracy – in the absence of BIM – are discussed and assessed. The results show that integrating BIM data with cadastral information derived from crowdsourcing, may significantly contribute to the implementation of 3D Cadastres, providing also a better visual understanding of 3D property rights. Nonetheless, even in the absence of a BIM the achieved accuracy seems to satisfy the cadastral specifications of the Greek cadaster enhancing the potential of exploiting crowdsourced data in the initial phases of the cadastral formal procedures. © 2023";Land Use Policy;"Gkeli M.; Potsiou C.";2023;Article;Elsevier Ltd
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;The complexity of wind energy systems combined with an increased trend towards mass customization require the collaboration of many experts to achieve high quality products. Currently, a major issue arises from the lack of data integration among the different tools used during the engineering process which may cause system failures eventually. Existing tools largely do not support automatic detection and indication of erroneous or contradictory parameter values between artifacts of different tools. Employing a model-driven and functional engineering approach enables to establish an integrated toolchain for the management and visualization of engineering artifacts that consume and produce the data. Within this paper, we present an automatic approach to derive an engineering digital twin for the cooperative development and management of engineering artifacts from functional models of the system under development. We evaluate our approach on the example of a hydraulic pump within the cooling system of a wind turbine. The prototype can be coupled with an existing engineering tool ecosystem. The approach enables to exchange the data produced by engineering artifacts according to a functional system model which facilitates the cooperation between different stakeholders throughout the development process. © Gesellschaft für Informatik, Bonn 2022.;Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI);"Michael J.; Nachmann I.; Netz L.; Rumpe B.; Stüber S.";2022;Conference paper;Gesellschaft fur Informatik (GI)
