;Title;DT Definition;modeling language;model type;notation;MDE technique;direction;source;target;purpose;domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;TEchnological REadiness Level;notes;Reviewer;Reason;Notes;model processing technique;Spalte3;model usage technique;Modeling Tool;Notes.1;purpose of MDE application;purpose of DT;DT definition;Spalte1;Spalte4;Spalte2;notes3;purpose of MDE technique;Unnamed: 18
29;Towards Development Platforms for Digital Twins: A Model-Driven Low-Code Approach;"Digital Twins are software systems comprising data, models, and services to
interact with a CPPS for a specific purpose";"CDs; data models; OCL";structure;;Model to Model Transformation;unidirectional;DT Models: CDs;digital twin code;"facilitates researchers and practitioners in manufacturing in creating LCDPs
integrated with Digital Twins and domain-specific modeling languages for the
particular production challenges at hand";J  Information and Communication;Design;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
30;Applying a Healthcare Web of Things Framework for Infertility Treatments;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
31;Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;"DTs are often described as a digital duplicate of a physical entity [9], enabling its management and control [8] or
supporting design and production decisions, and thus speeding up the development process. ";MontiArc, MontiGem, CD, OCL, tagging, GUI-DSL models;structure;;code generation;;CD, OCL, tagging, GUI-DSL models;UI;". This facilitates
creating, deploying, and monitoring interactive DTs that can provide real-time
information about machine states and the operating context, feature role-specific
views with aggregated data and adapt to changes in the underlying models";J  Information and Communication;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;"This facilitates
creating, deploying, and monitoring interactive DTs that can provide real-time
information about machine states and the operating context, feature role-specific
views with aggregated data and adapt to changes in the underlying models. This
fosters their successful application in smart manufacturing to optimize processes
and making better use of production equipment.
";"we still need to evaluate our reference architecture
and the DSLs in a greater variety of contexts.";1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
32;Dynamic design method of digital twin process model driven by knowledge-evolution machining features;;;;;;;;;;;;;;;;;DT used for monitoring;Jingxi;;;;;;;;;;;;;;;;
33;The Research of Aero-engine Digital Twin Model Based on Model-driven and Data-driven Fusion Method;;;;;;;;;;;;;;;;;Math tranformations but nothing on model;Jingxi;;;;;;;;;;;;;;;;
34;Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;;AAS metamodel;structure;;code generation;;data structures, operations,contracts, de/serialization scripts, uni test scripts;GPL;SDK;J  Information and Communication;Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;further GPL, build parsers;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
35;Towards a Reference Architecture for Leveraging Model Repositories for Digital Twins;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
36;Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
37;Data- and model-driven digital twins for design and logistics control of product distribution;"The digital twin is
defined as an extended virtual model in time, space and
context of a physical asset (process, pallet, system) or nonphysical entity (control setting, schedule, assignment), that is
persistent even if its counterpart is not always connected /
online";;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
38;A software engineering point of view on digital twin architecture;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
39;Process Prediction with Digital Twins;;OCL;structure;;code generation;;CD, OCL, Tagging, Data models, GUI models, Process models;GPL;generative DT;J  Information and Communication;Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;"overcome the challenges
of bi-directional synchronization between digital twins and
their actual systems";;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
40;AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;;CAEX, AML, AML-MM, DT-MM;structure;;Model to Model Transformation;;AML;DT;;J  Information and Communication;Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
41;AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;;ATL;structure;;model interpretation;;DT;AzureDT;;N  Administrative and Support Service Activities;Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
42;Twin Process Model Driven Machining Quality Optimization for Complex Parts;"Digital twin is an efficient method to realize simulation,
monitoring and control of multi scale and physical quantity.";;structure;;model interpretation;;Twin Process Model;NC Code;Optimize;F  Construction;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;could supply abilities including self-updating, selfevolution for intelligent manufacturing cell;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
43;Multisource Model-Driven Digital Twin System of Robotic Assembly;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
44;Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;OWL;structure;;Model to Model Transformation;;OWL;OML;;C  Manufacturing;Design;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
45;Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;OML;structure;;Model to Model Transformation;;OML;UML;;C  Manufacturing;Design;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
46;Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;UML;structure;;model interpretation;;UML;AAS;;C  Manufacturing;Design;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
47;Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;AAS;structure;;model interpretation;;AAS;OWL Ontology;;C  Manufacturing;Design;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
48;A Lightweight Model-driven MES Simulation Framework Based On Probabilistic Finite Automata;;XML;structure;;;;XML as PFA;?;;J  Information and Communication;Design;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;models unknown, purpose unclear;Jingxi;;;;;;;;;;;;;;;;
49;Digital Twin of an Electrical Motor Based on Empirical Performance Model;"The concept of Digital Twin (DT) is creating and
maintaining a digital representation of the real physical entity
and supporting its performance through simulation and
optimization tools, which are fed with real and updated data";Unity 3D, ROS, ;behavior;;model interpretation;;physical measurements;DT Model Update;"provide a brand-new approach
for measurement and estimation of the performance of
motor-drive systems. ";H  Transportation and Storage;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
50;Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
51;Research on Modeling Method of System Reliability Digital Twin;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
52;Improved Electric Vehicle Digital Twin Performance Incorporating Detailed Lithium-ion Battery Model;;;;;;;;;;;;;;;;;WTF...;Jingxi;;;;;;;;;;;;;;;;
53;Workshop Management and Control System Based on Digital Twin;;;;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
54;Using UML and OCL Models to Realize High-Level Digital Twins;"A Digital Twin (DT) is a comprehensive digital representation of an actual system, service or product (the Physical Twin,
PT), synchronized at a specified frequency and fidelity [19].
The digital twin includes the properties, condition and behavior of the physical entity through models and data, and
is continuously updated with real-time system data about the
PT performance, maintenance, and health status throughout its
entire lifetime [4], [6], [20]. The exchange of data between
the digital and the physical twins takes place through bidirectional data connections. This is why many authors have
argued that a DT system contains three dimensions: physical,
digital, and the connections between them [1].";UML/OCL;structure;;model interpretation;;USE;DL;;H  Transportation and Storage;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
55;Using UML and OCL Models to Realize High-Level Digital Twins;;SOIL;behavior;;;;;;;;;;;;;;;Jingxi;;;;;;;;;;;;;;;;
56;Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;;;;;;;;;;;;;;;;;"Extension of ""Digital Twin of an Electrical Motor Based on Empirical Performance Model"", this time no models mentioned, focus on ROS and MQTT connection";Jingxi;;;;;;;;;;;;;;;;
57;A Model-Driven Approach for Situational Intelligence & Operational Awareness;;;;;;;;;;;;;;;;;transformation of electrical something to WHAT? might be something secret;Jingxi;;;;;;;;;;;;;;;;
58;Knowledge driven rapid development of white box digital twins for industrial plant systems;;"Control Natural Language (CNL); Meta-Model; M&CML; FSM";structure;;Model to Model Transformation;;Semantic Application Design Language(SADL) as frontend for OWL;control systems model then finiteState Mmachine model-based DT;;D  Electricity, Gas, Steam and Air Conditioning Supply;Operate;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jingxi;;;;;;;;;;;;;;;;
0;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;class diagram;structure;;;;tagging model, Class Diagram, MontiArc Model;extended MontiArc Model;;I  Accommodation and Food Service Activities;Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;;;Daniel;;;Model to Model Transformation;;;;;extend CPS and DTIS by the necessary communication and synchronization infrastructure;;DTs are digital representations of cyber-physical assets or processes that enable advanced control, decision making, and optimization. They are used in a variety of domains, including avionics, automotive, and smart manufacturing;UTOMATIC FIRE EXTINGUISHING SYSTEM;;;;;
1;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;montiarc;;;;;MontiArc model;GPL code for CPS;;;;;;;;;;Daniel;;;code generation;;;;;generate CPS code;;;;;;;;
2;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;tagging model;NOTE-DL: hier brauchen wir noch eine klare Abtrennung;;;;class diagram;digital twin information system;;;;;;;;;;Daniel;;;code generation;;;;;generate DT;;;;;;;;
3;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;GUI DSL;structure;;;;;;;;;;;;;;;Daniel;;;;;;;;;;;;;;;;
4;Measuring the Fidelity of Digital Twin Systems;;;;;;;;;;;;;;;;;;Daniel;Challenge/Position Paper;;;;;;;;;;;;;;;
5;Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;only the data generated by the simulation (which uses a model) is further used by the RL algorithm;model interpretation;;;;cf. Figure 6;;;;;;;;;
6;Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;;snapshot model;;;;;snapshot model;trace alignment algorithm;;;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;;;Daniel;;;model interpretation;;;;;perform trace alignment on snapshots of DT and PT;;A Digital Twin (DT) is a digital representation of an actual system, service or product (the Physical Twin (PT)), synchronized at a specified frequency and fidelity;lego mindstorms car;;;;;
7;Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;different behavioral models are described for a particular use case, but no MDE technique is applied on these models;;;;;;;;;;;;;;
8;A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;;n.d,;;;;;DT model;UI-based monitoring tools;;H  Transportation and Storage;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;;;Daniel;;;model interpretation;;;;;visualize DT model (data from the running system) for human decision making;;"A Digital Twin (DT) is a virtual representation of a physical
product, asset, process, system, or service that allows us to understand, predict, and optimise their performance for better business
outcomes";ground station of a spacecraft;;;;;
9;Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;;MontiThings;;;;;MontiThings model;IoT controller code in C++;;;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;;;Daniel;;;code generation;;;;;generate code that runs on an IoT system;;Digital twins (DTs) are digital representations of cyber-physical systems. They monitor systems to offer services to analyze, control, and optimize the system. Alas, there is no commonly agreed on definition of DTs;smart lawn watering system;;;The DT collects data from the generated IoT code, reproduces the data traces, adapts the input models accordingly, and re-generates the new software based on the adapted models;;
10;CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;;CPSAML (paper contribution);;textual;;;CPSAML;SysML (partial model);;I  Accommodation and Food Service Activities;Design;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;basis for code generation, allows different levels of abstractions for different users (system architect/system engineer, VS software developer that works on the generated code);;"4-5: das Ding läuft ""im Labor""";;Daniel;;;code generation;;;;used xtend script, but actually, it's model to model;transform System Architect vision (CPSAML) into starting point for System Engineer (partial SysML model);"aggregates data from CPS into a ""single system snapchot""";middleware between CPS and a monitoring cockpit;Roomba floor cleaning robot;;;github repository: https://github.com/me-big-tuwien-ac-at/cpsaml;;
11;CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;;SysML v2;;textual;;;SysML (complete model);CPS software code (ROS Packages, DT, Monitoring Cockpit);;;Implement;;As-Designed;;;;;Daniel;;;code generation;;;;;generate software infrastructure from sysml models (structural and behavioral);;;;;;;;
12;On the Engineering of IoT-Intensive Digital Twin Software Systems;;n.d.;structure;;;;structural model of the PT;Model Synchronizer + Model Manager component;;;;;;;;;;Daniel;;No Implementation, only high-level proposal;model interpretation;;;;;;;;;;;very high-level concept, no application to a particular example/domain, no example models given;;
13;On the Engineering of IoT-Intensive Digital Twin Software Systems;;n.d.;behavior;;;;behavioral model of the PT;Model Synchronizer + Model Manager component;;;Design;;As-Designed;;;;;Daniel;;No Implementation, only high-level proposal;model interpretation;;;;;;;;;;;very high-level concept, no application to a particular example/domain, no example models given;;
14;A Flexible and Modular Architecture for Edge Digital Twin: Implementation and Evaluation;;;;;;;;;;;;;;;;;;Daniel;No Model used;;;;;;;;;;;;;;;
15;Semantic digital twins for organizational development;;;;;;;;;;;;;;;;;;Daniel;No implementation (e.g. Challenge/Position Paper);;;;;;;;;;;;;;;
16;"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]";;;;;;;;;;;;;;;;;;Daniel;;;;;;;;;;;;;;;;
