Title;DT Definition;virtual space;Kritzinger;DT is specific;modeling language original;note on modeling language;model type original;modeling language;language fidelity category;language content category;language content category consolidated;model type;model processing technique;model usage technique;source;source category;source sub-category 1;source model target category;target;target category;target sub-category;target model target category;purpose of MDE application;purpose of DT;DTPurposeCategory;use case domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;Technological Readiness Level;notes;Use Case
Digital Twin of an Electrical Motor Based on Empirical Performance Model;"""The concept of Digital Twin (DT) is creating and maintaining a digital representation of the real physical entity and supporting its performance through simulation and optimization tools, which are fed with real and updated data""; ""A perfect DT will be identical to the real physical entity in terms of appearance and behavior with the extra advantage of making future predictions.""";Comprehensive;DS;;Unity 3D simulation model;describing detailed physics of twinned asset;behavior, physics;Unity 3D simulation model;;;;3D;Model Interpretation;;Unity Model;structural model;data model;;Simulation Controller;backend code;;;;3D simulation model that is updated with live data from the twinned asset;"Simulation; Reasoning";Transportation and Storage;Operate;Individual Systems;As-Designed;;;TRL 1-3;;
Digital Twin of an Electrical Motor Based on Empirical Performance Model;;;;;;;structure;;3d;behavior;logical or physical;;Model Interpretation;;Unity Model;structural model;data model;;ROS Bridge;backend code;;;;;;;Operate;;As-Designed;;;;;
Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;"""the digital twin, that is, real-time data synchronization and feedback control of the entity""";;DT;;Petri Net;;behavior;Petri Net;logical;ontology;logical or physical;Behavior;Model Interpretation;;Petrinet;behavior model;state-based;;real time simulation of state;simulation code;;;;online syncronization of physical and digital system;Synchronization;Manufacturing;Operate;Processes;As-Operated;single source of truth for simulation;;TRL 1-3;;Suit tailoring
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;#NAME?;;;specific;OWL Ontology + OML Vocabulary;;rule;OWL Ontology + OML Vocabulary;;ontology;data, architecture, ontology, UI configuration;Ontology;Model to Model Transformation;;OML Vocabulary;structure + behavior;ontology model;;UML Profile;structural model;;;;""" the Asset Administration Shell (AAS), provides a syntactic interoperability interface for all assets involved in smart factories""";Interface;Manufacturing;Design;Systems of Systems;As-Designed;formal definition that allows reasoning on/interpretation of models, interoperability;;TRL 1-3;twinning target is systems-of-systems, including modeling of individual systems;robotic cell (niryo ned for gripping + turtlebot for transportation)
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;;;;;UML Profile;;;UML Profile;;architecture;data, architecture, ontology, UI configuration;Structure;;;;;;;;;;;;;;;;;;;;;;
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;;;;;AAS;;;AAS;;architecture;data, architecture, ontology, UI configuration;Structure;;;;;;;;;;;;;;;;;;;;;;
Ensuring consistency in scalable-detail models for DT-based control;;;;;;;ontology;Modelica;;ontology;data, architecture, ontology, UI configuration;ontology;Model Interpretation;;Modelica model;behavior model;formal;;Modelica Simulator;software;simulation code;;Simulation;validation against measured data, reconcilation of data and optimisation.;;Accommodation;Implement;Individual Systems;As-Designed;;;TRL 1-3;Future research shall continue the specification work, discuss how models not fitting the OOM approach natively can be integrated.;electric heater system
Ensuring consistency in scalable-detail models for DT-based control;;;;;;;behavior;Modelica;;behavior;structure & behavior;behavior;Model Interpretation;;Modelica model;behavior model;;;Modelica Simulator;software;simulation code;;Simulation;validation against measured data, reconcilation of data and optimisation.;;Accommodation;Implement;Individual Systems;As-Designed;;;TRL 1-3;Future research shall continue the specification work, discuss how models not fitting the OOM approach natively can be integrated.;electric heater system
Generating customized low-code development platforms for digital twins;"""A digital twin is a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system""";Comprehensive;DS;;DSL Component;;structure;DSL Component;;ontology;logical or physical;??;Code Generation;;DSL component + GUI models for editor and viewer + DT components;structural model;architecture model;software;Digital Twin Implementation: Low-code editor for DT configuration;backend code;;;"generation of low-code development platform;  generation of dt architecture; visualization; data modelling; adaptive behavior of DT; recognizing error states in CPS behavior; generating a communication protocol;";"realize self-adaptation loop for CPS; ""Leveraging DTs that monitor and control the system of interest can reduce configuration time, save energy, and prevent waste.""";Self-Adaptation;Manufacturing;Implement;Individual Systems;As-Operated;"Custom Low-code development for domain experts; configurability: easily configure 1 implementation for different CPSs; easily integrate different implementations (monti arc as definition of common interfaces); ""The models we use for configuration are more abstract than programming languages and allow domain experts to create powerful full digital twin applications nonetheless.""";"account for future variability; DT as part of an ecosystem";TRL 4-6;;injection molding machine
Generating customized low-code development platforms for digital twins;;;;;MontiArc;;structure;MontiArc;;architecture;data, architecture, ontology, UI configuration;Architecture;Code Generation;;MontiArc model;structural model;architecture model;software;Digital Twin Implementation: Java code, Software Architecture Components + Glue Code;backend code;;;;;;;Implement;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;GUI Language;;structure;GUI Language;;architecture;data, architecture, ontology, UI configuration;UI Configuration;Code Generation;;GUI Model;structural model;architecture model;software;Digital Twin Implementation: DT Cockpit;backend code;;;;;;;Implement;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;UML Classdiagram;;structure;UML Classdiagram;;behavior;logical or physical;Structure;Code Generation;;CD;behavior model;state-based;;Digital Twin Implementation: Java code (Backend);backend code;;;;;;;Implement;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;Case-based reasoning (CBR9);;rule;Case-based reasoning (CBR9);;behavior;logical or physical;Behavior;Model Interpretation;;CBR;behavior model;state-based;;Reasoner Component of DT Architecture;backend code;;;;;;;Operate;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;Event-Condition-Action (ECA) language;;rule;Event-Condition-Action (ECA) language;;architecture;data, architecture, ontology, UI configuration;Behavior;Model Interpretation;;ECA;structural model;data model;software;Evaluator Component of DT Archtiecture;backend code;;;;;;;Operate;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;Communication specification language;;behavior;Communication specification language;;ui configuraiton;data, architecture, ontology, UI configuration;;Code Generation;;Communication specification;structural model;ui configuraiton model;software;Java Code for communication between CPS and DT;visualization software;;;;;;;Implement;;As-Operated;;;;;
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;;;;UML Class Diagram;;structure;UML Class Diagram;;ui configuraiton;data, architecture, ontology, UI configuration;Structure;Model to Model Transformation;;UML Class Diagram;structural model;data model;software;UI Model;visualization software;;;"Derive UI from Cd; Data structure and DT cockpit backend and frontend api generation; UI generation";;;Electricity;Implement;Individual Systems;As-Designed;"reduce complexity in system design by bridging the gap between high-level requirements and high-detail implementations; ""Suitable models in the early phase are engineering models and models to describe behavior-to-be that can be simulated and analyzed""";;TRL 1-3;;cooling system of a wind turbine
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;;;;UI Model;;structure;UI Model;;;;UI Configuration;Code Generation;;UML Class Diagram;structural model;ui configuraiton model;;Part of DT UI Cockpit (Python + Typescript);visualization software;;;;;;;Implement;;As-Designed;;;;;
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;;;;;;structure;;;architecture;data, architecture, ontology, UI configuration;;Code Generation;;UI Model;structural model;data model;software;Part of DT UI Cockpit (Typescript);structural model;;;;;;;Implement;;As-Designed;;;;;
Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;" ""A digital twin allows us to reason about a physical and/or ideal assets in the virtual (i.e. cyber) space thus providing a necessary foundation for complex and large cyber-physical systems.""";Model of PT;;;AAS model;;structure;AAS model;;architecture;data, architecture, ontology, UI configuration;Structure;Code Generation;;AAS model;structural model;data model;software;GPL (shown for C#/Java) Stubs + Contracts;backend code;;;;reasoning in the virtual space;Reasoning;None;Implement;;As-Designed;;further GPLs, build parser for OWL ontologies;TRL 1-3;no demonstration or evaluation provided, only description of the prototypical implementation of the proposed concept;
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;"""A Digital Twin is a digital 3D - CAD replica of a living or non-living physical entity, allowing to replicate the same behavior as that of the actual
component""";;;specific;SysML;Block Definition Diagram, Internal Block Diagram, Requirements Diagram and a State Machine Diagram;structure;SysML;;behavior;structure or behavior;3D;Model to Model Transformation;;SysML Modelle;behavior model;state-based;;Unity Model;behavior model;;;"3D Visualization of SYSML model; ""comprehend and understand the complexity of the models.""";;;Electricity;Design;Systems of Systems;As-Designed;;"However, more research and development are needed to improve the 3D representation of the SysML
model. In future work, the steps presented in the aforementioned
timeline will be implemented.";TRL 1-3;;
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;;;;;Unity 3D Model;;;Unity 3D Model;3d;data;logical or physical;3D;;;;;;;;;;;;;;;;;;;;;;
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;"""The concept of Digital Twin (DT) is creating and maintaining a digital representation of the real physical entity and supporting its performance through simulation and optimization tools, which are fed with real and updated data""; ""A perfect DT will be identical to the real physical entity in terms of appearance and behavior with the extra advantage of making future predictions.""";Comprehensive;DT;;Unity 3D simulation model; describing detailed physics of twinned asset;behavior, physics;Unity 3D simulation model;;;;3D;Code Generation;;Unity Model;behavior model;state-based;;Simulation Controller;backend code;;;;3D simulation model that is updated with live data from the twinned asset;Synchronization;Transportation and Storage;Operate;Individual Systems;As-Designed;;;TRL 1-3;;
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;;;;;; describing detailed physics of twinned asset;behavior, physics;;3d;behavior;logical or physical;;Code Generation;;Unity Model;behavior model;state-based;;ROS Bridge;backend code;;;;;;;Operate;;As-Designed;;;;;
Knowledge driven rapid development of white box digital twins for industrial plant systems;;;;;SADL ontology;;structure;SADL ontology;;ontology;logical or physical;Ontology;Model to Model Transformation;;SADL ontology;structure + behavior;ontology model;;M&CML control systems model;structural model;;;;enable a virtual sand-box environment simulating the behaviour of a plant to perform analyses and predictions.;"Simulation; Reasoning";Electricity;Implement;Individual Systems;As-Designed;;;TRL 1-3;;power plant
Knowledge driven rapid development of white box digital twins for industrial plant systems;;;;;Control Systems Model (M&CML);;behavior;Control Systems Model (M&CML);;architecture;structure or behavior;;Model to Model Transformation;;M&CML;structural model;data model;software;fininte state machine;behavior model;;;;;;;Implement;;As-Designed;;;;;
Knowledge driven rapid development of white box digital twins for industrial plant systems;;;;;finite state machines (FSM);represented in SCXML;;finite state machines (FSM);;behavior;structure or behavior;Behavior;;;;;;;;;;;;;;;;;;;;;;
Meta-model-based shop-floor digital twin architecture, modeling and application;"""DT is considered a new paradigm of modeling and simulationtechnology, extending the use of models to all stages of the product""; the Shop-floor Digital Twin (SDT), as the digital counterpart of physical entities including the humans, machines, material, methods and environments in the existing shop-floor, mirrors the physical shop-floor behavior and performance in the virtual space. The digital counterpart is comprised of a series of semantic digital models and simulation models of the physical shop-floor and has the automatic data synchronization between the physical and virtual space. By establishing the automatic data flow between the physical shop-floor and digital counterpart, the semantic digital models and simulation 
models could be converted to digital shadow and further evolved into SDT.";;;specific;SysML BDD;;;SysML;;behavior;structure or behavior;Structure;Model Interpretation;;raw data (conforming to data model);software;runtime data;;SysML BDD;structural model;;;;"Provide Self-Adapation/Optimization based on (i) data from PT, (ii) operations offered by the PT; ""DT has a strong vitality in the whole product lifecycle and could provide strong support for the digital and intelligent transformation of manufacturing industry in the aspects of virtual model construction and cyber-physical information fusion.""";Self-Adaptation;Manufacturing;Operate;Systems of Systems;As-Operated;;;TRL 4-6;;shopfloor
Meta-model-based shop-floor digital twin architecture, modeling and application;;;;;Data Model;contribution of the paper;;Data Model;;data;data, architecture, ontology, UI configuration;Structure;;;;;;;;;formal;PT;;;;;;;;;;;;
Model-Driven Development of a Digital Twin for Injection Molding;"""A digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system.""";Comprehensive;DS;;MontiArc;;structure;MontiArc;;architecture;data, architecture, ontology, UI configuration;Architecture;Code Generation;;MontiArc;structural model;architecture model;software;Java;backend code;state-based;;"DT software architecture; domain description; specifying the behavior of the DT based on Event, condition action; Setting up an experiment for optimization; communication;";realizes self-adaptation loop based on MAPE (cf. Figure 2);Self-Adaptation;Manufacturing;Implement;Individual Systems;As-Designed;"domain experts can easily optimize their injection modling machine with domain expressions; optimization of injection molding process through repeated execution of DOE; describing the DT?s situations (events) and reactions.";;TRL 1-3;;
Model-Driven Development of a Digital Twin for Injection Molding;;;;;UML Class Diagram;;structure;UML Class Diagram;;architecture;data, architecture, ontology, UI configuration;Structure;Code Generation;;Classdiagrams;structural model;data model;software;Java;backend code;;;;;;;Operate;;As-Designed;;;;;
