Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
C;"Braunisch, N; Ristin-Kaufmann, M; Lehmann, R; Van de Venn, HW";;;IEEE;"Braunisch, Nico; Ristin-Kaufmann, Marko; Lehmann, Robert; van de Venn, Hans Wernher";;;Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;2021 26TH IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA);IEEE International Conference on Emerging Technologies and Factory Automation-ETFA;;;;26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA);SEP 07-10, 2021;ELECTR NETWORK;Inst Elect & Elect Engineers,Malardalen Univ,IEEE Ind Elect Soc;;;;;;;;;;;;;;;;;;;;;;;1946-0740;1946-0759;978-1-7281-2989-1;;;;2021;;;;;;;;;;10.1109/ETFA45728.2021.9613164;http://dx.doi.org/10.1109/ETFA45728.2021.9613164;;;;;;;;;;;;;WOS:000766992600008;View Full Record in Web of Science
J;"Dalibor, M; Heithoff, M; Michael, J; Netz, L; Pfeiffer, J; Rumpe, B; Varga, S; Wortmann, A";;;;"Dalibor, Manuela; Heithoff, Malte; Michael, Judith; Netz, Lukas; Pfeiffer, Jerome; Rumpe, Bernhard; Varga, Simon; Wortmann, Andreas";;;Generating customized low-code development platforms for digital twins;JOURNAL OF COMPUTER LANGUAGES;;;;;;;;;;;;;;;;;"Michael, Judith/S-2844-2016; Michael, Judith/AAE-2646-2022";"Michael, Judith/0000-0002-4999-2544; Michael, Judith/0000-0002-4999-2544";;;;;;;;;;;;;2590-1184;2665-9182;;;;JUN;2022;70;;;;;;;;101117;10.1016/j.cola.2022.101117;http://dx.doi.org/10.1016/j.cola.2022.101117;;MAY 2022;;;;;;;;;;;WOS:000799842100001;View Full Record in Web of Science
J;"Vierhauser, M; Garmendia, A; Stadler, M; Wimmer, M; Cleland-Huang, J";;;;"Vierhauser, Michael; Garmendia, Antonio; Stadler, Marco; Wimmer, Manuel; Cleland-Huang, Jane";;;GRuM-A flexible model-driven runtime monitoring framework and its application to automated aerial and ground vehicles;JOURNAL OF SYSTEMS AND SOFTWARE;;;;;;;;;;;;;;;;;Stadler, Marco/IWE-4129-2023;Stadler, Marco/0000-0001-8790-6048;;;;;;;;;;;;;0164-1212;1873-1228;;;;SEP;2023;203;;;;;;;;111733;10.1016/j.jss.2023.111733;http://dx.doi.org/10.1016/j.jss.2023.111733;;MAY 2023;;;;;;;;;;;WOS:001002182500001;View Full Record in Web of Science
J;"Tzachor, A; Sabri, S; Richards, CE; Rajabifard, A; Acuto, M";;;;"Tzachor, Asaf; Sabri, Soheil; Richards, Catherine E.; Rajabifard, Abbas; Acuto, Michele";;;Potential and limitations of digital twins to achieve the Sustainable Development Goals;NATURE SUSTAINABILITY;;;;;;;;;;;;;;;;;"Sabri, Soheil/A-1702-2013; Sabri, Soheil/C-6103-2017";"Richards, Catherine/0000-0002-0084-0734; Sabri, Soheil/0000-0002-2167-2717; Acuto, Michele/0000-0003-4320-0531";;;;;;;;;;;;;2398-9629;;;;;OCT;2022;5;10;;;;;822;829;;10.1038/s41893-022-00923-7;http://dx.doi.org/10.1038/s41893-022-00923-7;;JUL 2022;;;;;;;;;;;WOS:000826853100001;View Full Record in Web of Science
J;"Visconti, E; Tsigkanos, C; Hu, ZJ; Ghezzi, C";;;;"Visconti, Ennio; Tsigkanos, Christos; Hu, Zhenjiang; Ghezzi, Carlo";;;Model-driven engineering city spaces via bidirectional model transformations;SOFTWARE AND SYSTEMS MODELING;;;;;;;;;;;;;;;;;;"Visconti, Ennio/0000-0002-1146-4850; Tsigkanos, Christos/0000-0002-9493-3404";;;;;;;;;;;;;1619-1366;1619-1374;;;;DEC;2021;20;6;;;;;2003;2022;;10.1007/s10270-020-00851-0;http://dx.doi.org/10.1007/s10270-020-00851-0;;FEB 2021;;;;;;34924920;;;;;WOS:000618190500001;View Full Record in Web of Science
C;Haverkort, BR;;"Abate, A; Marin, A";;Haverkort, Boudewijn R.;;;Performance Evaluation: Model-Driven or Problem-Driven?;QUANTITATIVE EVALUATION OF SYSTEMS (QEST 2021);Lecture Notes in Computer Science;;;;18th International Conference on Quantitative Evaluation Systems (QEST);AUG 23-27, 2021;ELECTR NETWORK;;;;;;;;;;;Haverkort, Boudewijn/0000-0002-0654-0740;;;;;;;;;;;;;0302-9743;1611-3349;"978-3-030-85172-9; 978-3-030-85171-2";;;;2021;12846;;;;;;3;11;;10.1007/978-3-030-85172-9_1;http://dx.doi.org/10.1007/978-3-030-85172-9_1;;;;;;;;;;;;;WOS:000696682500001;View Full Record in Web of Science
J;"Yang, XL; Liu, XM; Zhang, H; Fu, L; Yu, YB";;;;"Yang, Xiaolang; Liu, Xuemei; Zhang, Heng; Fu, Ling; Yu, Yanbin";;;Meta-model-based shop-floor digital twin architecture, modeling and application;ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0736-5845;1879-2537;;;;DEC;2023;84;;;;;;;;102595;10.1016/j.rcim.2023.102595;http://dx.doi.org/10.1016/j.rcim.2023.102595;;MAY 2023;;;;;;;;;;;WOS:001010343200001;View Full Record in Web of Science
J;"Liu, JF; Zhao, P; Jing, XW; Cao, XW; Sheng, SS; Zhou, HG; Liu, XJ; Feng, F";;;;"Liu, Jinfeng; Zhao, Peng; Jing, Xuwen; Cao, Xuwu; Sheng, Sushan; Zhou, Honggen; Liu, Xiaojun; Feng, Feng";;;Dynamic design method of digital twin process model driven by knowledge-evolution machining features;INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH;;;;;;;;;;;;;;;;;"Lu, Xiaomei/IUQ-2139-2023; liu, qi/IQR-4870-2023; liu, xiao/HMD-7454-2023; Liu, Jing/IQX-0664-2023; liu, xiao/HKE-9880-2023; LIU, YU/HTR-1607-2023; Liu, Ying/ISU-1216-2023; yang, liu/HTN-9175-2023; zhang, yuyang/IVV-5089-2023";Liu, Jinfeng/0000-0003-1900-571X;;;;;;;;;;;;;0020-7543;1366-588X;;;;APR 3;2022;60;7;;;;;2312;2330;;10.1080/00207543.2021.1887531;http://dx.doi.org/10.1080/00207543.2021.1887531;;FEB 2021;;;;;;;;;;;WOS:000620056300001;View Full Record in Web of Science
C;"Gotz, S; Bucchiarone, A; Bencomo, N";;;IEEE COMP SOC;"Goetz, Sebastian; Bucchiarone, Antonio; Bencomo, Nelly";;;Preface of the 15th International Workshop on Models@run.time'21;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);;;;;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,ACM SIGSOFT,IEEE Comp Soc,IEEE Tech Council Software Engn;;;;;;;;;"Bencomo, Nelly/GZL-1379-2022; Bucchiarone, Antonio/K-3128-2016";Bucchiarone, Antonio/0000-0003-1154-1382;;;;;;;;;;;;;;;978-1-6654-2484-4;;;;2021;;;;;;;183;183;;10.1109/MODELS-C53483.2021.00031;http://dx.doi.org/10.1109/MODELS-C53483.2021.00031;;;;;;;;;;;;;WOS:000749362300025;View Full Record in Web of Science
J;"Zhou, G; Zhou, K; Zhang, J; Yuan, M; Wang, XH; Feng, PF; Zhang, M; Feng, F";;;;"Zhou, Guo; Zhou, Kai; Zhang, Jing; Yuan, Meng; Wang, Xiaohao; Feng, Pingfa; Zhang, Min; Feng, Feng";;;Digital modeling-driven chatter suppression for thin-walled part manufacturing;JOURNAL OF INTELLIGENT MANUFACTURING;;;;;;;;;;;;;;;;;Feng, Feng/P-3640-2014;Feng, Feng/0000-0002-3960-7761;;;;;;;;;;;;;0956-5515;1572-8145;;;;2022 NOV 9;2022;;;;;;;;;;10.1007/s10845-022-02045-5;http://dx.doi.org/10.1007/s10845-022-02045-5;;NOV 2022;;;;;;;;;;;WOS:000880508300002;View Full Record in Web of Science
C;"Ma, X; Tao, F; Zhang, M; Wang, T; Zuo, Y";;"Huang, GQ; Qu, T; Thurer, M; Xu, S; Khalgui, M";;"Ma, Xin; Tao, Fei; Zhang, Meng; Wang, Tian; Zuo, Ying";;;Digital twin enhanced human-machine interaction in product lifecycle;11TH CIRP CONFERENCE ON INDUSTRIAL PRODUCT-SERVICE SYSTEMS;Procedia CIRP;;;;11th CIRP Conference on Industrial Product-Service Systems;MAY 29-31, 2019;PEOPLES R CHINA;Int Acad Prod Engn;;;;;;;;;"Tao, Fei/F-8944-2012; Ma, Xin/AAC-8751-2021; Zuo, Ying/Q-8298-2017";"Tao, Fei/0000-0002-9020-0633; Zuo, Ying/0000-0002-9067-3932";;;;;;;;;;;;;2212-8271;;;;;;2019;83;;;;;;789;793;;10.1016/j.procir.2019.04.330;http://dx.doi.org/10.1016/j.procir.2019.04.330;;;;;;;;;;;;;WOS:000568146700137;View Full Record in Web of Science
C;"Lehner, D; Wolny, S; Mazak-Huemer, A; Wimmer, M";;;IEEE;"Lehner, Daniel; Wolny, Sabine; Mazak-Huemer, Alexandra; Wimmer, Manuel";;;Towards a Reference Architecture for Leveraging Model Repositories for Digital Twins;2020 25TH IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA);IEEE International Conference on Emerging Technologies and Factory Automation-ETFA;;;;25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA);SEP 08-11, 2020;Vienna, AUSTRIA;Inst Elect & Elect Engineers,IEEE Ind Elect Soc,TU Wien, Inst Comp Technol;;;;;;;;;;Sint, Sabine/0000-0001-8076-8228;;;;;;;;;;;;;1946-0740;1946-0759;978-1-7281-8956-7;;;;2020;;;;;;;1077;1080;;;;;;;;;;;;;;;;WOS:000627406500146;View Full Record in Web of Science
J;"Zhang, HM; Ren, DS; Ming, H; Zhang, WF; Cao, GP; Liu, JH; Wang, L; Song, JL; Qiu, JY; Wang, JL; He, XM; Zhang, H";;;;"Zhang, Huimin; Ren, Dongsheng; Ming, Hai; Zhang, Wenfeng; Cao, Gaoping; Liu, Jianhong; Wang, Li; Song, Junliang; Qiu, Jingyi; Wang, Jingliang; He, Xiangming; Zhang, Hao";;;Digital Twin Enables Rational Design of Ultrahigh-Power Lithium-Ion Batteries;ADVANCED ENERGY MATERIALS;;;;;;;;;;;;;;;;;"Wang, lili/IXD-9828-2023; Lu, Jianhong/IYT-3322-2023; Zhang, Yanfei/IXW-5406-2023; zhang, shuai/IVU-7877-2023";Ren, Dongsheng/0000-0002-8764-9819;;;;;;;;;;;;;1614-6832;1614-6840;;;;2022 NOV 11;2022;;;;;;;;;;10.1002/aenm.202202660;http://dx.doi.org/10.1002/aenm.202202660;;NOV 2022;;;;;;;;;;;WOS:000881637100001;View Full Record in Web of Science
C;"Su, JY; Meng, F; Liu, SH; Huang, YM; Lu, ZH";;;IEEE;"Su, Jingyi; Meng, Fan; Liu, Shengheng; Huang, Yongming; Lu, Zhaohua";;;Learning to Predict and Optimize Imperfect MIMO System Performance: Framework and Application;2022 IEEE GLOBAL COMMUNICATIONS CONFERENCE (GLOBECOM 2022);IEEE Global Communications Conference;;;;IEEE Global Communications Conference (GLOBECOM);DEC 04-08, 2022;Rio de Janeiro, BRAZIL;IEEE;;;;;;;;;Liu, Shengheng/S-1986-2017;Liu, Shengheng/0000-0001-6579-9798;;;;;;;;;;;;;2334-0983;2576-6813;978-1-6654-3540-6;;;;2022;;;;;;;335;340;;10.1109/GLOBECOM48099.2022.10001369;http://dx.doi.org/10.1109/GLOBECOM48099.2022.10001369;;;;;;;;;;;;;WOS:000922633500056;View Full Record in Web of Science
J;"Schade, S; Ogilvie, LA; Kessler, T; Schutte, M; Wierling, C; Lange, BM; Lehrach, H; Yaspo, ML";;;;"Schade, Sophia; Ogilvie, Lesley A.; Kessler, Thomas; Schuette, Moritz; Wierling, Christoph; Lange, Bodo M.; Lehrach, Hans; Yaspo, Marie-Laure";;;A data- and model-driven approach for cancer treatment;ONKOLOGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0947-8965;1433-0415;;;;NOV;2019;25;;;2;SI;;132;137;;10.1007/s00761-019-0624-z;http://dx.doi.org/10.1007/s00761-019-0624-z;;;;;;;;;;;;;WOS:000496564700002;View Full Record in Web of Science
C;"Amar, B; Subhrojyoti, RC; Barnali, B; Dhakshinamoorthy, R; Seenivasan, A; Naveenkumar, S";;;IEEE;"Amar, B.; Subhrojyoti, R. C.; Barnali, B.; Dhakshinamoorthy, R.; Seenivasan, A.; Naveenkumar, S.";;;Knowledge driven rapid development of white box digital twins for industrial plant systems;IECON 2021 - 47TH ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY;IEEE Industrial Electronics Society;;;;47th Annual Conference of the IEEE-Industrial-Electronics-Society (IECON);OCT 13-16, 2021;ELECTR NETWORK;IEEE Ind Elect Soc;;;;;;;;;;Banerjee, Amar/0000-0002-1454-4215;;;;;;;;;;;;;1553-572X;;978-1-6654-3554-3;;;;2021;;;;;;;;;;10.1109/IECON48115.2021.9589912;http://dx.doi.org/10.1109/IECON48115.2021.9589912;;;;;;;;;;;;;WOS:000767230604152;View Full Record in Web of Science
