Title;Notes;Reason;DT Definition;modeling language;model type;notation;MDE technique;direction;source;target;purpose;domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;TEchnological REadiness Level
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;;;Digital Twin is a virtual re- production of a system based on simulations, real-time and historical data that allows representing, understanding, and predicting scenarios of the past, present, and future, with verified and validated models, and synchronized at a specified frequency and fidelity with the system ;SDL;behavior;graphical;Model to Model Transformation;bi;SDL model;Discrete Event System Specification (formal model for simulation engines);execute/simulate modeled behavior;;Design;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Operated;"low-code programming; enable industrial users to test and/or build their own Digital Twin models at a suitable abstraction level and with low entry barriers ; create an open-source and web-based tool that facilitates the implementation and validation of Digital Twin prototypes";;"4-5: das Ding l‰uft ""im Labor"""
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;;;DT appears as a virtual representation of the physical product, a digital shadow that contains all its information and knowledge [15]. The DT is connected to the physical part in some way, so as to allow data transfer from the physical to the cyber part.  ;AutomationML;structure;textual;model interpretation;;AutomationML models;;Syncronizing data from the physical system with the model;C ó Manufacturing;Operate;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;reusability of similar basic components;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;;;DT appears as a virtual representation of the physical product, a digital shadow that contains all its information and knowledge [15]. The DT is connected to the physical part in some way, so as to allow data transfer from the physical to the cyber part.  ;AutomationML;structure;textual;code generation;;AutomationML models;GPL;Python script translate DT and Physical Device models into REST communication interface;C ó Manufacturing;Design;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Operated;"reusability of similar basic components; utomated the deployment process";;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt
Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;;;the digital twin, that is, real-time data synchronization and feedback control of the entity;PetriNets;behavior;;model interpretation;;Petri net model;;online syncronization of physical and digital system;C ó Manufacturing;Operate;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Operated;single source of truth for simulation;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt
Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;Double Check required --> unsicher weil unpr‰zise in Paper;;;AutomationML;structure;;Model to Model Transformation;;AutomationML models and Requirements specification;best fitting automationML model including instantiation based on requirements;Find the best fitting machine for the job to be done;C ó Manufacturing;Plan;Individual Systems, such as automated cars (Atorf and Roﬂmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed; providing metadata for each of the machines;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt
Digital Twin Service Unit for AC Motor Stator Inter-Turn Short Circuit Fault Detection;;No MDE technique used;;;;;;;;;;;;;;;;
DataTime: a Framework to smoothly Integrate Past, Present and Future into Models;"""as future work, we plan to provide DSLs for the main contributions""";No MDE technique used;The Digital Twin of DATATIME represents the set of graph instances of the model, over the time.;;;;;;;;;;;;;;;
AAS Capability-Based Operation and Engineering of Flexible Production Lines;Die haben einfach AAS nachmodelliert;No MDE technique used;;;;;;;;;;;;;;;;
An AAS Modeling Tool for Capability-Based Engineering of Flexible Production Lines;Kopie von AAS Capability-Based Operation and Engineering of Flexible Production Lines;No MDE technique used;;;;;;;;;;;;;;;;
Learning to Predict and Optimize Imperfect MIMO System Performance: Framework and Application;;No MDE technique used;;;;;;;;;;;;;;;;
Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era;;Short Paper (Extended Abstract): <4 Seiten;;;;;;;;;;;;;;;;
Holistic Network Virtualization and Pervasive Network Intelligence for 6G;network architecture + AI models;No MDE technique used;;;;;;;;;;;;;;;;
A neural control of the parallel Gas Turbine with differential link;Math models + AI;No MDE technique used;;;;;;;;;;;;;;;;
The THREAT-ARREST Cyber Range Platform;;No Model used;;;;;;;;;;;;;;;;
