"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Analysis of digital twin application of urban rail power supply system for energy saving","Y. Wang; G. Zhang; R. Chen; Z. Liu; R. Qiu","School of electrical engineering, Beijing Jiaotong University, Beijing, China; School of electrical engineering, Beijing Jiaotong University, Beijing, China; Hohhot transportation investment and Construction Group Co., Ltd, Hohhot, China; School of electrical engineering, Beijing Jiaotong University, Beijing, China; School of electrical engineering, Beijing Jiaotong University, Beijing, China","2021 IEEE 1st International Conference on Digital Twins and Parallel Intelligence (DTPI)","22 Sep 2021","2021","","","29","32","Energy saving analysis and control of urban rail traction power supply system are usually based on the traditional model driven method. However, due to the shortcomings of ideal conditions, off-line modeling and single mechanism, the traditional model driven method greatly limits the accuracy and timeliness of the model, which is difficult to assist operation and can only be applied to the design stage. As the representative of modern intelligent high-precision modeling and simulation methods, Digital Twin (DT) integrates many advanced technologies, such as Internet of things, high-speed communication, big data analysis and intelligent algorithm, which can fundamentally solve the inherent defects of traditional models. In this paper, the demand of traction power supply system for DT technology was analyzed, and the application mode of DT in energy saving was explored comprehensively. According to the actual characteristics of urban rail transit system, a DT architecture was proposed, and the key technologies of multiphysics modeling and data-driven was analyzed. DT of traction power supply system of urban rail transit will improve the real-time and effectiveness of energy-saving comprehensive analysis and control.","","978-1-6654-3337-2","10.1109/DTPI52967.2021.9540127","Fundamental Research Funds for the Central Universities(grant numbers:2018JBZ004); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9540127","urban rail traction power supply system;digital twin;energy saving;multiphysics modeling;data-driven","Rails;Analytical models;Digital twin;Tools;Prediction algorithms;Traction power supplies;Data models","energy conservation;railway electrification;traction power supplies","urban rail traction power supply system;traditional model driven method;off-line modeling;urban rail transit system;energy-saving comprehensive analysis;modern intelligent high-precision modeling;digital twin integrates","","4","","14","IEEE","22 Sep 2021","","","IEEE","IEEE Conferences"
"Digital Twins for Sustainable Software Systems","M. Heithoff; A. Hellwig; J. Michael; B. Rumpe","Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany","2023 IEEE/ACM 7th International Workshop on Green And Sustainable Software (GREENS)","26 Jul 2023","2023","","","19","23","Sustainable software systems aim to create resource-efficient software products and reduce the carbon impact of applications. Current approaches for sustainability assessment of software are either only focused on their operation or rely on methods in their engineering. More holistic approaches for sustainable software system spanning are missing. Thus, we are interested in the engineering of sustainable software systems together with the monitoring of their sustainability goals over their whole lifetime. Within this paper, we suggest using digital twins to accompany software systems in all life cycle phases with a specific focus on using model-driven engineering methods for the creation of applications. We can generate accompanying digital twins which share relevant models and data with the actual system and provide services for the assessment of sustainability indicators. In the long run, this provides us with better assessment options for software systems.","","979-8-3503-1238-6","10.1109/GREENS59328.2023.00010","Deutsche Forschungsgemeinschaft (DFG, German Research Foundation) under Germany's Excellence Strategy - EXC 2023Internet of Production(grant numbers:390621612); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190835","Model-Driven Engineering;Digital Twins;Sustainable Software Systems","Conferences;Production;Maintenance engineering;Software systems;Data models;Model driven engineering;Digital twins","","","","","","40","IEEE","26 Jul 2023","","","IEEE","IEEE Conferences"
"Process Prediction with Digital Twins","T. Brockhoff; M. Heithoff; I. Koren; J. Michael; J. Pfeiffer; B. Rumpe; M. S. Uysal; W. M. P. Van Der Aalst; A. Wortmann","Process and Data Science, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Process and Data Science, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Process and Data Science, RWTH Aachen University, Aachen, Germany; Process and Data Science, RWTH Aachen University, Aachen, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, Germany","2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","20 Dec 2021","2021","","","182","187","Process discovery from event logs as well as process prediction using process models at runtime are increasingly important aspects to improve the operation of digital twins of complex systems. The integration of process mining functionalities with model-driven digital twin architectures raises the question which models are important for the model-driven engineering of digital twins at designtime and at runtime. Currently, research on process mining and model-driven digital twins is conducted in different research communities. Within this position paper, we motivate the need for the holistic combination of both research directions to facilitate harnessing the data and the models of the systems of the future at runtime. The presented position is based upon continuous discussions, workshops, and joint research between process mining experts and software engineering experts in the Internet of Production excellence cluster. We aim to motivate further joint research into the combination of process mining techniques with model-driven digital twins to efficiently combine data and models at runtime.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00032","Deutsche Forschungsgemeinschaft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643680","Process Mining;Digital Twins;Model-Driven Development;Models@run.time","Runtime;Digital twin;Conferences;Production;Computer architecture;Predictive models;Data models","augmented reality;business data processing;data mining;Internet;software engineering","process discovery;process prediction;process models;process mining functionalities;model-driven digital twin architectures;model-driven engineering;process mining experts;software engineering experts;Internet of Production;design time;runtime","","10","","33","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML","D. Lehner; S. Sint; M. Vierhauser; W. Narzt; M. Wimmer","Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria; Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria; Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria; Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria; Christian Doppler Labratory for Model-Integrated Smart Production (CDL-MINT), Institute for Business Informatics - Software Engineering, Johannes Kepler University Linz, Linz, Austria","2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA )","30 Nov 2021","2021","","","1","8","As technologies such as the Internet of Things (IoT) and Cyber-Physical Systems (CPS) are becoming ubiquitous, systems adopting these technologies are getting increasingly complex. Digital Twins (DTs) provide comprehensive views on such systems, the data they generate during runtime, as well as their usage and evolution over time. Setting up the required infrastructure to run a Digital Twin is still an ambitious task that involves significant upfront efforts from domain experts, although existing knowledge about the systems, such as engineering models, may be already available for reuse. To address this issue, we present AML4DT, a model-driven framework supporting the development and maintenance of Digital Twin infrastructures by employing AutomationML (AML) models. We automatically establish a connection between systems and their DTs based on dedicated DT models. These DT models are automatically derived from existing AutomationML models, which are produced in the engineering phases of a system. Additionally, to alleviate the maintenance of the DTs, AML4DT facilitates the synchronization of the AutomationML models with the DT infrastructure for several evolution cases. A case study shows the benefits of developing and maintaining DTs based on AutomationML models using the proposed AML4DT framework. For this particular study, the effort of performing the required tasks could be reduced by about 50%.","","978-1-7281-2989-1","10.1109/ETFA45728.2021.9613376","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613376","AutomationML;Digital Twin;Cloud;IoT;Model-Driven Engineering","Knowledge engineering;Runtime;Digital twin;Conferences;Maintenance engineering;Internet of Things;Synchronization","electronic data interchange;Internet of Things;knowledge representation;production engineering computing;software maintenance","model-driven framework;cyber-physical systems;ubiquitous systems;digital twin;engineering models;DT infrastructure;AML4DT framework;automationML models","","7","","31","IEEE","30 Nov 2021","","","IEEE","IEEE Conferences"
"Twin Process Model Driven Machining Quality Optimization for Complex Parts","J. Li; G. Zhou; C. Zhang","School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, China; School of Mechanical Engineering State Key Laboratory for Manufacturing Systems Engineering, Xi’an Jiaotong University, Xi’an, China; School of Mechanical Engineering State Key Laboratory for Manufacturing Systems Engineering, Xi’an Jiaotong University, Xi’an, China","2021 International Conference on Digital Society and Intelligent Systems (DSInS)","10 Jan 2022","2021","","","218","222","Machining process of complex parts is high-performance processing with equal emphasis on geometric accuracy and physical performance indicators, and its machining quality directly affects service performance. Process optimization based on digital twin is considered as an intelligent method to link machining process and process design, which is benefit to the scientific control of machining quality. This paper summarizes the evolution and development of process model and proposes twin process model, which could support the machining quality optimization of complex parts. What’s more, industrial application of twin process model is introduced through three steps, namely mapping relationship between machine operation data and instruction domain, simulation and monitoring of machining surface roughness, and optimization of machining parameter based on twin process model. Finally, the proposed twin process model could provide theoretical support for machining quality control.","","978-1-6654-0630-7","10.1109/DSInS54396.2021.9670612","National Natural Science Foundation of China; National Postdoctoral Program for Innovative Talents; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9670612","digital twin;process model;machining quality;optimization","Process control;Machining;Quality control;Data models;Surface roughness;Rough surfaces;Manufacturing","machine tools;machining;optimisation;process design;production engineering computing;quality control;surface roughness;twinning","process design;machine operation data;process optimization;machining quality optimization;twin process model;complex parts;geometric accuracy;digital twin;machining surface roughness;machining quality control","","","","8","IEEE","10 Jan 2022","","","IEEE","IEEE Conferences"
"Concept of a Modular and System Model Driven Digital Twin for Engineering Education","F. Wilking; M. Behringer; M. Fett; S. Goetz; E. Kirchner; S. Wartzack","Engineering Design, Friedrich-Alexander-Universität Erlangen - Nürnberg, Erlangen, Germany; Engineering Design, Friedrich-Alexander-Universität Erlangen - Nürnberg, Erlangen, Germany; Institute for Product Development and Machine Elements, Technical University Darmstadt, Darmstadt, Germany; Engineering Design, Friedrich-Alexander-Universität Erlangen - Nürnberg, Erlangen, Germany; Institute for Product Development and Machine Elements, Technical University Darmstadt, Darmstadt, Germany; Engineering Design, Friedrich-Alexander-Universität Erlangen - Nürnberg, Erlangen, Germany","2023 18th Annual System of Systems Engineering Conference (SoSe)","17 Jul 2023","2023","","","1","7","Driven by the opportunities for condition monitoring and new business models, Digital Twins have become a popular topic within research and industrial application over the last years. Therefore, universities must integrate the development of Digital Twins into their educational program to enable future engineers to overcome the challenges concomitant with Digital Twins. While a theoretical basis for Digital Twins is crucial e.g., hardware-software integration, Internet of Things (IoT) or simulation models, a practical combination of these heterogeneous components is also necessary to introduce the Digital Twin as a whole concept. With Model-Based Systems Engineering (MBSE) an approach was introduced to grasp complexity by using system models e.g., through SysML diagrams. Digital Twins are an example for advanced systems shaped by high complexity. The usage of system models is therefore likely. With this contribution, a concept is presented to combine system models and Digital Twins to create a prototype for academic education and the conduction of student projects.","2835-3161","979-8-3503-2723-6","10.1109/SoSE59841.2023.10178517","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10178517","Digital Twin;MBSE;Systems Engineering;System Model;SysML","Condition monitoring;Educational programs;Prototypes;Digital twins;Complexity theory;Internet of Things;Modeling","condition monitoring;digital twins;engineering education;Internet of Things;SysML;systems engineering","condition monitoring;digital twin;engineering education;Internet of Things;IoT;MBSE;model-based systems engineering;SysML diagrams;system models","","","","32","IEEE","17 Jul 2023","","","IEEE","IEEE Conferences"
"Integration Challenges for Digital Twin Systems-of-Systems","J. Michael; J. Pfeiffer; B. Rumpe; A. Wortmann","Software Engineering, RWTH Aachen University, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Germany; Software Engineering, RWTH Aachen University, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Germany","2022 IEEE/ACM 10th International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems (SESoS)","30 Jun 2022","2022","","","9","12","Research and industry leverage digital twins to monitor and control (cyber-physical) systems in various domains. For their efficient engineering, these twins need to become Systems-of-Systems (SoS), in which digital twins of smaller systems (e.g., a production machine) become parts of digital twins of larger systems (e.g., a factory). Yet, research on digital twins as SoS largely ignores reusing digital twins in SoS. Based on our experience in engineering digital twins with experts from various domains related to production systems engineering, we present insights on the challenges of composing and integrating that need to be addressed for efficient engineering of digital twins as SoS. These insights may guide future research on engineering digital twins as well as practitioners considering the challenges in building and composing digital twin systems-of-systems.","","978-1-4503-9334-8","","Deutsche Forschungsgemeinschaft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9808817","Digital Twins;Composition;Model-Driven Software Engineering;Systems-of-Systems.","Industries;Production systems;Ecosystems;Control systems;Software;Production facilities;Digital twins","cyber-physical systems;production engineering computing;software engineering;systems engineering","twin systems-of-systems;efficient engineering;SoS;smaller systems;engineering digital twins;production systems engineering;cyber-physical systems","","","","31","","30 Jun 2022","","","IEEE","IEEE Conferences"
"Models Meet Data: Challenges to Create Virtual Entities for Digital Twins","M. Van Den Brand; L. Cleophas; R. Gunasekaran; B. Haverkort; D. A. M. Negrin; H. M. Muctadir","Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands; Tilburg School of Humanities and Digital Sciences, Tilburg University, The Netherlands; Tilburg School of Humanities and Digital Sciences, Tilburg University, The Netherlands; Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Mathematics and Computer Science, Software Engineering & Technology cluster, Eindhoven University of Technology, Eindhoven, The Netherlands","2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","20 Dec 2021","2021","","","225","228","In recent years, digital twin (DT) technology has moved to the center of attention of many researchers and engineers. Commonly, a digital twin is defined based on a virtual entity (VE) that exhibits similar behavior to its physical counterpart, and that is coupled to this physical entity (PE). The VE thus forms a core part of any digital twin. While VEs may differ vastly—from ones based on simple simulation to high-fidelity virtual mirroring of the corresponding PE—they are typically composed of multiple models that may originate from multiple domains, address different aspects, and are expressed and processed using different tools and languages. Furthermore, the use of time series data—whether historical or real-time or both—from the PE distinguishes VEs from mere simulations. As a consequence of the modeling landscape complexity and the data aspect of VEs, the design of a digital twin and specifically of the VE as part of it represents several challenges. In this paper, we present our vision for the development, evolution, maintenance, and verification of such virtual entities for digital twins.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643761","digital twin;model consistency;model orchestration;dynamic consistency;model management;digital twin development roadmap","Digital twin;Time series analysis;Maintenance engineering;Real-time systems;Model driven engineering;Data models;Complexity theory","augmented reality;program verification;software maintenance;software tools;time series;virtual reality languages","digital twin;virtual entity;DT;VE;physical entity;PE;time series data;software evolution;software maintenance;software development;software verification","","3","","20","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Multisource Model-Driven Digital Twin System of Robotic Assembly","X. Li; B. He; Y. Zhou; G. Li","College of Electronics & Information Engineering, Tongji University, Shanghai, China; College of Electronics & Information Engineering, Tongji University, Shanghai, China; College of Electronics & Information Engineering, Tongji University, Shanghai, China; College of Electronics & Information Engineering, Tongji University, Shanghai, China","IEEE Systems Journal","9 Mar 2021","2021","15","1","114","123","The digital twin technology effectively fuels improvements in the quality and efficiency of robotic assembly, especially for sophisticated processes. High-quality digitalization requires a comprehensive description and real-time rendering of system, which are challenging. This article aims to demonstrate a novel multisource model-driven digital twin system, which is based on the geometric, physics, and sequential rule descriptions for producing a precise and real-time simulation of a robotic assembly system. In our system, the digital counterpart rendered with virtual reality technology is created and updated by the real environment information. A 3-D graphic model is reconstructed first using the geometric information of surroundings captured by the depth sensor. During interaction, a fast and efficient approach is proposed to generate the contact force and render the object deformation in the virtual environment. The virtual space also provides the sequential rule that is based on the danger field, which helps to constrain the operation of digital twin. At last, the experimental platform is established in which the virtual space is at an update rate of 100 Hz, while the automatic sorting task is performed and verified; the results show the effectiveness and applicability of the method to digital twin system.","1937-9234","","10.1109/JSYST.2019.2958874","National Key Research and Development Program of China Stem Cell and Translational Research(grant numbers:2018YFB1305300); National Science Fund for Distinguished Young Scholars(grant numbers:61825303); National Natural Science Foundation of China(grant numbers:61801330); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8949714","Digital twin (DT) system;precise and real-time simulation;sequential rule model;3-D object deformation;virtual reality rendering","Solid modeling;Three-dimensional displays;Robot sensing systems;Manipulators;Robot kinematics;Robotic assembly","production engineering computing;rendering (computer graphics);robotic assembly;virtual reality","digital twin technology;fuels improvements;sophisticated processes;high-quality digitalization;comprehensive description;real-time rendering;novel multisource model-driven digital twin system;sequential rule;robotic assembly system;digital counterpart;virtual reality technology;environment information;3-D graphic model;virtual environment;virtual space;frequency 100.0 Hz","","30","","35","IEEE","3 Jan 2020","","","IEEE","IEEE Journals"
"Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework","Y. Huang; S. Dhouib; L. P. Medinacelli; J. Malenfant","Université Paris-Saclay CEA, List, Palaiseau, France; Université Paris-Saclay CEA, List, Palaiseau, France; Université Paris-Saclay CEA, List, Palaiseau, France; Laboratoire d'Informatique de Paris 6 (LIP6) CNRS, Sorbonne Université, Paris, France","2023 IEEE 6th International Conference on Industrial Cyber-Physical Systems (ICPS)","24 May 2023","2023","","","1","8","Industry 4.0 currently prepares a major shift towards extreme flexibility into production lines management. Digital Twins are one of the key enabling technologies for Industry 4.0. However, the interoperability gap among digital representation of Industry 4.0 assets is still one of the obstacles to the development and adoption of digital twins. If the Asset Administration Shell (AAS), the standard proposed to represent the I4.0 components, caters for syntactic interoperability, a more semantic kind of interoperability is deeply needed to develop flexible and adaptable production lines. In our work, we overcome the limitation of current syntactic-only resource matching algorithms by implementing semantic interoperability based on ontologies i.e., by transforming AAS-based plant models into MaRCO (Manufacturing Resource Capability Ontology) instances and then query the expanded ontology to find the needed resources. This article presents this ontology-based approach as the first step towards the design and implementation of an automated I4.0 flexible plant supervision and control system based on model-driven engineering (MDE) within the “Papyrus for Manufacturing” toolset. We show how an MDE approach can aggregate around digital twin modeling tools from the Papyrus platform both I4.0 technologies and AI (Knowledge Representation and Reasoning) tools. Our platform aligns modeling and ontological elements to get the best of both worlds. This method has two main advantages: (1) to provide semantic descriptions for digital twin models, (2) to complement model-driven engineering tools with automated reasoning. This paper showcases this approach through a robotic cell use case.","2769-3899","979-8-3503-1125-9","10.1109/ICPS58381.2023.10128003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10128003","Digital Twins;Industry 4.0;Asset Administration Shell;Semantic Interoperability;Ontology;Model-Based Engineering","Adaptation models;Unified modeling language;Semantics;Production;Ontologies;Cognition;Digital twins","cyber-physical systems;digital twins;knowledge representation;ontologies (artificial intelligence);open systems;production engineering computing;software engineering","AAS modeling framework;AAS-based plant models;adaptable production lines;Asset Administration Shell;control system;current syntactic-only;digital representation;digital twin modeling tools;digital twin models;digital twins;expanded ontology;extreme flexibility;flexible production lines;interoperability gap;Manufacturing Resource Capability Ontology;MaRCO instances;model-driven engineering tools;ontological elements;ontologies i.e;ontology-based approach;Ontology-based Capability checking;platform aligns modeling;production lines management;semantic descriptions;semantic interoperability;syntactic interoperability","","","","24","IEEE","24 May 2023","","","IEEE","IEEE Conferences"
"A Lightweight Model-driven MES Simulation Framework Based On Probabilistic Finite Automata","K. Zhang; J. Tian; J. Han; Q. Yuan","Huangshan University HSU, Huangshan, China; Huangshan University HSU, Huangshan, China; Huangshan University HSU, Huangshan, China; Huangshan University HSU, Huangshan, China","2022 7th International Conference on Intelligent Computing and Signal Processing (ICSP)","24 May 2022","2022","","","1093","1096","In recent years, the concept of digital twin was introduced to the field of intelligent manufacturing. People use simulation technologies to complete the process of physical equipment in virtual space. As the manager of production process data, MES system is an important basis of digital twin in industrial production. Current MES systems are mostly developed for specific domains, often for large enterprises, with high coupling and poor scalability, which are difficult to be applied to smaller production enterprises with low informationization degree. In this paper, we propose a lightweight model-driven MES simulation framework that uses probabilistic finite automata to form a fast modeling for factory as well as to generate production data, and achieves a highly flexible production process simulation through config files; the framework could also be used to build a real MES system for small and medium-sized production enterprises.","","978-1-6654-7857-1","10.1109/ICSP54964.2022.9778640","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9778640","Intelligent manufacturing;digital twin;MES;probabilistic finite state machine;probabilistic finite automata;XML","Computational modeling;Scalability;Automata;Production;Signal processing;Probabilistic logic;Data models","finite automata;flexible manufacturing systems;production engineering computing;small-to-medium enterprises","small and medium-sized production enterprises;probabilistic finite automata;digital twin;intelligent manufacturing;simulation technologies;physical equipment;virtual space;production process data;MES system;industrial production;lightweight model-driven MES simulation framework;informationization degree;flexible production process simulation","","1","","7","IEEE","24 May 2022","","","IEEE","IEEE Conferences"
"Digital Twin of an Electrical Motor Based on Empirical Performance Model","A. Rassõlkin; V. Rjabtšikov; T. Vaimann; A. Kallaste; V. Kuts; A. Partyshev","Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Mechanical and Industrial Engineering, Tallinn University of Technology, Tallinn, Estonia; Department of Mechanical and Industrial Engineering, Tallinn University of Technology, Tallinn, Estonia","2020 XI International Conference on Electrical Power Drive Systems (ICEPDS)","12 Nov 2020","2020","","","1","4","The concept of Digital Twin is creating and maintaining a digital representation of the real physical entity and supporting its performance utilizing simulation and optimization tools, which are fed with real data. Development and implementation of Digital Twin technology is a hot topic in many industry-oriented research projects. However, more detailed studies are needed on design methods for Digital Twins, which allows full synchronization and connectivity between virtual and real environments. This paper presents a development case study of Digital Twin for an electric motor based on an empirical performance model. The paper discusses the way how the data required for the Digital Twin were obtained and present a detailed structural description of the virtual entity. Unity3D is used for physics simulations and visualization of the Digital Twin, because of simple accessible and meticulously detailed documentation highly useful for rapid prototyping in early stages.","","978-1-7281-6538-7","10.1109/ICEPDS47235.2020.9249366","Estonian Research Council(grant numbers:PSG453); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9249366","Motor drives;Model-driven development;Industry applications","Performance evaluation;Digital twin;Digital representation;Tools;Synchronization;Optimization;Electric motors","electric motors;physics computing;virtual reality","electrical motor;physics simulations;Unity3D;virtual entity;structural description;digital twin technology;optimization tools;digital representation;empirical performance model","","13","","12","IEEE","12 Nov 2020","","","IEEE","IEEE Conferences"
"Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process","M. D. Maio; G. -D. Kapos; N. Klusmann; L. Atorf; U. Dahmen; M. Schluse; J. Rossmann","projectglobe ltd, London, UK; projectglobe ltd, London, UK; projectglobe ltd, London, UK; Institute for Man-Machine Interaction RWTH Aachen University, Aachen, Germany; Institute for Man-Machine Interaction RWTH Aachen University, Aachen, Germany; Institute for Man-Machine Interaction RWTH Aachen University, Aachen, Germany; Institute for Man-Machine Interaction RWTH Aachen University, Aachen, Germany","2018 IEEE International Systems Engineering Symposium (ISSE)","29 Nov 2018","2018","","","1","8","A particular problem in the practical application of Model-Based Systems Engineering (MBSE) for the development of complex products is the effective integration of other engineering models. The Model-Driven Engineering Process (MDEP) addresses this by providing clearly defined insert points for domain models and simulation engines. In Closed-Loop Systems Engineering (CLOSE) Experimentable Digital Twins (EDTs) are integrated in the MDEP to realistically simulate how system functions would be executed by physical parts of the developed product. CLOSE thus can reduce the cycle times for analysis, design, development, optimisation, and some of the verification. This paper introduces the basic concept of CLOSE and illustrates its application with a case study.","","978-1-5386-4446-1","10.1109/SysEng.2018.8544392","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8544392","Systems Engineering;MBSE;Domain Model;Model-Driven Engineering;Experimentable Digital Twin;Virtual Testbed;3D Simulation;Multibody Simulation","Solid modeling;System analysis and design;Mathematical model;Tools;Product development;Prototypes","closed loop systems;systems engineering","CLOSE;effective integration;engineering models;domain models;simulation engines;Closed-Loop Systems Engineering;system functions;MBSE;EDT;model-based systems engineering;experimentable digital twins","","4","","42","IEEE","29 Nov 2018","","","IEEE","IEEE Conferences"
"Research on Modeling Method of System Reliability Digital Twin","H. Yang; Z. Lai; Y. Liu; N. Hu; B. Diao; Y. Pan",China Electronic Product Reliability and Environmental Testing Research Institute (CEPREI); China Electronic Product Reliability and Environmental Testing Research Institute (CEPREI); China Electronic Product Reliability and Environmental Testing Research Institute (CEPREI); China Electronic Product Reliability and Environmental Testing Research Institute (CEPREI); China Electronic Product Reliability and Environmental Testing Research Institute (CEPREI); China Electronic Product Reliability and Environmental Testing Research Institute (CEPREI),"2021 2nd International Conference on Electronics, Communications and Information Technology (CECIT)","1 Apr 2022","2021","","","1005","1013","In view of the problems existing in the current product development, such as poor coordination of system Reliability work, lack of effective model representation methods and supporting data, combined with the advantages of digital twin in model-driven and data-driven integration, and the requirements of Reliability integrated design, an system reliability digital twin model construction method is proposed, combines Reliability and functional characteristics elements. The concept of Reliability digital twin is defined, and the relationship between Reliability digital twin and MBSE-based Reliability is analyzed. Based on this, the construction process of product system Reliability digital twin model is given, the objects, basic models and data of relevant stages in the process are defined, and the construction idea and related basic models representation methods of system Reliability digital twin model are put forward. Finally, a case study of the power subsystem of a communication system is carried out, which lays an important foundation for the realization of forward design of product reliability based on digital twin.","","978-1-6654-3757-8","10.1109/CECIT53797.2021.00179","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9742014","Reliability digital twin;MBSE-based reliability;digital twin model;modeling method","Analytical models;Communication systems;Digital twin;Integrated design;Reliability engineering;Data models;Product development","product development;reliability theory;systems engineering","MBSE-based reliability;product system reliability digital twin model;model representation methods;model-driven integration;reliability integrated design;system reliability digital twin model construction method;data-driven integration;product development;communication system","","1","","21","IEEE","1 Apr 2022","","","IEEE","IEEE Conferences"
