;Document Title;Authors;Publication Title;Publication Year;Abstract;Publisher;Document Identifier
10;Analysis of digital twin application of urban rail power supply system for energy saving;"Y. Wang; G. Zhang; R. Chen; Z. Liu; R. Qiu";2021 IEEE 1st International Conference on Digital Twins and Parallel Intelligence (DTPI);2021.0;Energy saving analysis and control of urban rail traction power supply system are usually based on the traditional model driven method. However, due to the shortcomings of ideal conditions, off-line modeling and single mechanism, the traditional model driven method greatly limits the accuracy and timeliness of the model, which is difficult to assist operation and can only be applied to the design stage. As the representative of modern intelligent high-precision modeling and simulation methods, Digital Twin (DT) integrates many advanced technologies, such as Internet of things, high-speed communication, big data analysis and intelligent algorithm, which can fundamentally solve the inherent defects of traditional models. In this paper, the demand of traction power supply system for DT technology was analyzed, and the application mode of DT in energy saving was explored comprehensively. According to the actual characteristics of urban rail transit system, a DT architecture was proposed, and the key technologies of multiphysics modeling and data-driven was analyzed. DT of traction power supply system of urban rail transit will improve the real-time and effectiveness of energy-saving comprehensive analysis and control.;IEEE;IEEE Conferences
11;Digital Twins for Sustainable Software Systems;"M. Heithoff; A. Hellwig; J. Michael; B. Rumpe";2023 IEEE/ACM 7th International Workshop on Green And Sustainable Software (GREENS);2023.0;Sustainable software systems aim to create resource-efficient software products and reduce the carbon impact of applications. Current approaches for sustainability assessment of software are either only focused on their operation or rely on methods in their engineering. More holistic approaches for sustainable software system spanning are missing. Thus, we are interested in the engineering of sustainable software systems together with the monitoring of their sustainability goals over their whole lifetime. Within this paper, we suggest using digital twins to accompany software systems in all life cycle phases with a specific focus on using model-driven engineering methods for the creation of applications. We can generate accompanying digital twins which share relevant models and data with the actual system and provide services for the assessment of sustainability indicators. In the long run, this provides us with better assessment options for software systems.;IEEE;IEEE Conferences
12;Process Prediction with Digital Twins;"T. Brockhoff; M. Heithoff; I. Koren; J. Michael; J. Pfeiffer; B. Rumpe; M. S. Uysal; W. M. P. Van Der Aalst; A. Wortmann";2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);2021.0;Process discovery from event logs as well as process prediction using process models at runtime are increasingly important aspects to improve the operation of digital twins of complex systems. The integration of process mining functionalities with model-driven digital twin architectures raises the question which models are important for the model-driven engineering of digital twins at designtime and at runtime. Currently, research on process mining and model-driven digital twins is conducted in different research communities. Within this position paper, we motivate the need for the holistic combination of both research directions to facilitate harnessing the data and the models of the systems of the future at runtime. The presented position is based upon continuous discussions, workshops, and joint research between process mining experts and software engineering experts in the Internet of Production excellence cluster. We aim to motivate further joint research into the combination of process mining techniques with model-driven digital twins to efficiently combine data and models at runtime.;IEEE;IEEE Conferences
13;AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;"D. Lehner; S. Sint; M. Vierhauser; W. Narzt; M. Wimmer";2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );2021.0;As technologies such as the Internet of Things (IoT) and Cyber-Physical Systems (CPS) are becoming ubiquitous, systems adopting these technologies are getting increasingly complex. Digital Twins (DTs) provide comprehensive views on such systems, the data they generate during runtime, as well as their usage and evolution over time. Setting up the required infrastructure to run a Digital Twin is still an ambitious task that involves significant upfront efforts from domain experts, although existing knowledge about the systems, such as engineering models, may be already available for reuse. To address this issue, we present AML4DT, a model-driven framework supporting the development and maintenance of Digital Twin infrastructures by employing AutomationML (AML) models. We automatically establish a connection between systems and their DTs based on dedicated DT models. These DT models are automatically derived from existing AutomationML models, which are produced in the engineering phases of a system. Additionally, to alleviate the maintenance of the DTs, AML4DT facilitates the synchronization of the AutomationML models with the DT infrastructure for several evolution cases. A case study shows the benefits of developing and maintaining DTs based on AutomationML models using the proposed AML4DT framework. For this particular study, the effort of performing the required tasks could be reduced by about 50%.;IEEE;IEEE Conferences
14;Twin Process Model Driven Machining Quality Optimization for Complex Parts;"J. Li; G. Zhou; C. Zhang";2021 International Conference on Digital Society and Intelligent Systems (DSInS);2021.0;Machining process of complex parts is high-performance processing with equal emphasis on geometric accuracy and physical performance indicators, and its machining quality directly affects service performance. Process optimization based on digital twin is considered as an intelligent method to link machining process and process design, which is benefit to the scientific control of machining quality. This paper summarizes the evolution and development of process model and proposes twin process model, which could support the machining quality optimization of complex parts. What’s more, industrial application of twin process model is introduced through three steps, namely mapping relationship between machine operation data and instruction domain, simulation and monitoring of machining surface roughness, and optimization of machining parameter based on twin process model. Finally, the proposed twin process model could provide theoretical support for machining quality control.;IEEE;IEEE Conferences
15;Concept of a Modular and System Model Driven Digital Twin for Engineering Education;"F. Wilking; M. Behringer; M. Fett; S. Goetz; E. Kirchner; S. Wartzack";2023 18th Annual System of Systems Engineering Conference (SoSe);2023.0;Driven by the opportunities for condition monitoring and new business models, Digital Twins have become a popular topic within research and industrial application over the last years. Therefore, universities must integrate the development of Digital Twins into their educational program to enable future engineers to overcome the challenges concomitant with Digital Twins. While a theoretical basis for Digital Twins is crucial e.g., hardware-software integration, Internet of Things (IoT) or simulation models, a practical combination of these heterogeneous components is also necessary to introduce the Digital Twin as a whole concept. With Model-Based Systems Engineering (MBSE) an approach was introduced to grasp complexity by using system models e.g., through SysML diagrams. Digital Twins are an example for advanced systems shaped by high complexity. The usage of system models is therefore likely. With this contribution, a concept is presented to combine system models and Digital Twins to create a prototype for academic education and the conduction of student projects.;IEEE;IEEE Conferences
16;Integration Challenges for Digital Twin Systems-of-Systems;"J. Michael; J. Pfeiffer; B. Rumpe; A. Wortmann";2022 IEEE/ACM 10th International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems (SESoS);2022.0;Research and industry leverage digital twins to monitor and control (cyber-physical) systems in various domains. For their efficient engineering, these twins need to become Systems-of-Systems (SoS), in which digital twins of smaller systems (e.g., a production machine) become parts of digital twins of larger systems (e.g., a factory). Yet, research on digital twins as SoS largely ignores reusing digital twins in SoS. Based on our experience in engineering digital twins with experts from various domains related to production systems engineering, we present insights on the challenges of composing and integrating that need to be addressed for efficient engineering of digital twins as SoS. These insights may guide future research on engineering digital twins as well as practitioners considering the challenges in building and composing digital twin systems-of-systems.;IEEE;IEEE Conferences
17;Models Meet Data: Challenges to Create Virtual Entities for Digital Twins;"M. Van Den Brand; L. Cleophas; R. Gunasekaran; B. Haverkort; D. A. M. Negrin; H. M. Muctadir";2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);2021.0;In recent years, digital twin (DT) technology has moved to the center of attention of many researchers and engineers. Commonly, a digital twin is defined based on a virtual entity (VE) that exhibits similar behavior to its physical counterpart, and that is coupled to this physical entity (PE). The VE thus forms a core part of any digital twin. While VEs may differ vastly—from ones based on simple simulation to high-fidelity virtual mirroring of the corresponding PE—they are typically composed of multiple models that may originate from multiple domains, address different aspects, and are expressed and processed using different tools and languages. Furthermore, the use of time series data—whether historical or real-time or both—from the PE distinguishes VEs from mere simulations. As a consequence of the modeling landscape complexity and the data aspect of VEs, the design of a digital twin and specifically of the VE as part of it represents several challenges. In this paper, we present our vision for the development, evolution, maintenance, and verification of such virtual entities for digital twins.;IEEE;IEEE Conferences
18;Multisource Model-Driven Digital Twin System of Robotic Assembly;"X. Li; B. He; Y. Zhou; G. Li";IEEE Systems Journal;2021.0;"The digital twin technology effectively fuels improvements in the quality and efficiency of robotic assembly, especially for sophisticated processes. High-quality digitalization requires a comprehensive description and real-time rendering of system, which are challenging. This article aims to demonstrate a novel multisource model-driven digital twin system, which is based on the geometric, physics, and sequential rule descriptions for producing a precise and real-time simulation of a robotic assembly system. In our system, the digital counterpart rendered with virtual reality technology is created and updated by the real environment information. A 3-D graphic model is reconstructed first using the geometric information of surroundings captured by the depth sensor. During interaction, a fast and efficient approach is proposed to generate the contact force and render the object deformation in the virtual environment. The virtual space also provides the sequential rule that is based on the danger field, which helps to constrain the operation of digital twin. At last, the experimental platform is established in which the virtual space is at an update rate of 100 Hz, while the automatic sorting task is performed and verified; the results show the effectiveness and applicability of the method to digital twin system.";IEEE;IEEE Journals
19;Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;"Y. Huang; S. Dhouib; L. P. Medinacelli; J. Malenfant";2023 IEEE 6th International Conference on Industrial Cyber-Physical Systems (ICPS);2023.0;Industry 4.0 currently prepares a major shift towards extreme flexibility into production lines management. Digital Twins are one of the key enabling technologies for Industry 4.0. However, the interoperability gap among digital representation of Industry 4.0 assets is still one of the obstacles to the development and adoption of digital twins. If the Asset Administration Shell (AAS), the standard proposed to represent the I4.0 components, caters for syntactic interoperability, a more semantic kind of interoperability is deeply needed to develop flexible and adaptable production lines. In our work, we overcome the limitation of current syntactic-only resource matching algorithms by implementing semantic interoperability based on ontologies i.e., by transforming AAS-based plant models into MaRCO (Manufacturing Resource Capability Ontology) instances and then query the expanded ontology to find the needed resources. This article presents this ontology-based approach as the first step towards the design and implementation of an automated I4.0 flexible plant supervision and control system based on model-driven engineering (MDE) within the “Papyrus for Manufacturing” toolset. We show how an MDE approach can aggregate around digital twin modeling tools from the Papyrus platform both I4.0 technologies and AI (Knowledge Representation and Reasoning) tools. Our platform aligns modeling and ontological elements to get the best of both worlds. This method has two main advantages: (1) to provide semantic descriptions for digital twin models, (2) to complement model-driven engineering tools with automated reasoning. This paper showcases this approach through a robotic cell use case.;IEEE;IEEE Conferences
20;A Lightweight Model-driven MES Simulation Framework Based On Probabilistic Finite Automata;"K. Zhang; J. Tian; J. Han; Q. Yuan";2022 7th International Conference on Intelligent Computing and Signal Processing (ICSP);2022.0;"In recent years, the concept of digital twin was introduced to the field of intelligent manufacturing. People use simulation technologies to complete the process of physical equipment in virtual space. As the manager of production process data, MES system is an important basis of digital twin in industrial production. Current MES systems are mostly developed for specific domains, often for large enterprises, with high coupling and poor scalability, which are difficult to be applied to smaller production enterprises with low informationization degree. In this paper, we propose a lightweight model-driven MES simulation framework that uses probabilistic finite automata to form a fast modeling for factory as well as to generate production data, and achieves a highly flexible production process simulation through config files; the framework could also be used to build a real MES system for small and medium-sized production enterprises.";IEEE;IEEE Conferences
21;Digital Twin of an Electrical Motor Based on Empirical Performance Model;"A. Rassõlkin; V. Rjabtšikov; T. Vaimann; A. Kallaste; V. Kuts; A. Partyshev";2020 XI International Conference on Electrical Power Drive Systems (ICEPDS);2020.0;The concept of Digital Twin is creating and maintaining a digital representation of the real physical entity and supporting its performance utilizing simulation and optimization tools, which are fed with real data. Development and implementation of Digital Twin technology is a hot topic in many industry-oriented research projects. However, more detailed studies are needed on design methods for Digital Twins, which allows full synchronization and connectivity between virtual and real environments. This paper presents a development case study of Digital Twin for an electric motor based on an empirical performance model. The paper discusses the way how the data required for the Digital Twin were obtained and present a detailed structural description of the virtual entity. Unity3D is used for physics simulations and visualization of the Digital Twin, because of simple accessible and meticulously detailed documentation highly useful for rapid prototyping in early stages.;IEEE;IEEE Conferences
22;Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process;"M. D. Maio; G. -D. Kapos; N. Klusmann; L. Atorf; U. Dahmen; M. Schluse; J. Rossmann";2018 IEEE International Systems Engineering Symposium (ISSE);2018.0;A particular problem in the practical application of Model-Based Systems Engineering (MBSE) for the development of complex products is the effective integration of other engineering models. The Model-Driven Engineering Process (MDEP) addresses this by providing clearly defined insert points for domain models and simulation engines. In Closed-Loop Systems Engineering (CLOSE) Experimentable Digital Twins (EDTs) are integrated in the MDEP to realistically simulate how system functions would be executed by physical parts of the developed product. CLOSE thus can reduce the cycle times for analysis, design, development, optimisation, and some of the verification. This paper introduces the basic concept of CLOSE and illustrates its application with a case study.;IEEE;IEEE Conferences
23;Research on Modeling Method of System Reliability Digital Twin;"H. Yang; Z. Lai; Y. Liu; N. Hu; B. Diao; Y. Pan";2021 2nd International Conference on Electronics, Communications and Information Technology (CECIT);2021.0;In view of the problems existing in the current product development, such as poor coordination of system Reliability work, lack of effective model representation methods and supporting data, combined with the advantages of digital twin in model-driven and data-driven integration, and the requirements of Reliability integrated design, an system reliability digital twin model construction method is proposed, combines Reliability and functional characteristics elements. The concept of Reliability digital twin is defined, and the relationship between Reliability digital twin and MBSE-based Reliability is analyzed. Based on this, the construction process of product system Reliability digital twin model is given, the objects, basic models and data of relevant stages in the process are defined, and the construction idea and related basic models representation methods of system Reliability digital twin model are put forward. Finally, a case study of the power subsystem of a communication system is carried out, which lays an important foundation for the realization of forward design of product reliability based on digital twin.;IEEE;IEEE Conferences
24;Dynamic Runtime Integration of New Models in Digital Twins;"H. Ejersbo; K. Lausdahl; M. Frasheri; L. Esterle";2023 IEEE/ACM 18th Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS);2023.0;The development of cyber-physical systems is heavily relying on model-driven approaches. After deployment, these models can be utilised in a Digital Twin setting, acting as virtual replicas of the physical components and reflecting the behaviour of the running system in real-time. Complex systems often consist of numerous models interacting with each other and individual models may need to be updated after deployment. This means that new models need to be integrated and swapped during runtime without interrupting the running system. In this paper, we propose an approach for model-based Digital Twins to replace individual models without stopping or halting the operation of a cyber-physical system. Furthermore, our approach allows to replace not only individual models, but also update the overall structure of the interaction of models in the Digital Twin setting. The use of the proposed mechanism is illustrated through two case-studies with an agricultural robot prototype.;IEEE;IEEE Conferences
25;Improved Electric Vehicle Digital Twin Performance Incorporating Detailed Lithium-ion Battery Model;"A. Sahoo; S. Sahithi; J. Channegowda";2022 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT);2022.0;Electric Vehicle numbers have rapidly increased over the past decade. There is a dire need to establish accurate simulation frameworks to model the Electric Vehicle performance. Multiple simulation model-based approaches have been proposed in literature which consider the impact of various drive cycles on vehicle characteristics. All the available Electric Vehicle simulation models available in literature use lumped battery parameters which do not capture the dynamic behaviour of the vehicle. A detailed battery model considering drive cycle dynamics In Electric Vehicle Digital Twins have not been explored by researchers. This paper aims to provide tangible EV performance characteristics accounting for detailed 2RC battery model. This paper has used a two wheeler drive characteristics driven by a 2 kW Brushless Direct Current Motor powered by a 3.2 kWh battery pack. This paper also compares the variations in battery parameters with the lumped battery model to highlight the advantages of the proposed approach.;IEEE;IEEE Conferences
26;Workshop Management and Control System Based on Digital Twin;"G. Wang; Z. Bing; Z. Hou; Y. Guan; X. Qi; M. Liu";2022 8th International Conference on Control, Automation and Robotics (ICCAR);2022.0;Aiming at the connotation and characteristics of digital twin, and improving the level of informatization and intelligence of the workshop, a workshop management and control system based on digital twins is proposed, which can realize the management and control of the full life cycle of digital twins. Based on the physical production line model of the digital twin, the virtual and real joint debugging method of the digital twin workshop is constructed: the controller controls the virtual model, and the virtual model drives the simulation. The operation and control model of the digital twin is driven through the communication framework of OPC UA (Object Linking and Embedding for Process Unified Architecture), and the virtual and real interaction of the physical production line is used to timely reflect the operation of the workshop. From model building, model digital drive, virtual and real control joint debugging, to full life cycle workshop verification and design simulation, the visual monitoring of the digital twin workshop is finally realized.;IEEE;IEEE Conferences
27;Using UML and OCL Models to Realize High-Level Digital Twins;"P. Muñoz; J. Troya; A. Vallecillo";2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);2021.0;Digital twins constitute virtual representations of physically existing systems. However, their inherent complexity makes them difficult to develop and prove correct. In this paper we explore the use of UML and OCL, complemented with an executable language, SOIL, to build and test digital twins at a high level of abstraction. We also show how to realize the bidirectional connection between the UML models of the digital twin in the USE tool with the physical twin, using an architectural framework centered on a data lake. We have built a prototype of the framework to demonstrate our ideas, and validated it by developing a digital twin of a Lego Mindstorms car. The results allow us to show some interesting advantages of using high-level UML models to specify virtual twins, such as simulation, property checking and some other types of tests.;IEEE;IEEE Conferences
28;Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;"A. Rassõlkin; V. Rjabtšikov; V. Kuts; T. Vaimann; A. Kallaste; B. Asad; A. Partyshev";IEEE Access;2022.0;The concept of Digital Twin is creating and maintaining a digital representation of the real physical entity and supporting its performance utilizing simulation and optimization tools, which are fed with the real data obtained from the physical equipment. Development and implementation of the Digital Twin technology are one of the main challenges for today’s industry, more detailed studies are needed on design methods for Digital Twins. Besides using Digital Twin as a high-quality simulation, one of the commitments is monitoring and maintaining control of the whole system via a constant live link between virtual and physical entities. The related research study presents a detailed structural description of the developed Digital Twin virtual entity and the development of a framework that allows Robot Operating System (ROS) to securely communicate with remote Digital Twins via the Internet and harness ROS’s adaptability across vast distances and multiple systems. This paper is an extended version of the authors’ International Conference on Electrical Power Drive Systems (ICEPDS20) paper, in which we propose a development case study of Digital Twin for an electric motor based on an empirical performance model.;IEEE;IEEE Journals
29;A Model-Driven Approach for Situational Intelligence & Operational Awareness;"S. Shokooh; G. Nordvik";2019 Petroleum and Chemical Industry Conference Europe (PCIC EUROPE);2019.0;In order to design, operate, and maintain an oil and gas facility, one must first understand its behavior. A model-driven engineering and operation solution is required to analyze and identify problems early on and then improve design to ensure further problems are less likely. Predictive models are already shaping our experiences. They recommend products and services based on our habits. Predictive models of electrical power networks serve as a “digital twin” of the system including network topology, engineering parameters, and other pertinent information with real-time data acquired for depicting the actual operation of the system. A clear and thorough understanding of the operational system increases uptime and reduces the number of unnecessary shutdowns. Predictive simulation models help engineers and operators increase their understanding of systems in a cost-effective and repeatable environment by offering Situational Intelligence & Automation. This paper will include the benefits of adding such a system, the challenges that must be overcome and the lessons that have been learned from the implementation of several of these systems. It will also serve as a handbook on justification for a model-driven power management and automation of oil and gas facilities.;IEEE;IEEE Conferences
30;Knowledge driven rapid development of white box digital twins for industrial plant systems;"A. B.; S. R.C.; B. B.; R. Dhakshinamoorthy; S. A.; N. S.";IECON 2021 – 47th Annual Conference of the IEEE Industrial Electronics Society;2021.0;Industrial systems like power plants need a significant domain and engineering expertise for their efficient operations. Experts make decisions for multiple operational objectives such as minimizing cost, maximizing productivity, ensuring compliance to environmental conditions, etc. However, deciding strategies to achieve an objective can be highly non-trivial as it may lead to conflicting outcomes concerning other objectives. Modern digital twin(DT) technologies make it possible to build systems to support such decision-making to validate critical decisions. DTs are developed as one-off solutions for individual plants in the current practice, requiring high efforts and domain knowledge. Our work demonstrates the use of a knowledge-driven approach to reduce DT development efforts significantly. The main contribution of our work is an end-to-end architecture that allows us to explicate, structure, and reuse domain knowledge to semi-automate DT development for industrial plants. We integrate technologies like semantic web, model-driven engineering, and formal methods to realize the architecture. Our approach to developing a DT supporting a fault management scenario in a power plant reduced 70% development time and 50% manual efforts.;IEEE;IEEE Conferences
