Title;Publication Title;Authors;Publication Year;Document Identifier;Publisher
A Lightweight Model-driven MES Simulation Framework Based On Probabilistic Finite Automata;2022 7th International Conference on Intelligent Computing and Signal Processing (ICSP);"K. Zhang; J. Tian; J. Han; Q. Yuan";2022;IEEE Conferences;IEEE
Digital Twin of an Electrical Motor Based on Empirical Performance Model;2020 XI International Conference on Electrical Power Drive Systems (ICEPDS);"A. Rassõlkin; V. Rjabtšikov; T. Vaimann; A. Kallaste; V. Kuts; A. Partyshev";2020;IEEE Conferences;IEEE
Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process;2018 IEEE International Systems Engineering Symposium (ISSE);"M. D. Maio; G. -D. Kapos; N. Klusmann; L. Atorf; U. Dahmen; M. Schluse; J. Rossmann";2018;IEEE Conferences;IEEE
Research on Modeling Method of System Reliability Digital Twin;2021 2nd International Conference on Electronics, Communications and Information Technology (CECIT);"H. Yang; Z. Lai; Y. Liu; N. Hu; B. Diao; Y. Pan";2021;IEEE Conferences;IEEE
Improved Electric Vehicle Digital Twin Performance Incorporating Detailed Lithium-ion Battery Model;2022 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT);"A. Sahoo; S. Sahithi; J. Channegowda";2022;IEEE Conferences;IEEE
Workshop Management and Control System Based on Digital Twin;2022 8th International Conference on Control, Automation and Robotics (ICCAR);"G. Wang; Z. Bing; Z. Hou; Y. Guan; X. Qi; M. Liu";2022;IEEE Conferences;IEEE
Using UML and OCL Models to Realize High-Level Digital Twins;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"P. Muñoz; J. Troya; A. Vallecillo";2021;IEEE Conferences;IEEE
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;IEEE Access;"A. Rassõlkin; V. Rjabtšikov; V. Kuts; T. Vaimann; A. Kallaste; B. Asad; A. Partyshev";2022;IEEE Journals;IEEE
A Model-Driven Approach for Situational Intelligence & Operational Awareness;2019 Petroleum and Chemical Industry Conference Europe (PCIC EUROPE);"S. Shokooh; G. Nordvik";2019;IEEE Conferences;IEEE
Knowledge driven rapid development of white box digital twins for industrial plant systems;IECON 2021 – 47th Annual Conference of the IEEE Industrial Electronics Society;"A. B.; S. R.C.; B. B.; R. Dhakshinamoorthy; S. A.; N. S.";2021;IEEE Conferences;IEEE
Interface Management with Closed-Loop Systems Engineering (CLOSE);2018 IEEE International Systems Engineering Symposium (ISSE);"M. Di Maio; L. Atorf; U. Dahmen; M. Schluse; J. Rossmann; M. Hoppe; G. -D. Kapos";2018;IEEE Conferences;IEEE
Prediction Study of the Heavy Vehicle Driving State Based on Digital Twin Model;2021 IEEE International Conference on Power Electronics, Computer Applications (ICPECA);"J. Liu; Y. Dong; Y. Liu; P. Li; S. Liu; T. Wang";2021;IEEE Conferences;IEEE
Urban Intelligence: Toward the Digital Twin of Matera and Catania;2022 Workshop on Blockchain for Renewables Integration (BLORIN);"G. Castelli; A. Cesta; M. Ciampi; R. De Benedictis; G. De Pietro; M. Diez; G. Felici; R. Malvezzi; B. Masini; R. Pellegrini; A. Scalas; G. Stecca; L. Strambini; G. Tognola; P. Ravazzani; E. F. Campana";2022;IEEE Conferences;IEEE
Developing a Physical and Digital Twin: An Example Process Model;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"H. Feng; C. Gomes; M. Sandberg; C. Thule; K. Lausdahl; P. G. Larsen";2021;IEEE Conferences;IEEE
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"X. P. i. Palomés; P. Tuset-Peiró; P. F. i. Casas";2021;IEEE Conferences;IEEE
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;Proceedings of the IEEE;"G. N. Schroeder; C. Steinmetz; R. N. Rodrigues; R. V. B. Henriques; A. Rettberg; C. E. Pereira";2021;IEEE Journals;IEEE
Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;2020 International Conference on Artificial Intelligence and Electromechanical Automation (AIEA);"Y. Dai; Y. Shi; Z. Zhang; R. Tao; F. Fang";2020;IEEE Conferences;IEEE
Real Time Electrical Transient Analyzer Program (ETAP RT) Improvement for Gas Processing & Utilities (GPU) plant, PETRONAS Gas Berhad;2022 International Conference on Future Trends in Smart Communities (ICFTSC);"N. M. F. B. Nordzi; I. A. B. C. A. Rahman; I. M. H. K. Baharaini; I. M. R. B. M. Tahir";2022;IEEE Conferences;IEEE
Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );"C. Binder; A. Calà; J. Vollmar; C. Neureiter; A. Lüder";2021;IEEE Conferences;IEEE
Digital Twin Service Unit for AC Motor Stator Inter-Turn Short Circuit Fault Detection;2021 28th International Workshop on Electric Drives: Improving Reliability of Electric Drives (IWED);"V. Rjabtšikov; A. Rassõlkin; B. Asad; T. Vaimann; A. Kallaste; V. Kuts; S. Jegorov; M. St?pie?; M. Krawczyk";2021;IEEE Conferences;IEEE
Urban Intelligence: a Modular, Fully Integrated, and Evolving Model for Cities Digital Twinning;2019 IEEE 16th International Conference on Smart Cities: Improving Quality of Life Using ICT & IoT and AI (HONET-ICT);"G. Castelli; A. Cesta; M. Diez; M. Padula; P. Ravazzani; G. Rinaldi; S. Savazzi; M. Spagnuolo; L. Strambini; G. Tognola; E. F. Campana";2019;IEEE Conferences;IEEE
DataTime: a Framework to smoothly Integrate Past, Present and Future into Models;2021 ACM/IEEE 24th International Conference on Model Driven Engineering Languages and Systems (MODELS);"G. Lyan; J. -M. Jézéquel; D. Gross-Amblard; B. Combemale";2021;IEEE Conferences;IEEE
AAS Capability-Based Operation and Engineering of Flexible Production Lines;2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );"Y. Huang; S. Dhouib; J. Malenfant";2021;IEEE Conferences;IEEE
An AAS Modeling Tool for Capability-Based Engineering of Flexible Production Lines;IECON 2021 – 47th Annual Conference of the IEEE Industrial Electronics Society;"Y. Huang; S. Dhouib; J. Malenfant";2021;IEEE Conferences;IEEE
Learning to Predict and Optimize Imperfect MIMO System Performance: Framework and Application;GLOBECOM 2022 - 2022 IEEE Global Communications Conference;"J. Su; F. Meng; S. Liu; Y. Huang; Z. Lu";2022;IEEE Conferences;IEEE
Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era;2022 24th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC);"A. Chi?; A. -M. Ghiran; R. A. Buchmann";2022;IEEE Conferences;IEEE
Holistic Network Virtualization and Pervasive Network Intelligence for 6G;IEEE Communications Surveys & Tutorials;"X. Shen; J. Gao; W. Wu; M. Li; C. Zhou; W. Zhuang";2022;IEEE Journals;IEEE
A neural control of the parallel Gas Turbine with differential link;2017 International Conference on System Science and Engineering (ICSSE);Nguyen Hoang Mai;2017;IEEE Conferences;IEEE
The THREAT-ARREST Cyber Range Platform;2021 IEEE International Conference on Cyber Security and Resilience (CSR);"G. Hatzivasilis; S. Ioannidis; M. Smyrlis; G. Spanoudakis; F. Frati; C. Braghin; E. Damiani; H. Koshutanski; G. Tsakirakis; T. Hildebrandt; L. Goeke; S. Pape; O. Blinder; M. Vinov; G. Leftheriotis; M. Kunc; F. Oikonomou; G. Magilo; V. Petrarolo; A. Chieti; R. Bordianu";2021;IEEE Conferences;IEEE
MoDDiT 2021: 1st International Workshop on Model-Driven Engineering for Digital Twins;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"F. Bordeleau; L. Cleophas; B. Combemale; R. Eramo; M. Van Den Brand; M. Wimmer; A. Wortmann";2021;IEEE Conferences;IEEE
Preface of the 15th International Workshop on Models@run.time’21;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"S. Götz; A. Bucchiarone; N. Bencomo";2021;IEEE Conferences;IEEE
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems;Kirchhof JC,Michael J,Rumpe B,Varga S,Wortmann A;2020;Conference Paper;ACM
Measuring the Fidelity of Digital Twin Systems;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Muñoz P;2022;Conference Paper;ACM
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems;Barat S,Kulkarni V,Clark T,Barn B;2022;Conference Paper;ACM
Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Muñoz P,Wimmer M,Troya J,Vallecillo A;2022;Conference Paper;ACM
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Niati A,Selma C,Tamzalit D,Bruneliere H,Mebarki N,Cardin O;2020;Conference Paper;ACM
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Christofi N,Pucel X;2022;Conference Paper;ACM
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;Proceedings of the 20th ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences;Kirchhof JC,Malcher L,Rumpe B;2021;Conference Paper;ACM
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Fend A,Bork D;2022;Conference Paper;ACM
Virtual Soccer Champions: A Case Study on Artifact Reuse in Soccer Robot Digital Twin Construction;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Walravens G,Muctadir HM,Cleophas L;2022;Conference Paper;ACM
On the Engineering of IoT-Intensive Digital Twin Software Systems;Proceedings of the IEEE/ACM 42nd International Conference on Software Engineering Workshops;Rivera LF,Müller HA,Villegas NM,Tamura G,Jiménez M;2020;Conference Paper;ACM
A Flexible and Modular Architecture for Edge Digital Twin: Implementation and Evaluation;ACM Trans. Internet Things;Picone M,Mamei M,Zambonelli F;2023;Journal Article;ACM
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Huang Y,Dhouib S,Medinacelli LP,Malenfant J;2022;Conference Paper;ACM
Challenges and Possible Approaches for Sustainable Digital Twinning;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Bellis S,Denil J;2022;Conference Paper;ACM
Coordination and Explanation of Reconfigurations in Self-Adaptive High-Performance Systems;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Stieß S,Becker S,Ege F,Höppner S,Tichy M;2022;Conference Paper;ACM
How Alike Are My Physical and Digital Twins?;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Muñoz P;2022;Conference Paper;ACM
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Grimmeisen P,Wortmann A,Morozov A;2022;Conference Paper;ACM
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;Proceedings of the Federated Africa and Middle East Conference on Software Engineering;Barosan I,van der Heijden J;2022;Conference Paper;ACM
A comparative study on digital twin models;AIP Conference Proceedings;"Liu Q.; Liu B.; Wang G.; Zhang C.";2019;Conference paper;American Institute of Physics Inc.
Semantic digital twins for organizational development;CEUR Workshop Proceedings;"Diéz A.; De Lara J.";2021;Conference paper;CEUR-WS
Model-Driven Development of Digital Twins for Supervision and Simulation of Sensor-and-Actuator Networks (Extended Abstract);CEUR Workshop Proceedings;"Pichot G.; Rocheteau J.; Attiogbé C.";2022;Conference paper;CEUR-WS
"Digital twin synchronization method and system implementation for micro-assembly unit; [?????????????????????]";Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS;"Huang J.; Shi J.; Yi Y.; Xu H.; Yan Y.; Liu J.; Liu X.";2021;Article;CIMS
"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]";At-Automatisierungstechnik;"Lehner D.; Sint S.; Eisenberg M.; Wimmer M.";2023;Article;De Gruyter Oldenbourg
Ensuring consistency in scalable-detail models for DT-based control;IFAC-PapersOnLine;"Cimino C.; Leva A.; Ferretti G.";2021;Conference paper;Elsevier B.V.
The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development;Computers in Industry;"Karagiannis D.; Buchmann R.A.; Utz W.";2022;Article;Elsevier B.V.
Digital twin enhanced human-machine interaction in product lifecycle;Procedia CIRP;"Ma X.; Tao F.; Zhang M.; Wang T.; Zuo Y.";2019;Conference paper;Elsevier B.V.
Modular Fault Ascription and Corrective Maintenance Using a Digital Twin;;"Vathoopan M.; Johny M.; Zoitl A.; Knoll A.";2018;Conference paper;Elsevier B.V.
A new modeling approach for power grid online analysis;IFAC-PapersOnLine;"Zhou M.; Feng D.";2020;Conference paper;Elsevier B.V.
Generating customized low-code development platforms for digital twins;Journal of Computer Languages;"Dalibor M.; Heithoff M.; Michael J.; Netz L.; Pfeiffer J.; Rumpe B.; Varga S.; Wortmann A.";2022;Article;Elsevier Ltd
A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin;Applied Energy;"Song Y.; Xia M.; Chen Q.; Chen F.";2023;Article;Elsevier Ltd
Meta-model-based shop-floor digital twin architecture, modeling and application;Robotics and Computer-Integrated Manufacturing;"Yang X.; Liu X.; Zhang H.; Fu L.; Yu Y.";2023;Article;Elsevier Ltd
3D crowdsourced parametric cadastral mapping: Pathways integrating BIM/IFC, crowdsourced data and LADM;Land Use Policy;"Gkeli M.; Potsiou C.";2023;Article;Elsevier Ltd
Combining physics-based and data-driven techniques for reliable hybrid analysis and modeling using the corrective source term approach;Applied Soft Computing;"Blakseth S.S.; Rasheed A.; Kvamsdal T.; San O.";2022;Article;Elsevier Ltd
Deep neural network enabled corrective source term approach to hybrid analysis and modeling;Neural Networks;"Blakseth S.S.; Rasheed A.; Kvamsdal T.; San O.";2022;Article;Elsevier Ltd
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI);"Michael J.; Nachmann I.; Netz L.; Rumpe B.; Stüber S.";2022;Conference paper;Gesellschaft fur Informatik (GI)
Urban Intelligence: Toward the Digital Twin of Matera and Catania;2022 Workshop on Blockchain for Renewables Integration, BLORIN 2022;"Castelli G.; Cesta A.; Ciampi M.; De Benedictis R.; De Pietro G.; Diez M.; Felici G.; Malvezzi R.; Masini B.; Pellegrini R.; Scalas A.; Stecca G.; Strambini L.; Tognola G.; Ravazzani P.; Campana E.F.";2022;Conference paper;Institute of Electrical and Electronics Engineers Inc.
AAS Capability-Based Operation and Engineering of Flexible Production Lines;IEEE International Conference on Emerging Technologies and Factory Automation, ETFA;"Huang Y.; Dhouib S.; Malenfant J.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
DataTime: A Framework to smoothly Integrate Past, Present and Future into Models;Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS 2021;"Lyan G.; Jezequel J.-M.; Gross-Amblard D.; Combemale B.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Multisource Model-Driven Digital Twin System of Robotic Assembly;IEEE Systems Journal;"Li X.; He B.; Zhou Y.; Li G.";2021;Article;Institute of Electrical and Electronics Engineers Inc.
Combining Low-Code Programming and SDL-Based Modeling with Snap in the Industry 4.0 Context;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;"Palomes X.P.I.; Tuset-Peiro P.; Casas P.F.I.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Preface of the 15th International Workshop on Models@run.time'21;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;"Gotz S.; Bucchiarone A.; Bencomo N.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Research on Modeling Method of System Reliability Digital Twin;Proceedings - 2021 2nd International Conference on Electronics, Communications and Information Technology, CECIT 2021;"Yang H.; Lai Z.; Liu Y.; Hu N.; Diao B.; Pan Y.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;IEEE International Conference on Emerging Technologies and Factory Automation, ETFA;"Lehner D.; Sint S.; Vierhauser M.; Narzt W.; Wimmer M.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
AIoTML: A Unified Modeling Language for AIoT-Based Cyber-Physical Systems;IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems;"Hu M.; Cao E.; Huang H.; Zhang M.; Chen X.; Chen M.";2023;Article;Institute of Electrical and Electronics Engineers Inc.
The THREAT-ARREST cyber range platform;Proceedings of the 2021 IEEE International Conference on Cyber Security and Resilience, CSR 2021;"Hatzivasilis G.; Ioannidis S.; Smyrlis M.; Spanoudakis G.; Frati F.; Braghin C.; Damiani E.; Koshutanski H.; Tsakirakis G.; Hildebrandt T.; Goeke L.; Pape S.; Blinder O.; Vinov M.; Leftheriotis G.; Kunc M.; Oikonomou F.; Magilo G.; Petrarolo V.; Chieti A.; Bordianu R.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Developing a Physical and Digital Twin: An Example Process Model;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;"Feng H.; Gomes C.; Sandberg M.; Thule C.; Lausdahl K.; Larsen P.G.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Twin Process Model Driven Machining Quality Optimization for Complex Parts;2021 International Conference on Digital Society and Intelligent Systems, DSInS 2021;"Li J.; Zhou G.; Zhang C.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Process Prediction with Digital Twins;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;"Brockhoff T.; Heithoff M.; Koren I.; Michael J.; Pfeiffer J.; Rumpe B.; Uysal M.S.; Van Der Aalst W.M.P.; Wortmann A.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;IEEE International Conference on Emerging Technologies and Factory Automation, ETFA;"Braunisch N.; Ristin-Kaufmann M.; Lehmann R.; Van De Venn H.W.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Models Meet Data: Challenges to Create Virtual Entities for Digital Twins;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;"Van Den Brand M.; Cleophas L.; Gunasekaran R.; Haverkort B.; Negrin D.A.M.; Muctadir H.M.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
A software engineering point of view on digital twin architecture;IEEE International Conference on Emerging Technologies and Factory Automation, ETFA;"Bechu G.; Beugnard A.; Cao C.G.L.; Perez Q.; Urtado C.; Vauttier S.";2022;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;IEEE Access;"Rassolkin A.; Rjabtsikov V.; Kuts V.; Vaimann T.; Kallaste A.; Asad B.; Partyshev A.";2022;Article;Institute of Electrical and Electronics Engineers Inc.
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;Proceedings of the IEEE;"Schroeder G.N.; Steinmetz C.; Rodrigues R.N.; Henriques R.V.B.; Rettberg A.; Pereira C.E.";2021;Article;Institute of Electrical and Electronics Engineers Inc.
Air Quality Management: An Exemplar for Model-Driven Digital Twin Engineering;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;"Govindasamy H.S.; Jayaraman R.; Taspinar B.; Lehner D.; Wimmer M.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
MoDDiT 2021: 1stInternational Workshop on Model-Driven Engineering for Digital Twins;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;"Bordeleau F.; Cleophas L.; Combemale B.; Eramo R.; Van Den Brand M.; Wimmer M.; Wortmann A.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Analysis of digital twin application of urban rail power supply system for energy saving;Proceedings 2021 IEEE 1st International Conference on Digital Twins and Parallel Intelligence, DTPI 2021;"Wang Y.; Zhang G.; Chen R.; Liu Z.; Qiu R.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Digital Twin Service Unit for AC Motor Stator Inter-Turn Short Circuit Fault Detection;2021 28th International Workshop on Electric Drives: Improving Reliability of Electric Drives, IWED 2021 - Proceedings;"Rjabtsikov V.; Rassolkin A.; Asad B.; Vaimann T.; Kallaste A.; Kuts V.; Jegorov S.; Stepien M.; Krawczyk M.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
The Research of Aero-engine Digital Twin Model Based on Model-driven and Data-driven Fusion Method??National Science and Technology Major Project (2017-I-0003-0003);Proceedings of 2021 IEEE 10th Data Driven Control and Learning Systems Conference, DDCLS 2021;"Liu K.; Wang P.; Li Q.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Integration Challenges for Digital Twin Systems-of-Systems;Proceedings - 10th IEEE/ACM International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems, SESoS 2022;"Michael J.; Pfeiffer J.; Rumpe B.; Wortmann A.";2022;Conference paper;Institute of Electrical and Electronics Engineers Inc.
DTformer: An Efficient Digital Twin Model for Loss Measurement in UHVDC Transmission Systems;IEEE Transactions on Power Systems;"Sun Y.; Shi Y.; Hu Q.; Xie C.; Su T.";2023;Article;Institute of Electrical and Electronics Engineers Inc.
Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;"Bonney M.S.; De Angelis M.; Wagg D.; Borgo M.D.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Using Ptolemy II as a Framework for Virtual Entity Integration and Orchestration in Digital Twins;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;"Negrin D.A.M.; Cleophas L.; Van Den Brand M.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Inference of Simulation Models in Digital Twins by Reinforcement Learning;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;"David I.; Galasso J.; Syriani E.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Data- And model-driven digital twins for design and logistics control of product distribution;Proceedings - 2021 23rd International Conference on Control Systems and Computer Science Technologies, CSCS 2021;"Stan M.; Borangiu T.; Raileanu S.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Learning to Predict and Optimize Imperfect MIMO System Performance: Framework and Application;2022 IEEE Global Communications Conference, GLOBECOM 2022 - Proceedings;"Su J.; Meng F.; Liu S.; Huang Y.; Lu Z.";2022;Conference paper;Institute of Electrical and Electronics Engineers Inc.
