Title;DT Definition;virtual space;Kritzinger;DT is specific;modeling language;note on modeling language;model type;model processing technique;model usage technique;source;target;purpose of MDE application;purpose of DT;DTPurposeCategory;use case domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;Technological Readiness Level;notes;Use Case
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;;;;;;;behavior;Model to Model Transformation;;SysML v2 action sequences;Markov chains;;;;;Operate;;As-Operated;;;;;
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;"""a Digital Twin is a virtual reproduction of a system based on simulations, real-time and historical data that allows representing, understanding, and predicting scenarios of the past, present, and future, with verified and validated models, and synchronized at a specified frequency and fidelity with the system""";Comprehensive;DT;;SDL;;behavior;Model to Model Transformation;;SDL model;Discrete Event System Specification (formal model for simulation engines);execute/simulate modeled behavior;;;Education;Design;Processes;As-Designed;"low-code programming; enable industrial users to test and/or build their own Digital Twin models at a suitable abstraction level and with low entry barriers ; create an open-source and web-based tool that facilitates the implementation and validation of Digital Twin prototypes";;TRL 4-6;;
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;;;;;;;behavior;Model Interpretation;;SDL model;Snap!;;;;;Design;;As-Designed;;;;;
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;"middleware between CPS and a monitoring cockpit; ""A digital twin of a system consists of a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system""";Model with purpose;DS;;SysML v2;;structure;Model to Model Transformation;Multi Paradigm Approach;CPSAML;SysML (partial model);"Integration of CPS and Information Systems; transform System Architect vision (CPSAML) into starting point for System Engineer (partial SysML model); ""better support both the system architect and the operator for the development of a mobile CPS. The system architect only keeps the focus on her interests through the introduced DSL, while the operator is supported by the generated cockpit application. In addition, the used code generation should save a lot of implementation effort for developers""";"aggregates data from CPS into a ""single system snapchot""";Data Collection?;Accommodation;Design;Individual Systems;As-Designed;"""Model engineering abstracts real world concepts in a way, such that only the relevant properties are left. A model therefore is a simplified representation of reality. This helps planning and designing complex systems, as a model should give a common sense of the underlying system.""";;TRL 4-6;github repository: https://github.com/me-big-tuwien-ac-at/cpsaml;Roomba floor cleaning robot
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;;;;;CPSAML;contribution of the paper;structure;Code Generation;;SysML (complete model);CPS software code (ROS Packages, DT, Monitoring Cockpit). Sprachen: Java, Typescript, Python, Docker;;;;;Implement;;As-Designed;;;;;
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;"""The concept of Digital Twin (DT) is creating and maintaining a digital representation of the real physical entity and supporting its performance through simulation and optimization tools, which are fed with real and updated data""; ""A perfect DT will be identical to the real physical entity in terms of appearance and behavior with the extra advantage of making future predictions.""";Comprehensive;DT;;Unity 3D simulation model; describing detailed physics of twinned asset;behavior, physics;Code Generation;;Unity Model;Simulation Controller;;3D simulation model that is updated with live data from the twinned asset;Synchronization;Transportation and Storage;Operate;Individual Systems;As-Designed;;;TRL 1-3;;
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;;;;;; describing detailed physics of twinned asset;behavior, physics;Code Generation;;Unity Model;ROS Bridge;;;;;Operate;;As-Designed;;;;;
Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;"""the digital twin, that is, real-time data synchronization and feedback control of the entity""";;DT;;Petri Net;;behavior;Model Interpretation;;Petrinet;real time simulation of state;;online syncronization of physical and digital system;Synchronization;Manufacturing;Operate;Processes;As-Operated;single source of truth for simulation;;TRL 1-3;;Suit tailoring
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;#NAME?;;;specific;OWL Ontology + OML Vocabulary;;rule;Model to Model Transformation;;OML Vocabulary;UML Profile;;""" the Asset Administration Shell (AAS), provides a syntactic interoperability interface for all assets involved in smart factories""";Interface;Manufacturing;Design;Systems of Systems;As-Designed;formal definition that allows reasoning on/interpretation of models, interoperability;;TRL 1-3;twinning target is systems-of-systems, including modeling of individual systems;robotic cell (niryo ned for gripping + turtlebot for transportation)
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;;;;;UML Profile;;;;;;;;;;;;;;;;;;
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;;;;;AAS;;;;;;;;;;;;;;;;;;
Generating customized low-code development platforms for digital twins;"""A digital twin is a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system""";Comprehensive;DS;;DSL Component;;structure;Code Generation;;DSL component + GUI models for editor and viewer + DT components;Digital Twin Implementation: Low-code editor for DT configuration;"generation of low-code development platform;  generation of dt architecture; visualization; data modelling; adaptive behavior of DT; recognizing error states in CPS behavior; generating a communication protocol;";"realize self-adaptation loop for CPS; ""Leveraging DTs that monitor and control the system of interest can reduce configuration time, save energy, and prevent waste.""";Self-Adaptation;Manufacturing;Implement;Individual Systems;As-Operated;"Custom Low-code development for domain experts; configurability: easily configure 1 implementation for different CPSs; easily integrate different implementations (monti arc as definition of common interfaces); ""The models we use for configuration are more abstract than programming languages and allow domain experts to create powerful full digital twin applications nonetheless.""";"account for future variability; DT as part of an ecosystem";TRL 4-6;;injection molding machine
Generating customized low-code development platforms for digital twins;;;;;MontiArc;;structure;Code Generation;;MontiArc model;Digital Twin Implementation: Java code, Software Architecture Components + Glue Code;;;;;Implement;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;GUI Language;;structure;Code Generation;;GUI Model;Digital Twin Implementation: DT Cockpit;;;;;Implement;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;UML Classdiagram;;structure;Code Generation;;CD;Digital Twin Implementation: Java code (Backend);;;;;Implement;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;Case-based reasoning (CBR9);;rule;Model Interpretation;;CBR;Reasoner Component of DT Architecture;;;;;Operate;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;Event-Condition-Action (ECA) language;;rule;Model Interpretation;;ECA;Evaluator Component of DT Archtiecture;;;;;Operate;;As-Operated;;;;;
Generating customized low-code development platforms for digital twins;;;;;Communication specification language;;behavior;Code Generation;;Communication specification;Java Code for communication between CPS and DT;;;;;Implement;;As-Operated;;;;;
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;;;;UML Class Diagram;;structure;Model to Model Transformation;;UML Class Diagram;UI Model;"Derive UI from Cd; Data structure and DT cockpit backend and frontend api generation; UI generation";;;Electricity;Implement;Individual Systems;As-Designed;"reduce complexity in system design by bridging the gap between high-level requirements and high-detail implementations; ""Suitable models in the early phase are engineering models and models to describe behavior-to-be that can be simulated and analyzed""";;TRL 1-3;;cooling system of a wind turbine
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;;;;UI Model;;structure;Code Generation;;UML Class Diagram;Part of DT UI Cockpit (Python + Typescript);;;;;Implement;;As-Designed;;;;;
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;;;;;;structure;Code Generation;;UI Model;Part of DT UI Cockpit (Typescript);;;;;Implement;;As-Designed;;;;;
Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;" ""A digital twin allows us to reason about a physical and/or ideal assets in the virtual (i.e. cyber) space thus providing a necessary foundation for complex and large cyber-physical systems.""";Model of PT;;;AAS model;;structure;Code Generation;;AAS model;GPL (shown for C#/Java) Stubs + Contracts;;reasoning in the virtual space;Reasoning;None;Implement;;As-Designed;;further GPLs, build parser for OWL ontologies;TRL 1-3;no demonstration or evaluation provided, only description of the prototypical implementation of the proposed concept;
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;"""A Digital Twin is a digital 3D - CAD replica of a living or non-living physical entity, allowing to replicate the same behavior as that of the actual
component""";;;specific;SysML;Block Definition Diagram, Internal Block Diagram, Requirements Diagram and a State Machine Diagram;structure;Model to Model Transformation;;SysML Modelle;Unity Model;"3D Visualization of SYSML model; ""comprehend and understand the complexity of the models.""";;;Electricity;Design;Systems of Systems;As-Designed;;"However, more research and development are needed to improve the 3D representation of the SysML
model. In future work, the steps presented in the aforementioned
timeline will be implemented.";TRL 1-3;;
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;;;;;Unity 3D Model;;;;;;;;;;;;;;;;;;
Digital Twin of an Electrical Motor Based on Empirical Performance Model;"""The concept of Digital Twin (DT) is creating and maintaining a digital representation of the real physical entity and supporting its performance through simulation and optimization tools, which are fed with real and updated data""; ""A perfect DT will be identical to the real physical entity in terms of appearance and behavior with the extra advantage of making future predictions.""";Comprehensive;DS;;Unity 3D simulation model;describing detailed physics of twinned asset;behavior, physics;Model Interpretation;;Unity Model;Simulation Controller;;3D simulation model that is updated with live data from the twinned asset;"Simulation; Reasoning";Transportation and Storage;Operate;Individual Systems;As-Designed;;;TRL 1-3;;
Digital Twin of an Electrical Motor Based on Empirical Performance Model;;;;;;;structure;Model Interpretation;;Unity Model;ROS Bridge;;;;;Operate;;As-Designed;;;;;
Knowledge driven rapid development of white box digital twins for industrial plant systems;;;;;SADL ontology;;structure;Model to Model Transformation;;SADL ontology;M&CML control systems model;;enable a virtual sand-box environment simulating the behaviour of a plant to perform analyses and predictions.;"Simulation; Reasoning";Electricity;Implement;Individual Systems;As-Designed;;;TRL 1-3;;power plant
Knowledge driven rapid development of white box digital twins for industrial plant systems;;;;;Control Systems Model (M&CML);;behavior;Model to Model Transformation;;M&CML;fininte state machine;;;;;Implement;;As-Designed;;;;;
Knowledge driven rapid development of white box digital twins for industrial plant systems;;;;;finite state machines (FSM);represented in SCXML;;;;;;;;;;;;;;;;;
Meta-model-based shop-floor digital twin architecture, modeling and application;"""DT is considered a new paradigm of modeling and simulationtechnology, extending the use of models to all stages of the product""; the Shop-floor Digital Twin (SDT), as the digital counterpart of physical entities including the humans, machines, material, methods and environments in the existing shop-floor, mirrors the physical shop-floor behavior and performance in the virtual space. The digital counterpart is comprised of a series of semantic digital models and simulation models of the physical shop-floor and has the automatic data synchronization between the physical and virtual space. By establishing the automatic data flow between the physical shop-floor and digital counterpart, the semantic digital models and simulation 
models could be converted to digital shadow and further evolved into SDT.";;;specific;SysML BDD;;;Model Interpretation;;raw data (conforming to data model);SysML BDD;;"Provide Self-Adapation/Optimization based on (i) data from PT, (ii) operations offered by the PT; ""DT has a strong vitality in the whole product lifecycle and could provide strong support for the digital and intelligent transformation of manufacturing industry in the aspects of virtual model construction and cyber-physical information fusion.""";Self-Adaptation;Manufacturing;Operate;Systems of Systems;As-Operated;;;TRL 4-6;;shopfloor
Meta-model-based shop-floor digital twin architecture, modeling and application;;;;;Data Model;contribution of the paper;;;;;;;;;;;;;;;;;
Model-Driven Development of a Digital Twin for Injection Molding;"""A digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system.""";Comprehensive;DS;;MontiArc;;structure;Code Generation;;MontiArc;Java;"DT software architecture; domain description; specifying the behavior of the DT based on Event, condition action; Setting up an experiment for optimization; communication;";realizes self-adaptation loop based on MAPE (cf. Figure 2);Self-Adaptation;Manufacturing;Implement;Individual Systems;As-Designed;"domain experts can easily optimize their injection modling machine with domain expressions; optimization of injection molding process through repeated execution of DOE; describing the DT?s situations (events) and reactions.";;TRL 1-3;;
Model-Driven Development of a Digital Twin for Injection Molding;;;;;UML Class Diagram;;structure;Code Generation;;Classdiagrams;Java;;;;;Operate;;As-Designed;;;;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;"""A digital twin (DT) of a system consists of a set of models  of the system, a set of contextual data traces and/or their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully  with respects to the original system.""";Comprehensive;DS;;UML Class Diagram;;structure;Model to Model Transformation;;tagging model, Class Diagram, MontiArc Model;extended MontiArc Model;;;;Accommodation;Design;;As-Designed;"""Reducing the effort for engineering the communication interfaces between CPS and DT implemented as information systems""";Although model-driven software engineering (MDSE) provides the necessary methods to generate these connections, these methods have not yet been applied to integrated development and connection of DTs to CPSs.;TRL 1-3;;automatic fire extinguishing system
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;;;;MontiArc ADL;;structure;Code Generation;;MontiArc model;GPL code for CPS;;;;;Implement;Individual Systems;As-Designed;;;;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;;;;tagging language;;structure;Code Generation;;UML Class Diagram;digital twin information system;;;;;Implement;;As-Designed;;;;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;;;;GUI DSL;;structure;Code Generation;;GUI Model;Webpage;;;;;Implement;;As-Designed;;;;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;;;;OCL;;rule;Code Generation;;MontiArc ADL + Tagging applied on ports of adl model;new MontiArc ADL with components receiving tagged ports;;;;;Implement;;As-Designed;;;;;
Model-driven engineering city spaces via bidirectional model transformations;""" In the realm of smart cities, a digital twin is a virtual model of a city¶?a model representation of the physical world""; a virtual model of a city";;;specific;City GML 3D city model;;structure;Bi-Directional Model Transformation;;CityGML model;cyber-physical spaces (3D topology) model;;cyber-physical spaces model upon which formal reasoning can be performed;Reasoning;Construction;Plan;Systems of Systems;As-Designed;;"investigate pluggable custom application policies and support arbitrary CityGML features. generalization of synchronization to a many-to-one model; being able to support multi-model sources might enable support of a wider range of applications dealing with wide area services.";;;smart city
On the Engineering of IoT-Intensive Digital Twin Software Systems;;;;;undefined;"only ""structural and behavioral models"" mentioned";structure;Model Interpretation;;structural model of the PT;Model Synchronizer + Model Manager component;;"""Coping with the dynamic and uncertain characteristics of the physical world (i.e., faced by the real-twin)""";"Simulation; Reasoning";None;Design;Individual Systems;As-Designed;;;TRL 1-3;very high-level concept, no application to a particular example/domain, no example models given;
On the Engineering of IoT-Intensive Digital Twin Software Systems;;;;;;;behavior;Model Interpretation;;behavioral model of the PT;Model Synchronizer + Model Manager component;;;;;Design;;As-Designed;;;;;
Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era;"""The concept of Digital Twin is reserved for denoting a digital representation which is fully integrated with its Physical Twin (i.e. data flow between the physical object and the digital object in both directions) [4]. Likewise, we understand the Digital Twin as a software component that is i) model and data driven (it gets inputs from both cyber and physical objects; i.e., it can be a model that gets input from another model or from a physical object) and ii) can control physical devices (can operate on them). """;Comprehensive;DT;;BPMN;;behavior;Code Generation;;BPMN;Python Drone control code;;;;Transportation and Storage;Implement;Individual Systems;As-Designed;;;TRL 1-3;;Drone fleet
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;;;;OWL Ontology;;rule;Model to Model Transformation;;OML;UML Stereotypes;;AAS model, enriched with semantic annotations based on OWL ontology;Specific;Manufacturing;Design;;As-Designed;;;TRL 1-3;;robotic cell (niryo ned for gripping + turtlebot for transportation)
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;;;;OML Vocabulary;;structure;Model to Model Transformation;;AAS;OWL Individuals (MaRCO);;;;;Design;;As-Designed;;;;;
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;;;;AAS;;structure;Model Interpretation;;OWL Ontology + OWL Individuals;capability matchmaker;;;;;Design;;As-Designed;;;;;
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;;;;OWL Individuals;instantiated OWL ontology;structure;Model Interpretation;;AAS Model;user interface created by the authors (cf. Section 4.C);;;;;Design;;As-Designed;;;;;
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;"""However, the characteristics commonly associated to the DT are that it must be able to 1) behave like the real system during its entire life cycle, 2) allow to predict possible failures and 3) take autonomous decisions accordingly. Moreover, it appears to be fundamental to have a seamless connection and synchronization between the DT and the system.""";;DT;;BPMN;;behavior;Model to Model Transformation;;BPMN;Activity Diagram;"Multi-paradigm modeling: convert BPMN Model into an executable AD; Multi-paradigm modeling: extract structural information from AD";"""emulate the sorting CPPS via Multi-Agent System""";Specific;Administrative + Support Service Activities;Design;Processes;As-Designed;;;TRL 1-3;;sorting robot of a postal center
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;;;;;UML Activity Diagram;;behavior;Model to Model Transformation;;Activity Diagram;Class Diagram;;;;;Design;;As-Designed;;;;;
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;;;;;UML Class Diagram;;;;;;;;;;;;;;;;;;
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;"""A digital twin of a system consists of a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system. """;Comprehensive;DS;;MontiArc;;structure;Code Generation;;CD;Java Code;;;;Manufacturing;Implement;Individual Systems;As-Designed;no manual writing of code needed, because code generation can be applied;;TRL 1-3;;
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;;;;;MontiGem GUI Model;;structure;Code Generation;;GUI Model;DT cockpits;;;;;Implement;;As-Designed;;;;;
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;;;;;Class Diagram;;structure;Code Generation;;MontiArc model;system architecture;;;;;Implement;;As-Designed;;;;;
Towards Reactive Planning with Digital Twins and Model-Driven Optimization;"""DTs enable a bi-directional data flow between a physical system and its virtual representation, requiring different software components to enable this communication""";;DT;;EMF Meta-Models; + according Models;structure;Model Interpretation;;Henshin model;Digital Twin;;provide an interface to both simulation and PT;Interface;None;Operate;Individual Systems;"As-Designed;As-Operated";;;TRL 1-3;application to generic optimization problem - no specific domain;
Twin Process Model Driven Machining Quality Optimization for Complex Parts;"""Digital twin is an efficient method to realize simulation, monitoring and control of multi scale and physical quantity.""";;DS;;Twin Process Model;Twin Process Model = model containing structural and behavioral (process) information, stored as XML, but no language/metamodel described;structure;Code Generation;;Twin Process Model;Numeric Control (NC)Code;;"efficiently realizes ""simulation, monitoring and control of multi scale and physical quantity""";"Simulation; Reasoning";Manufacturing;Operate;Individual Systems;As-Designed;;;TRL 1-3;;
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;"""A digital twin (DT) of a system consists of a set of models of the system, a set of contextual data traces and/or their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respects to the original system.""; ""Digital twins (DTs) are digital representations of cyber-physical systems. They monitor systems to offer services to analyze, control, and optimize the system. Alas, there is no commonly agreed on definition of DTs""";Comprehensive;DS;;MontiThings;;structure;Model to Model Transformation;;MontiThings model or real system;MontiThings model or reproduced system;"""generates a reproduction model from the original models and the system traces. Developers can use the reproduction model to retrospectively analyze the system and refine the architecture models for the next iteration""; ""One of the advantages of our model-driven approach is that there is no manual work involved when recording or replaying system traces.""; Automatically generate controller code";" collect  required data; ""The DT collects data from the generated IoT code, reproduces the data traces, adapts the input models accordingly, and re-generates the new software based on the adapted models""";Collect Data?;Accommodation;Operate;Individual Systems;As-Operated;;;TRL 1-3;;"smart lawn watering system; heating, ventilation, and air conditioning of a
smart home"
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;;;;;;;structure;Code Generation;;MontiThings;IoT controller code in C++;;;;;Implement;;As-Operated;;;;;
Using UML and OCL Models to Realize High-Level Digital Twins;"""A Digital Twin (DT) is a comprehensive digital representation of an actual system, service or product (the Physical Twin, PT), synchronized at a specified frequency and fidelity""";Comprehensive;DT;;UML CD + OCL constraints;;structure;Model Interpretation;;UML class diagram;uml cd adapter that interprets CD and adapts a data lake accordingly (data lake stores data from the PT);adapt a data lake according to CD;"DT = UML class diagram; configures data lake that stores data from PT, which should be used by different services";Collect Data?;Transportation and Storage;Operate;;As-Designed;;;TRL 1-3;;lego mindstorms car
