Title;model processing technique;source;source category;source sub-category;source model target category;target;target category;target category 2;target sub-category;target model target category;use case domain;system lifecycle phase;twinning target;twin lifecycle phase;Technological Readiness Level;Use Case
Digital Twin of an Electrical Motor Based on Empirical Performance Model;Model Interpretation;Unity Model;behavior model;continuous behavior;PT;Simulation Controller;;;;;Transportation and Storage;Operate;Individual Systems;As-Designed;TRL 1-3;
Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;Model Interpretation;Petrinet;behavior model;discrete behavior;;real time simulation of state;;;;;Manufacturing;Operate;Processes;As-Operated;TRL 1-3;Suit tailoring
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;Model to Model Transformation;OML Vocabulary;behavior + structure model;ontology;PT;UML Profile;structural model;;data;PT;Manufacturing;Design;Systems of Systems;As-Designed;TRL 1-3;robotic cell (niryo ned for gripping + turtlebot for transportation)
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;;;;;;;;;;;;;;;;
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;;;;;;;;;;;;;;;;
Ensuring consistency in scalable-detail models for DT-based control;Model Interpretation;Modelica model;behavior model;continuous behavior;PT;Modelica Simulator;;;;;Accommodation;Implement;Individual Systems;As-Designed;TRL 1-3;electric heater system
Ensuring consistency in scalable-detail models for DT-based control;Model Interpretation;Modelica model;behavior model;continuous behavior;PT;Modelica Simulator;;;;;Accommodation;Implement;Individual Systems;As-Designed;TRL 1-3;electric heater system
Generating customized low-code development platforms for digital twins;Code Generation;MontiArc model;structural model;architecture;software;Digital Twin Implementation: Java code, Software Architecture Components + Glue Code;;;;;;Implement;;As-Operated;;
Generating customized low-code development platforms for digital twins;Code Generation;ECA;behavior model;discrete behavior;software;Evaluator Component of DT Archtiecture;;;;;;Operate;;As-Operated;;
Generating customized low-code development platforms for digital twins;Code Generation;CD;structural model;data;PT;Digital Twin Implementation: Java code (Backend);;;;;;Implement;;As-Operated;;
Generating customized low-code development platforms for digital twins;Code Generation;CBR;behavior model;discrete behavior;PT;Reasoner Component of DT Architecture;;;;;;Operate;;As-Operated;;
Generating customized low-code development platforms for digital twins;Model Interpretation;Communication specification;structural model;ui configuration;software;Java Code for communication between CPS and DT;;;;;;Implement;;As-Operated;;
Generating customized low-code development platforms for digital twins;Model Interpretation;DSL component + GUI models for editor and viewer + DT components;structural model;architecture;software;Digital Twin Implementation: Low-code editor for DT configuration;Software;;visualization software;;Manufacturing;Implement;Individual Systems;As-Operated;TRL 4-6;injection molding machine
Generating customized low-code development platforms for digital twins;Code Generation;GUI Model;structural model;ui configuration;software;Digital Twin Implementation: DT Cockpit;Software;;visualization software;;;Implement;;As-Operated;;
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;Model to Model Transformation;UML Class Diagram;structural model;data;software;UI Model;structural model;;ui configuration;Software;Electricity;Implement;Individual Systems;As-Designed;TRL 1-3;cooling system of a wind turbine
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;Code Generation;UI Model;structural model;ui configuration;software;Part of DT UI Cockpit (Typescript);Software;;visualization software;;;Implement;;As-Designed;;
Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;Code Generation;UML Class Diagram;structural model;ui configuration;software;Part of DT UI Cockpit (Python + Typescript);Software;;visualization software;;;Implement;;As-Designed;;
Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;Code Generation;AAS model;structural model;data;software;GPL (shown for C#/Java) Stubs + Contracts;;;;;None;Implement;;As-Designed;TRL 1-3;
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;Model to Model Transformation;SysML models;;;;Unity Model;behavior model;;continuous behavior;PT;Electricity;Design;Systems of Systems;As-Designed;TRL 1-3;
Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;;;;;;;;;;;;;;;;
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;Code Generation;Unity Model;behavior model;continuous behavior;PT;Simulation Controller;;;;;Transportation and Storage;Operate;Individual Systems;As-Designed;TRL 1-3;
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;Code Generation;Unity Model;behavior model;continuous behavior;PT;ROS Bridge;;;;;;Operate;;As-Designed;;
Knowledge driven rapid development of white box digital twins for industrial plant systems;Model to Model Transformation;M&CML;structural model;data;;fininte state machine;behavior model;;discrete behavior;PT;;Implement;;As-Designed;;
Knowledge driven rapid development of white box digital twins for industrial plant systems;Model to Model Transformation;SADL ontology;behavior + structure model;ontology;PT;M&CML control systems model;structural model;;data;PT;Electricity;Implement;Individual Systems;As-Designed;TRL 1-3;power plant
Knowledge driven rapid development of white box digital twins for industrial plant systems;;;;;;;;;;;;;;;;
Meta-model-based shop-floor digital twin architecture, modeling and application;Model to Model Transformation;raw data (conforming to data model);structural model;;data model;SysML BDD;structural model;;data;PT;Manufacturing;Operate;Systems of Systems;As-Operated;TRL 4-6;shopfloor
Meta-model-based shop-floor digital twin architecture, modeling and application;;;;;;;;;;;;;;;;
Model-Driven Development of a Digital Twin for Injection Molding;Code Generation;MontiArc;structural model;architecture;software;Java;;;;;Manufacturing;Implement;Individual Systems;As-Designed;TRL 1-3;
Model-Driven Development of a Digital Twin for Injection Molding;Code Generation;Classdiagrams;structural model;data;software;Java;;;;;;Operate;;As-Designed;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;Model to Model Transformation;MontiArc model;structural model;architecture;software;GPL code for CPS;;;;PT;;Implement;Individual Systems;As-Designed;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;Code Generation;MontiArc ADL + Tagging applied on ports of adl model;structural model;ui configuration;software;new MontiArc ADL with components receiving tagged ports;;;;;;Implement;;As-Designed;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;Model to Model Transformation;tagging model, Class Diagram, MontiArc Model;structural model;data;software;extended MontiArc Model;structural model;;architecture;Software;Accommodation;Design;;As-Designed;TRL 1-3;automatic fire extinguishing system
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;Code Generation;UML Class Diagram;structural model;data;software;digital twin information system;Software;other software code;visualization software;;;Implement;;As-Designed;;
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;Code Generation;GUI Model;structural model;ui configuration;software;Webpage;Software;;visualization software;;;Implement;;As-Designed;;
Model-driven engineering city spaces via bidirectional model transformations;Model to Model Transformation;CityGML model;structural model;data;software;cyber-physical spaces (3D topology) model;structural model;;data;PT;Construction;Plan;Systems of Systems;As-Designed;;smart city
Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges;Code Generation;UI Model;structural model;ui configuration;software;Web app;;;;;;;;;;
Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges;;Process Model;behavior model;discrete behavior;PT;Web app;Software;;visualization software;;;;;;;
Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges;;Data model;structural model;data;PT;Web app;Software;;visualization software;;;;;;;
On the Engineering of IoT-Intensive Digital Twin Software Systems;Model Interpretation;structural model of the PT;structural model;;PT;Model Synchronizer + Model Manager component;Software;;other software code;;None;Design;Individual Systems;As-Designed;TRL 1-3;
On the Engineering of IoT-Intensive Digital Twin Software Systems;Model Interpretation;behavioral model of the PT;behavior model;data;PT;Model Synchronizer + Model Manager component;Software;;other software code;;;Design;;As-Designed;;
Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era;Code Generation;BPMN;behavior model;discrete behavior;PT;Python Drone control code;Software;;other software code;;Transportation and Storage;Implement;Individual Systems;As-Designed;TRL 1-3;Drone fleet
Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;Model Interpretation;Causal Directed Acyclic Graphs (DAG);behavior model;discrete behavior;PT;Inference Engine;Software;;other software code;;Manufacturing;Test;Individual Systems;As-Designed;TRL 1-3;Robotic arm
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;Model to Model Transformation;AAS;structural model;data;PT;OWL Individuals (MaRCO);behavior + structure model;;ontology;;;Design;;As-Designed;;
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;Model Interpretation;OWL Ontology + OWL Individuals;behavior + structure model;ontology;PT;capability matchmaker;Software;;other software code;;;Design;;As-Designed;;
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;Model Interpretation;AAS Model;structural model;data;PT;user interface created by the authors (cf. Section 4.C);Software;;visualization software;;;Design;;As-Designed;;
Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;Model to Model Transformation;OML;behavior + structure model;ontology;;UML Stereotypes;structural model;;;;Manufacturing;Design;;As-Designed;TRL 1-3;robotic cell (niryo ned for gripping + turtlebot for transportation)
Supporting Digital Twins for the Retrofit in Aviation by a Model-Driven Data Handling;Code Generation;SysML (csv representation);structural model;data;;SysML (Graph Database entries);Software;;other software code;;Transportation and Storage;Maintain;Individual Systems;As-Operated;TRL 1-3;Aircraft cabine refitting
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;Code Generation;BPMN Model;behavior model;discrete behavior;PT;java template code for microservices;Software;;other software code;;;Implement;;As-Designed;;
Supporting the Implementation of Digital Twins for IoT-Enhanced BPs;Model to Model Transformation;BPMN Model;behavior model;discrete behavior;PT;DTDL Model;structural model;;data;;Accommodation;Design;Systems of Systems;As-Designed;TRL 1-3;CO2 Measurement
The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;Model Interpretation;Knowledge Base Model;behavior + structure model;ontology;PT;Scheduling Engine;Software;;other software code;;;Design;;As-Designed;;
The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;Model Interpretation;Knowledge Base Model;behavior + structure model;ontology;PT;Simulator;Software;;simulation code;;;Design;;As-Designed;;
The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;Model to Model Transformation;Knowledge Base Model;behavior + structure model;ontology;PT;Knowledge Base Model (updated with runtime data);behavior + structure model;;ontology;PT;;Design;;As-Designed;;
The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development;Model Interpretation;BPMN;behavior model;discrete behavior;PT;;;;;;Education;Design;Individual Systems;As-Designed;TRL 4-6;
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;Model to Model Transformation;BPMN;behavior model;discrete behavior;;Activity Diagram;behavior model;;discrete behavior;PT;Administrative;Design;Processes;As-Designed;TRL 1-3;sorting robot of a postal center
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;Model to Model Transformation;Activity Diagram;behavior model;discrete behavior;PT;Class Diagram;structural model;;ui configuration;;;Design;;As-Designed;;
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;;;;;;;;;;;;;;;;
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;Code Generation;CD;structural model;data;software;Java Code;Software;;other software code;;Manufacturing;Implement;Individual Systems;As-Designed;TRL 1-3;
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;Code Generation;MontiArc model;structural model;architecture;software;system architecture;Software;;other software code;;;Implement;;As-Designed;;
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;Code Generation;GUI Model;structural model;ui configuration;software;DT cockpits;Software;;visualization software;;;Implement;;As-Designed;;
Towards Reactive Planning with Digital Twins and Model-Driven Optimization;Model Interpretation;Henshin model;behavior model;discrete behavior;PT;Digital Twin;Software;;other software code;;None;Operate;Individual Systems;"As-Designed;As-Operated";TRL 1-3;
Twin Process Model Driven Machining Quality Optimization for Complex Parts;Code Generation;Twin Process Model;behavior model;discrete behavior;;Numeric Control (NC)Code;Software;;simulation code;;Manufacturing;Operate;Individual Systems;As-Designed;TRL 1-3;
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;Model to Model Transformation;AADL;structural model;architecture;software;LNT model (used for model checking);behavior model;;continuous behavior;PT;;Implement;;As-Designed;;
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;Code Generation;AADL;structural model;architecture;software;FMI device mock-ups;Software;;simulation code;PT;;Implement;;As-Designed;;
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;Code Generation;AADL;structural model;architecture;software;Azure code that is used to execute the system and perform monitoring (I think that both aspects are the same);Software;;other software code;;;Implement;;As-Designed;;
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;Model to Model Transformation;SysML;behavior model;discrete behavior;;AADL;structural model;;architecture;;Accommodation;Design;Systems of Systems;As-Designed;TRL 1-3;hypothetical monitoring system for a building
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;Code Generation;MontiThings;structural model;architecture;software;IoT controller code in C++;Software;;other software code;;;Implement;;As-Operated;;
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;Model to Model Transformation;MontiThings model or real system;structural model;architecture;software;MontiThings model or reproduced system;structural model;;architecture;software;Accommodation;Operate;Individual Systems;As-Operated;TRL 1-3;"smart lawn watering system; heating, ventilation, and air conditioning of a
smart home"
Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;Model Interpretation;OD (Snapshot of PT and DT);structural model;data;PT + software;Trace Alignment Algorithm;Software;;other software code;;Manufacturing;Operate;Individual Systems;As-Operated;TRL 1-3;Robotic arm
Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;Model Interpretation;"OD (Snapshot); CD (snapshot metamodel)";structural model;data;PT + software;Type Checking Algorithm;Software;;other software code;;Transportation and Storage;Operate;Individual Systems;As-Operated;TRL 1-3;Lego Mindstorms Car
Using UML and OCL Models to Realize High-Level Digital Twins;Model Interpretation;UML class diagram;structural model;data;software;uml cd adapter that interprets CD and adapts a data lake accordingly (data lake stores data from the PT);Software;;other software code;;Transportation and Storage;Operate;;As-Designed;TRL 1-3;lego mindstorms car
Workshop Management and Control System Based on Digital Twin;Model Interpretation;dt physical model;structural model;data;PT;DT Simulation;Software;;simulation code;;Manufacturing;Implement;Individual Systems;As-Designed;TRL 4-6;
Workshop Management and Control System Based on Digital Twin;Model Interpretation;behavior model;behavior model;;PT;DT Simulation;Software;;simulation code;;Manufacturing;Implement;Individual Systems;As-Designed;TRL 4-6;
Workshop Management and Control System Based on Digital Twin;Model Interpretation;geometric model;structural model;data;PT;DT Simulation;Software;;simulation code;;Manufacturing;Implement;Individual Systems;As-Designed;TRL 4-6;
